start	end	text
2225	28820	こんばんは。これから私たち二人が、あなたのことを気持ちよくしていきますね。さあ、さっそく始めていきますよ。とりあえず、楽に呼吸をしましょうか。いつもよりも少しだけ、ゆっくりとしたペースで。すーっと吸って。
31553	59363	ふーっと吐いて手足は楽に投げ出してだらーんと投げ出してそれだけであなたは自然とリラックスすることができますそしてそんなあなたに一つ暗示を入れますそう暗示今日のあなたにとって一番大切で重要な暗示
61827	82651	あなたは私たちの気配を感じて、お耳で気持ちよくなればなるほど深い催眠へと落ちていく。3つ数えて指を鳴らすと、この暗示はあなたの内側にしっかりと刻まれる。
84963	111338	3210暗示があなたの内側にしっかりと刻まれたさあ、それじゃあ気持ちいいのを楽しみながら深い催眠の世界へと深い快感の世界へと落ちましょうね
114258	134802	あなたの意識トロトロに溶かしていきましょうねほーらいきますよー私の気配が近づいてくるだけで頭がふわりとする
142017	170603	ゾクリと何かが流れ込む意識がふんわりと浮かされる少しずつですよゆっくりと意識を溶かしていくので舌の動きに耳を澄ましてくださいねゾクリとした感覚に意識が揺さぶられる
174721	204013	こうやってゆっくりとしたアイブは感度を少しずつ高めていくアイブなんですお耳の感度と心の感度を少しずつ高めていきましょうね頭の芯まで熱でトロトロにするために
206682	232905	甘く甘く溶かしていくために少しずつゆっくりと熱を送り込んでいくあなたのお耳を気持ちいい静観体に変えながら深い催眠へと少しずつ引きすり込む柔らかな唇と舌の動き
236028	259855	気持ちよくなっちゃいますよね…ゾクリとした快感に…意識がふわりととろけるのを感じる…こっちのお耳も…
261728	290669	レッドリハイブで同じように敏感にしていきましょうね弱い刺激だと意識自然とお耳に集中しちゃいますもんねだから余計に敏感になっていっちゃうんですよね
306278	306548	チャンネル登録よろしくお願いします
333599	357313	舐めるのやめてもお耳ジンジンしちゃいますね頭の中もふわふわゆらゆらこうして一度休憩をとることでお耳はさらに敏感になっていくんです
360430	379087	こうやってゆっくり近づいていくだけで意識がふわりと揺らいでいく耳から伝わって頭の中に広がる甘い吐息に意識が揺り動かされる頭の中
383701	402078	ふわふわゆらゆら揺らいじゃいますね吐息と気配で意識が揺れるのがふわふわ揺らされるのが気持ちいいですね
403968	431673	私の恋に引っ張られるように意識がふわーっと揺らいでいく遠くの気配を感じるだけでも意識がふわふわ気持ちよくなっちゃうから
434866	461630	気配が近づいたら意識はもっと強くふわふわしちゃいますね遠くの気配を感じるだけでも意識がふわふわ気持ちよくなっちゃうから気配が近づいたら意識はもっと強くふわふわしちゃいますね
463418	487178	気配が近づいてくると意識がふわりと揺らいでいくもっと私たちの気配感じて吐息が頭の中ふわーって広がって
495633	512862	女の子の甘い吐息で、耳から頭の中いっぱいにされて、ふわふわ気持ちいいですね。頭の中で、私たちの気配感じて。
522633	535300	ふわーって甘ーくとろけていくじゃあそろそろ
