start	end	text
3136	31503	うーん…先輩のお家来るのは2回目ですねなんか…ちょっとこの前よりも緊張しますねえー?わかんないですか?この前は後輩で今日は彼女ですよ?全然違いますよね?
35135	58402	先輩、今日は何する予定ですか?可愛い可愛い彼女ちゃんとの初めてのおうちデート?先輩、今だったら…何でもしてあげますよ…
68257	95527	お部屋に着きましたね、先輩。ふぅ…二回目の先輩のお部屋…あ、そういえば、今日は先輩のご両親、帰ってくるんでしたっけ?
97568	125294	じゃあ、お泊まりはできないですね?えへー、どうってー?私のエッチーな声、聞かれちゃいますから…
128669	156597	さっきの話私本気ですよ先輩になら何でもしちゃうってね
159095	187577	先輩今日はいっぱいイチャイチャしましょうねやめないでください
189166	217634	もっとチューしてください…おし倒されちゃいました…
219440	240601	部屋に来てすぐベッド直行なんて…エッチーです。
252447	275448	彼女は嫌いですか?なら良かったですだって私先輩とキスしたらすぐスイッチ入っちゃうんです
281127	310058	先輩の家に着いた時から…ずっと…おまんこ…濡れちゃってました…ほら、先輩、服脱いでください私も脱ぎますね
322867	349462	ちょっともう…先輩、顔見しすぎですよ?そんなに見られると…さすがに恥ずかしいです…おちんちん、もう大きくなってる…
352583	375884	入れたいですか?だったら…このまま正面で…先輩…ほらぎゅーぎゅー
382047	408199	ぎゅーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー
413502	432200	昨日ちんちん…もっと奥に来て…
442848	448028	全部…入りましたね…
471215	489440	あ、先輩…気持ちいいです…好きに動いていいですから…
511765	529619	…しましょう…
550291	577257	好き…好き…好き…好き好き好き…好き…
580160	605067	先輩…大好き…大好き…先輩…先輩…先輩も私に言ってくれますか?
615293	641703	はい…好きです…大好き…好き…ずーっと…先輩だけのものですから…わ…れ…れ…れ…
660923	690286	そこ…気持ちいい…先輩の…いいとこに…さっきから…ずっと当たって…だめ…
690725	715670	こんなについたら…私だけ…気持ちよくなりすぎて…ダメ…ほんとに…いっちゃう…ほんとダメ…
718717	734330	あ…あ…あ…
743263	770611	気に入っちゃいました私、先輩のおちんちんと相性良すぎじゃないですか?それとも、先輩がエッチ上手なんですか?
773648	797560	んー?あ、もう…先輩…ずるいです…都合悪くなったら…ちんちん動かすなんて…
802454	826231	今度は手を繋ぎながら…
847347	856910	せんばい…必死に腰振っちゃって…
865533	890018	次はちゃんと一緒に行きますから、おまんこいっぱいチュッチュしてください。大好きな先輩の精神、なかに惜しいです。
904193	930248	あ、来てる、お、おまんこ、いっぱいいじめられちゃってます。いつも、弱々な先輩なのに、この時だけ、かっこよくて男らしいなんて。
934113	955046	気持ちいい先輩そこ奥もっといっぱいついてください
959560	982653	私もダメです人別れなのに気持ちよくておまんこぎゅーって締め付けちゃいます
985220	1009092	はい行っちゃいます先輩も出して今度は一緒に行こう出して出して出してください行く行く
1024889	1042660	ここでいいから…
1053706	1082107	先輩…大好きです…ずっと…ずっと絶対離れませんから…
1096533	1118438	なんか、今思ったんですけど、私、ちょっとエッチな子になっちゃってません?もう、先輩のせいですからね。会うたびに可愛すぎて、すーぐムラムラしちゃうんですから。
1124188	1141507	そうですよー。こんなことばっかりしてたら、本当にエッチーなことにハマっちゃいそうです。そうなったら、責任。
