start	end	text
1398	29005	先輩、今日は積極的ですね。
30727	59287	彼女のお部屋に来て興奮しちゃいました?先輩のエッチだけど気持ちわかりますよ今日はお泊まりですわねしかも明日の夜まで
62266	82398	ずーっと二人きりエッチーなことをいーっぱいできますね。
98125	124568	わぁ…せんぱい…もっと舌…絡めて…エッチーなチューしましょう…
128433	141832	ん〜〜〜〜〜〜〜〜〜〜〜〜〜〜
150675	170857	我慢できなくなっちゃいました…先輩のおちんちん…早く…欲しいです…じゃあ…服…脱いでください…
178535	205220	先輩のおちんちんガッチガチじゃないですか我慢できないの私だけじゃないみたいですね先輩って気上位好きですよねもう私も先輩に乗るの
207037	232754	嫌いじゃないですけど…なんですか~?まだ入れてないのに…ゆるしい顔しちゃって…
241484	270082	もう…いいですよね…入れちゃいますよ…ん?
271718	286838	ぐぅ…あ、おっきいの…気持ちいい…
302870	332823	おちんちん…もくまで届いて…ゾクゾクします…せんぽい…せんぽい…
342458	367531	好き好き好き好き好き好き好き
390535	407343	好き…好き…好き好き…
425635	445953	普段目も食っちゃいそうです先輩も出してくださいおまんこにたくさんたくさんくださいあ、あ、いや
452563	474826	ハロー、ジンジン…ミカン…
497054	506737	先輩…まだ泣いちゃダメですよ?今日はずーっとエッチするんですから…
518363	541547	わぁおちいち、喜んでますよお耳ぺろぺろ
545262	570878	大好きですね。じゃあ、ペロペロしながらパコパコしたらどうなっちゃいます?
589828	606620	ねぇ先輩…気持ちよさそうですね…そんなにお耳が好きなんだったら…こっちのお耳も…してあげます…
615769	623014	はぁー
643517	649850	いいたくさん感じちゃってくださいねねえ
680701	706325	あーおちおち、いいとこ当たってますあー気持ちよくてーグラグラしてーまた行く…すいません
709979	737789	先輩…先輩…先輩…離してください…全部…全部中に…行く…行く行く…
746075	775538	精神…いっぱい…もっと…もっと欲しいです…もっと先輩を感じさせてください…んー…んー…んー…んー…んー…んー…
776703	800699	はぁ…はぁ…うぅ…はぁ…子宮…割れてきちゃってます…先輩の戦士で…払わせてほしいって…ねえ先輩…赤ちゃんできるまで…何度も中に出してください…
807550	837436	好き…好き…好きです…好き…好き…好き…好き…好き…好き…好き…
842684	871540	好き…好き…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好きぃ…好き�
878206	905088	頑張りすください…突き上げられるの…好きです…深いとこ…やましいとこ…続いて…
916107	944187	はぁはぁはぁはぁはぁはぁはぁはぁはぁはぁはぁはぁはぁはぁはぁはぁはぁはぁはぁはぁはぁはぁはぁはぁはぁはぁはぁはぁはぁはぁはぁはぁ
946178	975937	たくさん出してくれてありがとうございます
978781	1004819	とっても幸せです…せーんぱい大好きですよこれからもずっと一緒にいてくださいね
1011603	1012025	チャンネル登録よろしくお願いします
