start	end	text
1218	28304	そのために弟くんはこれから私の操り人形になるの。操り人形って言っても難しいことは何もないからね。私の言う通りに体を動かして、私の言葉通りに感じるお人形さんになるだけ。お人形さんなんて言い方をしてるけど、これまでとやることは変わらない。
29929	54980	だけど弟くんはお人形さんになって私に操られているって意識をするの。試しに体を動かしてみようか。ほら、体が勝手に動き出して両手が乳首の方に伸びていく。そのまま指先が乳頭に触れるまで伸びて。
55906	84758	軽く触れると動きが止まって動かなくなる指先以外の力が抜けてだらーってなっちゃうありがとう素直にやってくれてこういうことにも付き合ってくれるから私弟くんのことが好きなのかもじゃあこのまま続けていくからね
86983	108908	だから弟くんは今のままお人形さんになったふりをしてて。そうしていれば弟くんの意識は深いところに入っていけるから。本能と快感が優先される真相真理の深い部分に入っていこうね。
111432	140587	ほら、弟くん。指が勝手に動いて、乳首をひっかき始めちゃう。コリコリって指が動いちゃう。でも、他の場所は力が抜けたまま。ほら、自然と力が抜けて、乳首に意識が集中していく。
145738	164683	カリ、カリ、カリ、カリまるで指先が機械になったみたいに動いてる想像してみて体を固定された弟くんが必要に乳首を攻められてるところ
167140	194423	カリッカリッって乳首を刺激し続けられて弟くんの頭はだんだんと快感でトロトロになっていっちゃう逆らうことのできない強制的な快楽の中で弟くんの体は絶頂まで押し上げられていく気持ちいい気持ちいいって感情しか浮かばなくなって
195385	221607	弟くんは言っちゃうのそれでも指は止まってくれなくてさらには私が弟くんの耳元で暗示の言葉をささやく1234567
223347	246293	8910それを何度も何度も繰り返しているうちに弟くんは絶頂しちゃうそれも一度だけじゃなくて何度も言っちゃうのけどそれは全部あまだし
247951	272917	下半身には力が入っていなくて、おしっこを漏らしてるように絶頂し続けちゃう。頭がふわふわして、気持ちいい幸せな時間がずっと終わらない。だから弟くんは何度も雨出しを繰り返して、最後におしっこを漏らしてるようなあの感覚もなくなっちゃう。
274914	298820	だけど、それからが本当の始まりでもあるの。弟くんの中で、おとなしくしていた大きな絶頂の塊が、弟くんの意志とは関係なく動き出す。何かが爆発するような大きな絶頂感に襲われて、弟くんは激しく、
300341	326649	体を跳ねらせて絶頂し始めるビクビクビクビクって体を震わせながら弟くんの頭は快感に満たされていくけどその途中で気づくのビクビク震えてる感じがあるだけで精液が出てる感じがしない
329828	357515	でも、それって当たり前だよね。だって精液がなくなったら、次は別の絶頂で補わなくちゃいけないでしょ?精液を出す雨出しが終わったら、次は精液が出ないドライオーガズムが始まるの。それから先は、実際にやってみてからのお楽しみ。
360973	388157	イメージするのはここまでにしよっか指ももう止めていいからねほらストップまた両手をお腹の方に持っていって楽な状態に戻ろっかねえどうだった?イメージとはいえ私のお人形さんになって
388756	413657	いろいろと操られちゃった気分は?気持ちよかった?それともちょっと怖くなってたりしてでもそう思うのもしょうがないかな誰かに体を預けるのって本来はかなり怖いことだしだけど結構気持ちよかったでしょ?
415247	444977	気持ちいいこと以外を私に任せて、弟くんは気持ちいいことに集中してたわけだし。ねえ、さっき話したこと、興味ない?何度もあまだしして、精液が出なくなった後の強制的なドライオーガズム。怖い?けど、もうやめたいなんて思ってないでしょ?
446502	471029	だってそれも人の本能なんだから。理性や常識よりも本能を優先してる弟くんにとって、そう思うことは自然なこと。私の言う通りにしてたら気持ちよかったでしょ?私に体を預けたら弟くんの想像を超える快感が待ってるよ。
473765	503007	それを期待しちゃうなら、弟くんはもう深いところまで入ってる。真相真理の奥の方に踏み込んで、そう簡単には戻れないところまで来ちゃってる。けど、それでいいの。だって、こうなることを弟くんは望んでいたんだから。望んでいたから、今の弟くんがいるんだよ。
504212	524725	だからほら、エッチなことを始めていこっか。乳首と前立腺を刺激して、頭がトロトロのドロットロになるまで、私が弟くんのことを犯し尽くしてあげるから。ね?
