start	end	text
1883	29873	そのために今から弟くんの前立腺を開発していこうか雨出しするときは下半身の力を抜くって言っても体が絶頂に届かなかったら意味ないし乳首と同じくらい前立腺でも感じるようにしていこうねだからまずは前立腺を動かすところから始めようか
31965	58959	両手はそのままお腹の上に置いた状態で意識をおちんちんの方に持っていって意識をおちんちんに向けながら次はおしっこを止める動きをしてみよっかキューって力を入れてからストンって一気に力を抜くのほら
61905	87325	キューって力を入れて、ストンって力を抜く。この動きを呼吸に合わせてやると、一定のリズムで続きやすいかも。意識して深呼吸をする必要はないから、リラックスできる呼吸に合わせてやってみて。ほら、息を吸って。
90919	118591	息を吐いてその繰り返し始めたばかりだと実感しにくいかもしれないけど後からちゃんと効いてくるから期待しながら続けてねほら息を吸って息を吐いて
123613	149763	このまま乳首の快感とも合わせていこっか。両手をお腹の上から動かして、優しく乳首をつまんでみて。ぎゅーってつまんで、ゆっくりと指を離す。この動きってなんだかさっきと似てる気がしない?
151355	180003	呼吸に合わせて前立腺を刺激する動きとほとんど一緒でしょ?乳首をつまむときに前立腺にも力を入れて、息を吐き出すときに力を抜く。ほら、乳首をつまみながら前立腺にもキューって力を入れる。息が苦しくなる前に息を吐いて、
181092	207982	ほら、しっかりと脱力を意識して。慣れるまでは呼吸が乱れちゃうかもしれないけど、慣れれば案外簡単だから、続けてやってみよっか。ほら、息をゆっくりと吸って。息をゆっくりと吐いて。
211926	235605	息をゆっくりと吸ってー息をゆっくりと吐いてー乳首の快感を受け入れながら前立腺でも気持ちよくなっていこうねほら息を吸ってー
240195	263572	息を吐いて動きに慣れてきたら快感をイメージしていくからねこれだけでも十分に気持ちいいと思うけど快感をイメージしたらもっと気持ちよくなれるからほらイメージしてみて
265965	294852	乳首をつまんな時に感じる甘い気持ちよさがつまんでると胸の奥までじわじわと溜まっていくのじわじわじわじわと溜まって弟くんの中に快感が蓄積していくその快感が溜まった状態で乳首から指を離すと思わず声が出ちゃうような
295952	317927	少し強めの快感が襲ってきちゃうびくっと体が跳ねるようなそくっと背筋が震えるようなそんな快感が流れるのそれを繰り返せば繰り返すほど快感は大きくなってさらに乳首が敏感になっていく
320438	346580	それに合わせるみたいに前立腺もおちんちんの快感とは違う切ないような気持ちよさを感じ始めるのうすうすうすうずって前立腺が反応し始めてそれが腰を高すような甘い快感に変化していくゆっくりと
347699	365550	でも着実に前立腺でも感じ始めてる?うずうずうずうずと感じ始めた前立腺がガクガクと下半身を震わせるほどの大きな快感に育っていくそういうイメージをしながら感じてみてほら123
384905	405352	45678910数字が大きくなると体の感度が上がっちゃうんだよねでもまだまだ気持ちよくなれるでしょ?
407647	421502	1,2,3,4,5,6,7,8,9,10
431362	460567	どんどん、どんどん気持ちいいのが大きくなって、弟くんの頭の中まで犯していっちゃう。下半身がとろけて、ガクガクと震えだしちゃうかも。乳首も感度が上がりすぎて、少し怖いくらい。でも、弟くんは私の操り人形になっちゃったから、自分では止めることができないの。
461972	487702	そうでしょ?だからほら、再現なく上がっていく感度に身を委ねながら、もっと、もっと気持ちよくなって。1…2…3…4…5…
