start	end	text
1073	26107	それじゃあ、まずは体をリラックスさせることから始めていくからね。仰向けに寝転んで、両手はお腹の上に重ねてみて。焦んなくていいから、私の言葉通りにやってみて。そうそう、そんな感じ。
28238	43559	次はそのまま深呼吸をしてみよっか苦しくならない程度にゆっくりと深呼吸をするの弟くんが一番楽なペースで続けてみて
51383	80922	そうそう、気持ちを穏やかにして、リラックス、リラックス。すぐにエッチなことを始めてもいいんだけど、せっかくなら集中できたほうがいいでしょ?余計なことはあまり考えないようにして、気持ちいいことに集中できたら、普段のオノニーよりもきっと気持ちよくなれる。そう思わない?
83150	109626	だから、今から弟くんは深い、とても深い深層心理の中に入っていくの。そこは理性や常識よりも、本能が優先的に動いている場所。理性や常識に邪魔されず、思ったことをそのまま実現できる世界。
112172	141380	気持ちいいことに集中できて、弟くんの願望も叶えてくれる。そんな場所に、これから弟くんは入っていくの。大丈夫、私を信じて。私がちゃんと弟くんをそこまで連れて行ってあげるから。だからゆっくり。
142941	170208	ゆっくりと沈み込むように心象心理の中に入っていこうね最後までついてきたらちゃんと気持ちよくしてあげるからほらいい子いい子お姉さんに任せなさいそれじゃ始めていこっか
172283	200133	一度意識を手のひらに向けてみてゆっくりでいいからお腹に触れてる手のひらを意識するのどう?呼吸に合わせてゆっくりと上下するお腹の動きはわかる?膨らんだりしぼんだり一定の速度で動いてる
201845	230611	お腹を意識すると呼吸のリズムを感じることができるでしょ?いつもは当たり前にやっていることだから、意識しちゃうと少し不思議な感じがするかもしれない。だって呼吸は意識しなくても自然とやっていることだから。じゃあ次はまた手のひらを意識してみようか。
232791	258259	弟くんの手のひらから伝わる熱がお腹の中に浸透してるのはわかる?じんわりと温かくて落ち着く温度気持ちを穏やかにしてくれる優しい温かさこうして気持ちを穏やかにしてるとだんだんと眠くなってきちゃうかもしれない
260185	287653	もしも本当に眠くなってきたなら、そのまま寝ちゃってもいいからね。だってそうでしょ?眠いから寝るのは人の本能なんだから。それとも、まだ眠くない?エッチなことするまでは眠りたくないとか?いいよ、それでも。
