start	end	text
875	27959	ただいまー。シリックさん、電気とエアコンつけて。おかえりなさいませ。お疲れ様でした。はい、ありがとう。荷物重たい。よいしょ。買いすぎちゃった。足痛い。もう限界。
32414	53892	やっと横になれたー眠いソファーでこんなことしてたらお行儀が悪いよねわかってるわかってるんだけどでももう無理ベッドまで行く気力も体力も残ってないだからもうちょっとこのままで
130947	157441	あ…しまった…ちょっと寝てた…ダメダメ…もうすぐ荷物が来るんだから…寝たら…ダメ…ダメなの…わかってるけど…起き上がる元気が出ない…この子がいけないんだってば…
159382	183936	ソファーのくせにまるでベッドみたいに寝心地が良すぎるんだからずるい見慣れた我が家の天井落ち着く
189048	214705	それにしてももう夕方って外に出てたら一日の進みが早いな買いたいものは大体買えたけど例のリップも今度収録の日に使おうとガブちゃん気づくかな
217820	242469	あといいカフェも見つけられてよかったあのチーズケーキテイクアウトしていきたいぐらい美味しかったそれまでの道中は予期せぬ大冒険になっちゃってものすごく大変だったけどでも久しぶりの運転は結構楽しかったし
247334	275836	そうして満足度の高いお出かけになった気がするでもやっぱりしばらく運転はいいや体中凝っちゃったしずーっと同じ姿勢だもんなあと緊張してたから体に変な力が入ってたっていうのもあるかもはぁ
278114	305941	誰か今すぐ家に来て全身マッサージしてくんないかな私がこうしてうつ伏せになって誰かにお尻の上にまたがってもらって首とか肩とか背中とか腰とか
308422	335223	後ろから思いっきり強くギュッギュッってしてほしいなー体中がフニャフニャになっちゃうまでそれくらいたくさんほぐしてもらったら気持ちよくなりすぎて逆に立てなくなっちゃうかもうーん想像だけでもすごく良い
340045	366280	誰か雇えないかなー私が帰ってきたらひたすらマッサージしてくれるだけのバイト君もし私が寝落ちちゃったら服を着替えさせてベッドまで運んで行ってくれるオプションつけて最高なんて妄想してても仕方ないけど
367940	392847	ん?電話?マネちゃんかな?あれ?違う…ポプラだ…ふーん…なんだろう…はーいもしもし?ポプラ?どうしたの?え、コラボ?急だね、どんな内容?
396420	424218	大食い企画?いいね楽しそうこの前行った大型スーパーも楽しかったしねあの時買ったパンちょうど今日食べたよ腐ってないからあの後ちゃんと冷凍保存しておいたのカビタパンなんて食べるわけないじゃんそれで?今度は何を爆食いするの?
426243	455123	え、内緒?それ教えてもらえないんだなんか怖いけどちゃんと人が食べれるものなんだよねならいいけどうん、コラボ全然OK楽しみうんうん、あ、そうだねじゃあまずは上に言ってそれからあ、来た
455487	480662	ごめんねポプラ ちょうど今宅配便が下に来たっぽくてうん わかった 連絡待ってるはーい じゃあねーよいしょはーい ロック解除するんで 玄関前まで持ってきてもらえます?はい お願いします
482825	487027	いよいよだけど、荷物って本当に何なんだろう?
