start	end	text
31	22795	じっとされたままで結構です。私ダリアが、最初から最後まで、催眠に引きずり込んでから、快楽で壊すまで、全てやって差し上げます。はぁ、鬼気にならないでください。
23690	51854	この大学舎で、しかも大量の触手を目の前にしておきながら、逃げられると思いですか?本当に主様はお好きですね。逃げようとしながら私に侵されるの。本気で抵抗してくださって構いません。絶対に逃がしませんから。
52411	77851	ご安心くださいそれではこれからこの触手を使ってマッサージをして差し上げます足の先から頭の先まで私の温かくてねっとりした触手で舐めるように絡めとるようにゆるゆるに
79529	107637	ふわふわにほぐして差し上げます目を閉じてください、主様目の前に巨大なモンスターと無数の触手がありますがゾクゾクとしながら無防備に目を閉じてくださいはいそのまま呼吸をゆっくりと穏やかにしてください
110697	138710	まずは右足からほぐして差し上げますこうして触手で主様の右足を足の先から腰に向かって絡みつかせてグーッグーッと揉むようにギューッギューッと締め付けます
140853	161352	触手が絡みつくたびに足がぽかぽか熱を持つ私が触手を離したら…ふわぁ…圧迫感が消えると同時に足の力が抜けていく
164495	182450	私の触手がぎゅーっと力を込めてゆるりと離したその瞬間、力が一気に溶け出るように消えていくかも。ええ、消えていくかも。
184070	212415	今は効果が薄くても私の言葉はだんだんと重みを増しやがて主様はみるみる脱力感に包まれるでしょう次に左足ぎゅーぎゅーっと巻きついてぽかぽかと温かくなって体がリラックスをして
213652	230865	呼吸が遅くなっていく…そんな気がしてくるぐっ…ぐー…ぎゅ…ぎゅー…離しますよー
238711	261020	触手に巻きつかれている間は、足が重くて動かないかもしれません。だけど私が話した途端、ふわふわーっと軽くなって、しかし力が入らなくて、不思議な感じがするでしょう?大丈夫です。
262336	292128	まだ実感できない場合もやがて主様は無力な体に無防備な状態に向かっていきますこんな凶暴なモンスターの前でです次は主様の手の力を奪って差し上げます奪って差し上げるだなんておかしな言い回しですが
292947	322840	主様はこういうのがお好きでしょう?最初は右手私の触手がねっとり巻きつき指の先から肩の方まで絡みつき腕が重くなりぎゅーぎゅーっと締め付けられるぐーぐぐーぎゅー
323052	350046	ぎゅぎゅーはい離しますよーするとほらふわーふわーふわー力が漏れ出ていくように血の気が引いていくようにふわーそして呼吸は穏やかに
352565	377268	抜けた力は戻ってこない多少戻ってきたとしても穴の開いた水槽のようにどうせ抜け出ていきますけど右足左足右腕ときて次は左腕両手両足を封じられたら
377660	407047	もう後戻りはできません触手から脱する力も抗う気力も失いますからでも全身がリラックスしていくのは気持ちがいいでしょう?はい左手の先から腕、肩の方まで絡みついちゃいました左腕の力を奪います
408592	435275	ぎゅ、ぎゅ、ぎゅー…奪うと言ってもマッサージですが、私に締め付けられると…重たくて、だけど温かくて、心地よい圧迫感に包まれていく…では、離します
439806	463513	しゅるしゅるーっと触手が緩むと体の力も緩んでく揉んでいる時より締め付けている時より離した瞬間が一番ふわー心地よい脱力感に包まれるでしょ?重たい触手が離れると
465848	487144	軽くなってだけど力が出てこないそんな不思議なマッサージ次は頭ですここから一気に脱力感は加速します浮き上がるようにあるいは落ちていくように体はふわりと緩むでしょう
493422	516980	まだ主様の顔には…額や頬や目の周りには少しは力が入るでしょう?しかし…ほら…私の触手で頭を優しく包んであげると…ぎゅう…
525451	549410	ダイヤ頬はグーッグーッと押すようにグーッグーッググーッそして私が触手を離したところにはい、すーっと力が抜けていく
551641	577621	心も体も呼吸も筋肉も緩やかに穏やかになるのです次は肩右肩と左肩同時にほぐしてリラックスしていきましょう揉むように力んだところを押して
580919	607582	グー、グー、グーーー。次に私が触手を解いたら、また強い脱力感がやってきます。肩がぽかぽかになって、自然と肩が下に降りて、ぶわーっと一気に体が軽く、無力になっていく。
621098	645912	次に胴体胸から腰にかけて一気にほぐしていきますねはいぎゅーぎゅーぎゅー私の体温が移ろうように体の芯まで絞ります
653617	678478	ぎゅーぎゅー離しますよーほら一気にふわーふわー何かが外へ抜けていく…抜けていくのは…そう、力です
680026	706908	主様の筋力、そして緊張、余計な思考、それらが抜けていく代わりに、リラックス、安らぎ、安心感へと置き換わっていく。まだ少し力が残っているかもしれません。どこでしょうか?
710958	738039	見つけましたよ首の後ろをぎゅーぎゅーふわーふわーでは仕上げに
738430	761532	全身にゆっくりと巻きついて…締め付けて…揉んで…押して…ほぐして差し上げます。ぎゅー…ぎゅー…私の触手が…くまなく…
771775	797048	力を奪うぎゅーぎゅーそう体を撫でるように最初より締め付きが弱くなっていきますこれからどんどん私の力が緩んでいきます
801458	828101	主様は私の力にかないませんなぜでしょう答えは簡単主様は弱くなったのです抵抗する腕力も気力も奪われてしまったのですまあ今はマッスージをして差し上げているだけですので
833673	855837	ふわふわー するするー触手の締め付きが弱くなる ほらほらどんどん弱くなるだけどおかしい 主様は触手に勝てない力が入らない
857568	881150	そう締め付けが弱くなると同時に残っていた力が失われているのですではこのまま優しく体を撫でながら今度は心もゆるーく穏やかにしていきましょう
889934	902776	あ、ごめんなさい。大切なこと、主様にお伝えし忘れておりました。ダリアの不覚をお許しください。
903400	921440	今、主様の全身には、私の触手から分泌された粘液がまとわりついております。その粘液、実は、強いリラックス効果があったのです。
922148	947866	主様のために念入りにしておきたかったのですそう念入りにリラックスさせ心と体を休めていただきたくてだって主様はこれから大変なことになるのですからほら
948490	976693	粘液のおかげで体が温まっていく気がするでしょうだんだんと頭の中まで心地よい脱力感に包まれるかもしれません主様はお疲れでしょう日常的な考え事をしているだけで思っている以上に疲れが溜まっているものです
978072	1001840	これから主様は大変な目に遭わされますが大丈夫終わった後はとてもすっきりしているはずですだから私の言葉に身を委ねこのまま深い場所へと落ちていきましょう
1002963	1022630	ほらほら私の声を聞くたびに私の言葉を受けるたびに余計な思考が抜けていき緊張がほぐれ警戒心がゆるみ頭が脳が
1030537	1059471	不安、不安とまどろむ感じ深い眠りには落ちないものの思考はゆるくぼーっとしてきます私の声に集中して雑念が浮かばなくなる浮かんだとしても抜けていく空っぽの
1060051	1078360	穴の開いた水槽…そう申し上げましたよね?もしもいらない思考が浮かんできても、その穴から気づかぬうちに抜けていきます。さあ、主様。
1079423	1108904	ここからはもう私の言葉についていくそれだけでいいですよついていくというのは不適切かもしれませんそのような努力さえ必要ありません流されるように運ばれるようにゆっくりと深く穏やかな催眠の世界へ
1109866	1128416	向かっていくのですとっても簡単ですよ例えばほら私がこう言っただけで沈む降りる落ちる落ちるぶわーぶわー
1137676	1156997	深い場所へと引っ張られていく向かっていく流される運ばれるあともう少し巻きつく触手がぬめりとした音が頭と体に溜まった疲れをゆっくり癒していく
1158820	1188078	まどろむとけるくずれるおちるおおきくゆれるふかくへしずむあらがえないいんりょくにひきずりこまれるほらそしてしずまりかえるあるじさまようこそいらっしゃいました
1189634	1214373	暖かくて、穏やかな、そして深くて凶悪な快楽が味わえる、催眠世界の入り口へ。はい、無防備になった主様は、私からは、無数の触手からは、絶対に逃げられないでしょう。
