start	end	text
2883	31820	まだ入り口かって思われました?こんなに力が抜けてるのにこんなに心が穏やかなのにそうですもっともーっと深い場所へダリアが連れて行って差し上げますだって今の主様は私の声を聞けば聞くほど
33106	61250	意識が深いまどろみへと落ちていくのですから少し立てば主様も気がつかないうちにさらに深いところとっても深いところまでたどり着くことができますよさっきのマッサージのおかげですっかり力が抜けましたね次は
61675	83630	そんな無防備な主様の体に、不思議なプレゼントをして差し上げます。その前に、主様。私が耳を、この口の形をした触手で、ねっとり舐めて差し上げます。
101483	128028	主様、こうして耳を責められるの、お好きですよね?では、そんな主様にプレゼントです。ええ、これは私の体内で生成された、催眠ガス。サイエン効果。
128770	154661	と言えばお分かりになるでしょうか端的に言えばそうですね生きやすくなる直体化のガスこれを吸うと主様はいくら言っても性欲が収まりません主様の体は感度がどんどん上昇します
156158	184289	主様はこのガスを吸って時間が経つほど、すぐに絶頂するようになっていきます。ほら、そう言ってるうちに、主様の体内にガスが入り込む。肺に侵入し、血管をめぐり、全身が弱く、感じやすくなっていく。
185538	214132	体に絶頂が息癖が刻み込まれていく快楽を溜め込み膨らんで膨らんで限界を迎えた時に絶頂しますよねでも今の主様は一度行くと次の絶頂までが近くなる快楽を溜め込んで膨れ上がって
215474	243048	限界はさっきより近い。すぐに弾けて、じわじわ、バチバチバチ、快楽が脳内に満ちる。すると次の絶頂はさらに近い。絶頂感を浴びるように、浸かるように、溺れるように、主様は言ってしまわれるでしょう。
243790	272587	行けば行くほど次の絶頂が近くなり絶頂の間隔が狭くなっていくそして最後にはほんの些細な刺激でも行ってしまうそうなったら最後絶頂が絶頂を呼び絶頂から降りて来られなくなってしまうかもあるいは
273322	299495	じわじわ流れ込むように ゆっくりと絶頂し続ける快楽で満たされていくかもしれません ゆっくり呼吸を続けているだけで主様はそうなります ほらもう効果が出てきたようですよ こちらのお耳
303595	318192	ガスを吸ったおかげでちんと熱くなって…強い快楽を予感してうずうずしておりますでは触手で舐めて差し上げますね
336518	365172	次は反対側です。ガスを吸うほど、効果は実感しやすくなります。ガスは部屋に充満しておりますから、注意がそれたり、体のかゆいところをかいたりして、集中の糸が切れてしまったとしても、軽い深呼吸をするだけで、またこの場所に戻ってこられます。
366674	377535	まあ深呼吸なんてしたらよりガスが全身をめぐり深いところへ落ちてしまうでしょうけど…ほらいきますよー
393792	419729	ズンズンと脳に響くようでしょでももっと深くガスの効果でより深くお耳がどんどん熱くなっていきますね熱く感じやすくだけど心は穏やかですね
421079	448002	ガスの甘い匂いのおかげかもしれませんガスはほんのわずかな匂いですが私がガスを出し続けておりますからもしかしたらそろそろ頭がくらっとするような脳にじわじわ染み込むようないい匂いが感じられるかもしれませんよまあ
448822	477905	匂いを感じる感じないに関わらず主様の体や頭はもうガスで満ちておりますが?頭にも…ですよ…脳内が真っ白な霧で満ちているようですね私が分泌したガスで満たされ頭の中が真っ白ですね白です
478420	505850	どんな色にも染まれる白私の言葉一つでどんな色にも容易く勝手に思い通りに染めることができちゃいません私の言葉が重みを増して脳に体に多大な影響を与えることになるのです
507091	532032	私の言葉を聞くだけで、主様は快感に弱くなっていく。行けば行くほど、容易に絶頂してしまう。呼吸をすると、私の言葉は更に重みを増すでしょう。さあ、始めましょうか。
533348	561428	体に力が入らず無力で無防備の主様私の長い触手で口のような触手で言葉で乳首も脳も前立腺もおかしくなるほど気持ちよくなりましょうね
