start	end	text
13835	41622	頑張って寝たふりしてる無表情でスヤスヤ気持ちよさそうにしてるね本当は体も頭の中も大変なことになってるんでしょ?冷たくて柔らかいそっちもやってみてよ
43332	68555	うん、じゃあこっちもハムハムってしちゃうねうん、こっちも冷たいけど
75715	100285	もうお耳真っ赤だよ?我慢すればするほど、ますます気持ちよくなっていくよねこれも同時にされちゃうと、黙らないのかな?
113819	141842	悪くしてるのかな?気持ちいいんだよねでも頑張って普段通り寝てないとね柔らかい唇に
142912	165530	お耳をくわえられて優しく刺激されてるんだもんそれを全身の力をすーっと抜いてどこにも力を入れない状態で
189470	215052	楽しいねそうだね本当に寝てるみたいそっちがそういう暗示を与えたんじゃないでも本当に気持ちよさそうだねガオ今も私たちの声ちゃんと聞こえてるくせにね頑張ってるよね
216183	243149	この幸せそうに寝ている表情を歪ませたいよね。あなたは本当にいたずら好きだよね。ねえ、今度はお耳、ペロペロしちゃうか。うん、お耳舐められたらさすがに反応してくれるかな。ねえ。
247254	271793	あなたも楽しみでしょ楽しみかもしれないねだって全神経を集中させて耳なめを楽しめるんだもん耳をなめられてゾクゾクって全身に鳥肌が立っちゃってもやめてと言えないもん
279548	301638	お姉ちゃんも意地悪なこと言ってるじゃん。そんな暗示を入れられて。かわいそうな人、私が慰めてあげるね。さっきの耳ハムハム、気持ちよかった。
329515	347808	そして奥の方まで入れてあげるそっちの方が意地悪じゃない?じゃあ早速…はぁ…
356752	381613	音声出ちゃいそうなんだよね気持ちいい?ほら動いちゃダメなんだよ気持ちいいんだもんねいっぱい気持ちよくなっていいよじゃあ次は私もこっちの耳いただきまーす
400188	429938	柔らかくて癖になっちゃいそうあなたがアイドルしているのを見ているのもいいけどそういうのを必死に我慢してると思うと楽しい今右耳チュルチュル舐められて頭の中大変なことになってるんだよねなのに
433499	440317	ほら、必死に呼吸も落ち着けて、体の力も抜いて。
469747	487270	耳全体を加えて耳の穴の中にして
516220	541533	ああ、力を抜いて、意識を耳だけに集中した状態で、耳を舐められる全身に鳥肌が立ちそうだよね。ゾクゾクするよね。そうやって耳を舐められているとさ、
542798	560412	下半身がうずうずしてこない?ほらジュルジュルといういやらしい音こんないやらしい舌で下半身を舐められていることなんて想像しちゃ
572347	600157	ほら、もう頭の中、チーンとしびれてきて、わけがわからないよね。耳から聞こえる、チュルチュルといういやらしい音。その音が、頭の中に反響する。そして、なめられればなめられるほど、
601928	616972	安心が反応してしまう動いちゃダメって言ったけど大きくなるのは許してあげますよ
646765	673462	ほら、意識がスーッと落ちていく。沈む、沈む、ズーンと沈んでいく。深く深く、スーッと入っていく。深い深い催眠状態に入り、すべてがどうでもよくなる。もっと深いところに、今から私が10から0まで数えると、深い深い催眠状態に入る。さっきまでのことなんてすっかり忘れ、ただただ深い催眠状態になる。
673662	695097	109876543210スーッと入るドロドロで気持ちがいいあなたは今深い催眠状態だから私の私たちの言う通りになってしまう
