start	end	text
13134	29857	腰に抱きついて唇を近づけてキスしたら大きな快感を感じちゃうのだってエッチな場所のすぐ近くだからエッチなところに強く響いちゃうキスの快感が腰から溢れて腰の奥の気持ちいい場所にいっぱい響いちゃうの興奮しちゃうね
44069	58718	だってされる前から気持ちいいってわかってるから仕方ないよね唇を腰に当ててちょくりとした快感が腰に広がるジンジンとした熱い快感が腰に注がれるゾクゾクとした快感が膨らんでいく快感の波が大きく膨らんでいくふわーっと膨らむ波に飲み込まれる
62115	84273	気持ちいいね力抜いてそう両足から力を抜いて足の付け根からも力を抜いていい子だねそうして無防備になった腰の中心に口づけをして快感を注ぎ込む無防備だからさっきよりも気持ちよくなるよ
88047	112580	そくりとした快感が膨らむ熱い快感が注がれるたっぷりたっぷり注がれる熱い快感が腰の奥に注がれる快感の波が大きくなっていく膨らんで押し寄せる
116738	136730	快感が腰にとどまり高まるゆっくりゆっくり快感が引いていくジンジンとした薄気が余韻のように残る深い呼吸をして余韻をたっぷり楽しんで
145517	166511	深い呼吸と深い脱力と深い快感深く染み込む体の奥底に染み込む体の奥底に甘い快感が蓄積していくスポンジに甘い甘い快楽の蜜たっぷり染み込ませて
167352	194583	じっくりと時間をかけていつか溢れてこぼれて滴り落ちる熱く熟れた快感の雫がその先端から滴り落ちるそう遠くない未来そうなるのを感じてるだって股間のあたりに熱いものを感じる頃だものもうとっくに感じちゃってる?
195787	213447	でももっと熱くなるよ 熱を帯びてもっともっと気持ちよくなるでもぎゅーって力を入れたらダメだよ リラックスして力を抜いて
215500	243372	せっかく溜めたスポンジを絞るにはまだまだ早いからね何もしなくても滴り落ちちゃうくらいたっぷりと注いでからこぼれ出る快感を止められないくらい快楽すぎになってからそうしたら何度絞っても絞っても快感が溢れ出て止まらなくなっちゃうようになるから今だって気持ちいいよね
244027	251214	気持ちいいねじんわりと溢れる快感を感じてる股間が熱くなるのを感じてる
252001	281214	体の感覚をどんどん敏感に感じ取ることができる体の表面をゾワゾワゾクゾクとした快感が広がる体の内側から熱く重たい薄気のような快感が広がる甘いため息のような吐息が漏れ出すジンジンとする甘い甘いしびれが増していくこの甘い薄気は脳が快感を感じる準備ができた合図の一つ
282755	305604	これももうとっくに感じてるよねあなたの脳は快感を感じる準備なんてとっくに終わってるのそれどころか全身に感じてる体中全部気持ちいいに満たされてる快感を感じると脱力した体でも反応しちゃうんだよ
306538	319711	ピクンって、腰が小さく跳ねるように、震えるように、快感に反応しちゃうの。でもそれを合図に快感がじわーって染み出しちゃう。
320081	346257	じわーって溶けちゃうの溜め込んだ快感が染み出して滴り落ちてもっともっとどんどん気持ちよくなっちゃうのそれでもまた脱力して快感を受け入れているとまた腰のあたりがむずむずしてうずうずして体の反応を抑えられなくなるまた小さくびくんと跳ねる
347236	368540	その後すぐに脱力しても気持ちいいのがじわーっと染み出しちゃうそうさっきよりもたくさんの快感が染み出しちゃう腰の奥が甘く溶けちゃいそうキュンってしてとろけちゃう溜め込んだ快感が染み出して滴り落ちて
372204	389150	どんどん気持ちよくなっちゃう股間が溶けそうなくらい熱くて気持ちよくなる脱力しててもまたすぐに次の波が来ちゃううずいてうずいて気持ちよくて体の反応が抑えられなくてまた
390620	411157	ぐんと跳ねる快感が染み出すこぼれ出すこぼれた快感が腰に広がる全身に広がる甘くて優しくて熱くてとろけるようなうっとりするような快感深い呼吸をして深く気持ちよくなる
412913	436610	深い快感が広がる深い快感が響く力を抜いて快感が広がる快感にとろけて腰のあたりがとろけて頭の中がとろけて快感に震えて快感が押し寄せどんどんとろけていくますますとろけていく体も心も快感にとろけていく
