start	end	text
351	29553	とっても気持ちいいね。すごく可愛いよ。だから、もっと気持ちよくなれる魔法をかけてあげるね。魔法といっても、その界隈に詳しい人たちの間では有名な快感増強法だから、あなたも聞いたことがあるかもしれないね。ゆっくりと深呼吸を繰り返しながら、PC筋という場所に力を入れたり、
29984	59701	ゆるめたりを繰り返していると、外観がじんわりと広がって、とろとろにとろけて、気持ちよくなっちゃうんだよ。息を吸い込むときには、鼻から。外観が膨らみ広がり、溜まっていくイメージ。軽くBC筋に力を入れることで、熱くなった前立腺をキュッて締め付けて、外観がこぼれ出すの。
60525	86624	息を吐き出す時には口をすぼめて細く細く吐き出す。体に溜まった快感を逃がさないようにゆっくりと息を吐き出す。PC筋の力を緩めてもこぼれた快感はそこにとどまり続けるから、次に息を吸い込む時にはそこからさらに気持ちよくなっていくの。
88962	102920	鼻からゆっくりと息を吸い込んで苦しければ口からでもいいからね口をすぼめてゆっくりと吐き出して細く長く吐き出すイメージ
103958	127810	鼻からゆっくりと息を吸い込んであなたの呼吸に合わせて快感を送り込むよ口からゆっくり吐き出して腰の奥の快感に意識を向けてゆっくり吸って痺れる甘い快感が腰の奥に溜まってゆっくり吐いて腰に溜まった快感が少し膨らむ
129269	151444	ゆっくり吸ってペニスの根元のあたりに甘いしびれが集まるゆっくり吐いて甘い快感がじわじわと膨らむゆっくり吸って甘い甘い快感がたっぷり溜まっていくゆっくり吐いて今にもこぼれて滴り落ちそうな
152733	175953	ゆっくり吸って、快感が甘く甘く熟していく。ゆっくり吐いて、熟した果実、絞っちゃいましょうか。ゆっくり吸って、あそこに軽く力を込めて、ゆっくり吐いて、力を抜いて、もう一回。
176435	203408	ゆっくり吸って、キューって絞ると快感がジュワーって染み出す。ゆっくり吐いて、染み出した快感で腰がとろけそう。ゆっくり吸って、快感がジュワーって溢れて。ゆっくり吐いて、力を緩めても快感はとどまり続ける。ゆっくり吸って、だからまたもっと気持ちよくなる。
203941	231556	ゆっくり吐いて、溢れた快感はとどまり続ける。ゆっくり吸って、気持ちいいのが高まる。上っていく。ゆっくり吐いて、ジーンとして、ゾワゾワして、気持ちいい。ゆっくり吸って、ジュワーッと快感がこぼれ落ちて、ゆっくり吐いて、どんどんとろけちゃう。
232980	260195	ゆっくり吸ってリラックスしながら登っていくゆっくり吐いて気持ちよく登っていくゆっくり吸って気持ちいいのがジーンと広がってゆっくり吐いて力を抜いても気持ちいいのが引かないゆっくり吸ってもっと気持ちよく届けてゆっくり吐いて
261026	280087	気持ちいいのが続いてゆっくり吸って気持ちいいのが高まってゆっくり吐いてしびれてとろける快感に包まれてゆっくり吸って快感が全身に広がってくゆっくり吐いて
280854	305215	快感に全身が包まれるゆっくり吸って体中が快感で満たされてゆっくり吐いてゆっくり登り詰めていくゆっくり吸って私も手伝ってあげる腰に抱きついてゆっくり吐いて快感のキスをゆっくり吸って
310261	333239	ゆっくり吐いて快感をいっぱい溜めちゃおうねゆっくり吸ってゾクゾクする?ゆっくり吐いて今にも溢れちゃいそうゆっくり吸って気持ちよくたどけてゆっくり吐いてもう限界?そろそろ
342982	350002	ゆっくり吐いて…快感いっぱい溜めちゃおうね深い呼吸を続けて…
384109	397640	気持ちよくてたまらないね。どんどん快感がたまっていくね。もうすっかりトロトロで、もういつでもオーガズムに達することができるくらいにトロトロ。
399209	424150	そう、大きな波が来ればそのまま登り詰めて、果てることができるの。オーガスム。おっきなおっきな快感の波。迎え入れちゃおうか。ほら、波が少しずつ大きくなっていくよ。快感の波が押し寄せる。切なさに心が震える。意識が飲み込まれていく。波が引いて。
424310	445333	またすぐに波が来る。大きな波が来る。より大きな快感の波が来る。どんどん登っていく。体中が快感にとろけていく。快感にとろけていく。波が引いて、もっと大きな波が来る。続々に包まれて、意識がふわふわとろけて、とろとろにとろけて、
445753	473341	何も考えられない世界に押し上げられていくどんどん登っていく大きな快感の波が押し寄せてどんどん登りつめていく来るほら来る快感の波が来るもっともっと来るほら登りつめていく気持ちいいのが強くなる大きな快感に包まれてるこのまま気持ちよく届けてオーガズム迎えちゃおうね
474380	501352	ゾクゾクが押し寄せるとろける甘いしびれに包まれる大きなホウガズマの波が来る力をキューって入れて快感がぐーっと高まる自分じゃ制御できない快感が大きな大きな快感が押し寄せる意識がふわーっと膨らんで広がって気持ちいいのが高まる高まって大きな波が押し寄せる快感の波が来る来る
501932	526428	ほら来る体に溜め込んだ快感が弾け飛ぶふわっと快感の波に飲み込まれる絶頂が来るパンって弾けるほら来た弾けた快感が弾け飛ぶ飲み込まれるゾクゾクして気持ちがいい大きな大霞の波に飲み込まれてるゾクゾクとした絶頂の快感が続く全身を覆い尽くす意識がふわふわと溶けていく
528920	542545	絶頂の後の緩やかな余韻に心が浸る。体がまだピリピリ痺れるような。頭の奥にまだ快感のさざ波が残っているような。
