start	end	text
71	27372	気持ちよかったねだからもう一回だからもっともっと一回だけじゃもったいないしたった二回じゃもったいない大霞を迎える度に快感はどんどん高まっていくよほらあなたの体も一回じゃ足りないって言ってるあそこの辺りがジンジンして疼いてくる
27952	50595	さっきの絶頂の快感を思い出すだけで体の内側から発情しちゃうキュンキュンして薄いちゃうもっともっとって骨だりしてるよ気持ちいいさざ波荒波激しい快感の波全部飲み込んでしまう大きなオーガズムの波欲しいねほらまた
51940	69853	体にゾクゾクとした快感の波が広がり始めたゾクゾクが体中を撫で回していく甘い吐息がこぼれてしまいそうになる甘い吐息をこぼしていいんだよ快感を素直に受け入れてそうやって上手に快感を受け入れて
70703	85419	そうするともっともっと気持ちよくなれるからほら甘いエッチなため息のような吐息をこぼしてゾクゾクとした快感が一気に強くなるふわっと膨らむ快感が膨らむだって
86079	103558	体がエッチになっちゃうんだもんエッチな気持ちよさに喜んじゃってるんだもんだからどんどんエッチになっちゃうんだもんだから気持ちいいのがどんどん大きくなっちゃう気持ちよくなっちゃうどんどん波の間隔が短くなって波がどんどん大きくなっていって
104279	127491	すぐに翻弄されちゃう全部受け入れて気持ちよさを全部受け入れて気持ちいいのにとろけて大きな波に飲み込まれていく敏感な体が快感にどんどん反応していくこのまま波が大きくなって大きくなってすぐにまたさっきの一番大きな波が来るよ
129112	156634	一番大きな方が済むゾクゾクが大きくなる体中飲み込んでいくゾクゾクとした快感が大きくなる気持ちよくて仕方ないたまらないもうダメ?ダメだよ受け入れて押し寄せる快感を受け入れて大きな快感を楽しんで楽しんで大きな波に飲み込まれるまた気持ちよく絶頂迎えようねほら来る
157636	186490	来る来るぐーっと大きな波が来る押し寄せる快感に飲み込まれていく押し寄せて押し上げられて絶頂が来るほら来るゾクゾクとした絶頂感が全身を突き抜ける射精とは違う長い時間続く絶頂気持ちいいのが続く緩やかに収まっていくでも全身に快感の余韻が残ってる
187052	215588	波は完全には引いてないのだからまたすぐ大きな波に乗れるよそうまた大きな波大きな快感の波オーガズムの波ほら今度はゆっくり近づいてくるゆっくり登っていくそかそかとした快感とろけるような快感ぐーっと押し寄せて押し寄せて高まって高まってほらまた来る快感の絶頂オーガズムが
216873	236537	来るほら来たあーすごいね来ちゃったね気持ちいいのが来てるそくそくの波が押し寄せてる飲み込まれちゃう体も意識も全部飲み込んでぶわーって押し上げてぐわーって運ばれちゃうほらどんどん登っていく
236817	254254	快感が押し寄せるのが止まらない絶頂が終わらないオーガズムの快感がいつまでも溢れ続ける快感だけの世界に飛ばされちゃうそくそくふわふわの世界に飛んでっちゃう全身に快感が突き抜ける絶頂感が押し寄せる快感が止まらない止まらない
254714	277615	気持ちいいのが止まらない体が熱くてあそこが熱くて腰の奥が気持ちよくて体中がゾクゾクして頭の中がふわふわして気持ちよくて変になりそうなくらい変になりそうな快感が押し寄せる長い長い絶頂が続いて続いてはじける意識がはじけるほらパンとはじけるはじけ飛ぶ
295907	314500	ゆるやかに引いていく絶頂の余韻引いたのがまだその名残が体に残ってるゾクゾクとした絶頂の欠片が体のあちこちで弾けてるパチパチとピリピリと
