start	end	text
2413	23836	この気持ちいいって感覚を認識して増幅させるのが我慢するっていうことなんだよよくわかるようにもう一回やろっかそうだね今から10数えるね
25379	50521	そうすると意識がはっきりとしていくんだよ。抜けていた力が頭の中に戻るの。そう、催眠状態から抜けるわけじゃなくて、頭の中に力が戻るだけ。催眠の暗示によって頭の中に力が戻るんだから当然。
50781	78299	催眠の暗示によってまた頭の力を抜くこともできるのだからまたすぐに今の気持ちいい状態に戻ってくることができるむしろ暗示を繰り返すたびに催眠の深度は深くなるからさっきよりももっと気持ちよくなれる
81103	107778	それじゃあ、これからまた暗示を入れていくね。おでこのあたりに意識を向けて。そしたら、そこにダイヤル式のボリュームがついてるのをイメージして。そのダイヤルは、今は0。そこから、10まで上げていくよ。
108493	136035	はじめは0、1、2、3、4、5、6、7、8、9、10はい、意識がはっきりとするこれであなたは今、催眠の暗示によって頭の中に力が戻っている状態ですそれじゃあここからまた
138032	165300	頭の力を抜いていって気持ちよく落ちていこうねこのダイヤルを0にしたらまたさっきみたいに気持ちよく落ちていくのそうでも1と0の間には大きな違いがあるんだよ1はまだかすかに力が残ってるから
167066	196996	気持ちよくなっても、まだ落ちちゃダメ。ゼロは力が空っぽだから、気持ちよくどこまでも落ちていいの。10から0まで数えるね。ダイヤルを回すのはあなただよ。はっきりとしたイメージでも、なんとなくのイメージでも大丈夫。
198403	228036	はじめは10おでこのあたりのダイヤルみたいなイメージを99に回してそうそうすると力がスーッと抜ける気持ちよさがふわりと広がる8頭の中から力がスーッと抜ける
229591	255323	気持ちいいのがふわりと広がる7どんどん抜けていくどんどん気持ちよくなる6力がすーっと消える頭がふわーっと気持ちよくなる5
256833	284402	恋に従ってダイヤルを回すそれだけで力が抜けて気持ちよくなる4力が抜けてく気持ちよさが強くなる3頭の中がふわふわとろとろ空っぽに近づいてく
288290	288490	2.
288490	302053	気持ちよさに埋め尽くされてく。ふわふわ軽くて気持ちがいい。1.
302053	315475	頭の中がふわふわで満たされる。意識が気持ちいいところに吸い込まれそう。あと一つで全部抜けちゃう。
320435	343116	まだダメこの気持ちよさを堪能して頭の中で気持ちいいのが膨らんでるふわふわと膨らんでいく催眠の気持ちよさが頭の中いっぱいに広がる頭の中をふわふわとろとろに溶かしちゃう甘い気持ちよさが広がっていく
345260	370932	落ちなくたってとっても気持ちいい今すごーく気持ちいいおあずけは気持ちいいね気持ちいいに浸されてるねふわふわとろとろ気持ちよくたっぷりとろけて
372168	389140	気持ちいいのをいっぱい味わったら今度は…そう、今度は深ーく…落ちちゃおうねゼロ
391132	419565	いいよ落ちて意識がすーっと深く落ちていく落ちていくのが気持ちがいい気持ちがいいのがどんどん広がるどんどん頭の中に気持ちいいのが広がっていく気持ちいいところに吸い込まれていく引き込まれていくすーっと深く落ちる深く深ーく落ちる深く気持ちよく意識がどんどん落ちていく深い耳に入っていく
428318	439255	静かで…心地がいい深くて…気持ちがいい
