timestamp_sec,amplitude_rms,frequency_centroid_hz
0.0,4.6268397e-05,16198.793465663366
0.1,6.132606e-05,16006.103137132119
0.2,6.204685e-05,16011.830774417576
0.3,6.2852356e-05,16070.608164216435
0.4,6.3609026e-05,16061.027978629505
0.5,6.7476976e-05,16092.682263389044
0.6,6.165206e-05,15896.644975094485
0.7,6.75516e-05,16231.582807220097
0.8,6.350171e-05,16144.750614707536
0.9,6.34982e-05,16213.562091417956
1.0,6.347987e-05,16094.534587871354
1.1,6.279223e-05,16018.504560786247
1.2,6.338712e-05,16195.043010240535
1.3,6.328193e-05,16106.66787394225
1.4,6.5197375e-05,16077.180279917298
1.5,6.365347e-05,15986.381518520719
1.6,6.5622466e-05,15964.129672880525
1.7,6.0548035e-05,16064.558014904427
1.8,6.392765e-05,16105.129944441846
1.9,6.59283e-05,16073.077046184893
2.0,6.297303e-05,16037.405368911252
2.1,6.3093765e-05,15866.1988423099
2.2,6.1304156e-05,15885.414092472376
2.3,6.6326065e-05,16143.094795901316
2.4,6.192438e-05,16028.684563515257
2.5,6.1835155e-05,15908.860476200594
2.6,6.455757e-05,15955.04968979397
2.7,6.351563e-05,15851.412582200175
2.8,6.149585e-05,15769.407877928164
2.9,6.165136e-05,16081.657530337303
3.0,6.88794e-05,16136.754653276446
3.1,6.209999e-05,16031.180716899467
3.2,6.8114154e-05,16133.260110507747
3.3,6.657557e-05,16138.951186997934
3.4,6.620021e-05,16050.010893249935
3.5,6.568843e-05,16167.722450939747
3.6,0.00040909898,6458.700810494451
3.7,0.003333114,7165.92100379927
3.8,0.041163202,2326.6290998227246
3.9,0.026457287,2118.703732413637
4.0,0.063285545,2248.530495082337
4.1,0.014709331,4156.543550651319
4.2,0.013444065,7799.508184525477
4.3,0.04016625,2820.3261190491767
4.4,0.028954873,2869.21798754091
4.5,0.028883196,2885.3542697007088
4.6,0.017398018,2777.2410124045
4.7,0.011134669,2686.3048597114994
4.8,0.004480274,7224.200216363547
4.9,0.010822242,6280.421108452534
5.0,0.05398603,1653.9432333836096
5.1,0.03599997,1651.0986401926468
5.2,0.0064528715,3434.221657018478
5.3,0.010010779,8986.39004905266
