start	end	text
1654	27520	とっても気持ちよかったね。だけど、またもっと気持ちよくなっちゃうんだよ。前立腺、ベニズバンドで今度はピストンしちゃうんだよ。ジュボジュボって前立腺をくすり上げながら突き上げるの。優しくなでなでして。
27740	50372	敏感にされちゃった前立腺を今度は激しくされちゃうんだよさっきみたいなゆっくりとした快感で登っていくんじゃなくて激しい快感で絶頂へと強引に押し流しちゃうんだよドキドキしちゃうね指を抜いて
52836	68343	代わりにおちんちんの形した私のおちんちん当ててちっちゃいから大丈夫だよすぐに気持ちよくなっちゃうから
70389	97680	入った瞬間に大きな快感の塊が押し寄せて頭がトローンってしちゃうんだよ体の内側からどんどん気持ちいいのがこみ上げてホテリとウスキが止まらなくなるのドキドキしちゃうの?かわいいいっぱい気持ちよくしてあげるからね
100960	120282	入り口に当たってるよまたさっきみたいに息をゆっくりと吸ってゆっくりと吐いてんー吐いちゃったー
122722	151320	一瞬で表情とろけちゃったね頭の芯まで熱い快感でとろけちゃったねエッチな女の子のおちんちんが前立腺にぴったり張り付いてる中入って満たされてるだけでゾクゾク止まんないねキュンキュンも止まんないね
152343	168747	それに頭もふわふわとろとろにとろけちゃう。だから、これで突き上げられたらすごいの来ちゃうんだよ。ひと月で意識持っていかれちゃうの。
169934	181666	外観の塊が前立腺に叩きつけられてゾクゾクとトロトロがいっぺんに押し寄せて頭の中ふわーってなっちゃうの
183455	209184	まず最初にゾクゾクとした強烈な快感が全身頭の先まで一気に駆け巡ってふわふわとろとろの快感が染み渡るように全身を溶かしていくの頭も体もとろとろにとろけて気持ちよくなっちゃうのいっぱい気持ちよくしてあげるね
213417	215845	ゆっくり引き抜いてから…
219935	245402	ぐーっと前立腺を突き上げる来る快感が来る甘い快感に腰がとろける吐き起こる快感が押し寄せる快感が膨らみながら押し寄せる膨らみ押し寄せ飲み込まれる大きな快感に飲み込まれる頭の奥まで快感が流れ込むふわりと意識が浮かび上がる意識がふわーっと浮かんで快感にトロトロと溶かされる
249521	277759	たったひとつぎで体中が快感でいっぱいになっちゃったねトロトロゾクゾクが全身満たしてる意識もふわふわしてる全身ふわふわトロトロもう一回いくねもっと気持ちよくなっちゃうよ
279584	307765	ゆっくり引き抜いてぐーっと前立腺を突き上げる快感が膨らむゾクゾクとした強烈な快感が押し寄せる甘い快感に前立腺がとろけていく快感が膨らむどんどん膨らんで膨らみながら押し寄せて大きな快感に押し流されるゾクゾクと快感が押し寄せるふわふわっと
308425	329107	とろとろに溶かされる気持ちいいのが押し寄せる飲み込まれるふわふわの意識をまるごと飲み込んでいくそくそくとした快感に飲み込まれる意識が甘くふわーっととろける快感が甘くとろけて広がる意識が甘くとろけて広がる
335799	356412	気持ちよくてトロトロだね それじゃあもっともっとしてあげるね いっぱいいっぱい気持ちよくなっちゃおうね私の女の子をチンチンで 敏感な甘いトロトロの前立腺を
364397	385608	ぐりぐりぐちゅぐちゅっていっぱい可愛がってあげるねほらぐりぐりぐちゅぐちゅ気持ちいいの来ちゃうねいっぱい来ちゃうね前立腺が何度もこすられて
386838	413700	強烈な快感が何度も送り込まれるゾクゾクと痺れるような快感が敏感な前立腺に叩きつけられる前立腺が内側から甘く甘くとろけていくトロトロの快感がどんどん膨らんでいく気持ちよくなっちゃう
415854	444178	気持ちいいの止まんなくなっちゃう快感が押し寄せて体中を飲み込んでいく甘い快感に腰がとろけてゾクゾクに埋め尽くされて快感で飲み込まれるひとつきされるたびに意識をまるごと持っていくような強烈な快感が押し寄せる
448227	476567	何度も何度も来ちゃう快感が押し寄せるのが止まらないゾクゾクが止まらないふわふわが止まらない気持ちいいが止まらない快感が膨らんでいく甘い快感が頭の中を溶かしていく意識がどこまでも広がっていく甘い快感にとろけていく快感が膨らむ大きくなるゾクゾクもトロトロもどこまでも膨らんで
478882	499468	来る。大きな絶頂が来る。ゾクゾクが強くなって、トロトロが強くなって、外観が膨らんで、意識が膨らんで、世界が膨らんで、どんどん大きくなって、弾ける。行く。来ちゃう。気持ちいい絶頂が来ちゃう。いいよ。
500282	522435	で、快感が一気に膨らむ膨らんで弾ける絶頂の快感が押し寄せるゾクゾクが全身を駆け巡りトロトロととろけていく腰の奥の方から快感が膨らんで体中を飲み込んでいく大きく濃厚な快感に飲み込まれる絶頂の快感に飲み込まれるほら
523295	547671	我慢してそうだよ絶頂の快感を感じ続けてゾクゾクが止まらないトロトロが止まらない意識が快感に飲み込まれたままになるゾクゾクが全身を駆け巡り続ける腰の奥から快感が溢れ続ける生き続けるの終わらないの止まらないのそういい子だよ偉いよいい子
549305	573865	快感が全身を溶かし続ける快感で意識が膨らみ続ける続々が押し寄せて止まらない濃厚な快感に身も心も溶かされ続ける3つ数えたらおしまいだよ絶頂しながらまた絶頂を迎えるんだよだからすごいの来ちゃうんだよ
576013	586260	3気持ちいいのいっぱい我慢したね2だからご褒美だよ1ほら来る0すごいの来る
589019	605454	いいよ行って強烈な快感が押し寄せる来る行く弾け飛ぶ快感が弾け飛ぶ全身が溶けて形を失う世界が一気に広がる大きな快感が弾ける飛ぶ行く快感が大きく弾けて膨らんでいく
622225	647899	真っ白な世界に溶けていくドロドロで幸せな世界に溶けていく幸福で満たされた世界全身の輪郭が消えて
650991	677857	心の輪郭が消えて心がむき出しになるむき出しになった心にゆっくりと優しく前立腺から快感を送り込むゾクゾクゾクゾクって気持ちいいのが染み込んでくる
680683	708344	とろけきいた体に甘い快感が染み込む優しくゆーっくりととろとろの心と前立腺を甘く愛撫するように快感の余韻が長く続くように心を甘く溶かすために
711363	738633	いっぱい頑張ったね。いい子いい子。すごく可愛かったよ。偉いね。よしよし。抜けちゃった。またする時もいっぱい気持ちよくなろうね。
