start	end	text
5819	30156	帰りなさい今日も一日お疲れ様よしよしよく頑張ったね何か食べる?甘いもので良ければプリン買ってあるよそれとも甘やかして欲しい?うん分かった甘やかしてあげる
34785	46135	ギュー…何も言ってないじゃんかいいの私が甘えたいんだもんじゃあ私も甘えちゃおっかな?ふーん
56220	82229	ねえねえ、聞いて聞いて。今日ね、お掃除とお料理頑張ったんだ。褒めて褒めて。さっそく甘えてるね。いい子だねって言ってよ。ほら、ちっちゃい声でもいいから。
93685	111438	うれしいもう一回はい時間切れ今度私の番邪魔しないでよダメ私だって甘えたいもん褒めてほしいあれ今日褒めてもらえるようなことしてたかなうん
114915	134730	そ、それはえっとご飯作った私が作った今言ったでしょ掃除したそれも私えっとえっとえっと
138632	150511	お風呂入った?お風呂入ったもうお風呂入ったえらい褒めて褒めてほらいい子だねってちゃんと言ってあげて
158052	183631	やったーありがとうよかったね 褒めてもらえてよかった嬉しい嬉しいよ痛いよなんで叩くのさだって嬉しいんだもんわかるけどあなたはちゃんと寝坊しないで起きた?
186252	200906	そっかーえらいねーよしよしいい子いい子ご飯もしっかり食べた?そっかそっかえらいよーいい子いい子
206042	230594	いいんだよー褒められる理由なんてそう立派なことをした日でもしてない日でも褒めてもらいたいじゃない?褒めてもらうの嬉しいもんだからいいのねー?じゃあ今日は
232458	244940	いっぱい褒めてあげるねよしよしってしていっぱいアマエンボさんになろうねん?赤ちゃんプレイじゃないよ
246854	271449	ちゃんとした大人だって褒めてほしい時も甘やかされたい時もあるんだよ私たちだってあるもん上手くいかない時とか落ち込んだ時とかね何もない平和な日だって甘やかされたいでしょ?えへへだから一緒だよ私たちと
274455	301412	褒める内容なんてなんでもいいの 些細なことでもなんでもそれがすごく嬉しくて幸せなんだよ 好きな人大切な人に褒めてもらえた認めてもらえた そんな積み重ねがね心の中に少しずつ溜まっていって
304381	325961	優しくて愛おしくて幸せな気持ちになって満たしていくの私たちもあなたの言葉で満たしてほしいしあなたのことも満たしてあげたいのだから今日は3人でいっぱい気持ちよくなろうね
