start	end	text
1920	13069	だから今日は気持ちよくなるお手伝いしてくれる?軽く脱力してこっか
16966	38810	まずは、右腕ね。右腕に意識を向けてくーださい。むけてくーださい。そしたら、3つ数えると、力がじわーっと抜けていくよ。
39775	65140	ここであなたにお願いですお願いでーす私たちが3から1まで数えるから0って言ってくれる?そう小さな声で0って言ってね私と私と
67062	96893	あなたの三人がかりであなたに催眠をかけるんだよいつもの3倍の催眠パワーで深くかけちゃうのもし声が出せないよ出したくないよって言うなら息を吐きながら口パクさせるだけでもいいからねOK?
99923	122788	じゃあいくね321右腕の力が抜けるそう上手 力がスーッと抜けていく感じが心に染み込んで右腕から力が抜けるスーッと抜ける
127848	156109	いい子だよ上手にできたねちゃんとやってくれて嬉しい?いい子いい子褒められると嬉しくなっちゃうねじゃあもう一回やろう次は左腕ね上手にできたらまたいい子いい子してあげるからね
159976	186888	321そう偉いよいい子だね左腕の力が抜けるいい子だよ力がスーッと抜けていく言葉が心に染み込んで左腕から力が抜けるいい子だねよしよし褒められて心が嬉しくなるいい子だよ
193021	215277	じゃあ次は右足ねいくよ321そうそういい子だよ力がスーッと抜けていくハンジが心に染み込んで右足から力が抜ける
217829	238140	よしよし褒められるのは誰だって嬉しいもんねいい子だよじゃあ最後は左足いくよー321
242591	267949	いい子だよ左足の力が抜けるどんどん力が抜ける上手に言えたから汗が体に染み込んで左足から力が抜けるよしよし嬉しいよ手伝ってくれて嬉しいよありがとういい子だよ
271385	299059	いい子って言われるだけで心が嬉しくなるよいい子いい子ほらほわーって心が嬉しくなるいい子いい子心があったかくなる上手にできたからいっぱいいい子いい子しようねうれしいねいい子いい子
301643	323480	いい子いい子あなたが手伝ってくれたからとっても上手に暗示が入ってることに気づいたかな全身からじわーっと力が抜けてくだけじゃなくて心も温かい気持ちがふわって広がってるの
329926	356007	すごい嬉しいだってやってくれなかったら寂しいなって思ってたからさねーわかる?やってくれたの嬉しい?じゃあもっともっと一緒にしていこうね一緒に気持ちいい催眠に落ちていこうね
358145	383950	次は、一緒に深呼吸しよっか心をシンクロさせる前に、呼吸のリズムをシンクロさせていくの息をね、ゆっくり吸って、吐いてってするから、一緒に合わせてね
386933	414076	ああ、でもぴったり同じにしなきゃーなんて思わなくていいからね。ちょっとくらいずれてても、なんとなく合ってれば大丈夫。大事なのは、一緒に呼吸してるなーって心が気づくこと。それが心地いいなって受け入れること。
415732	444253	3人で一緒にリラックスしていくのを楽しみましょうねそれじゃあいくよゆっくりと吸ってちょっと止めて吐いてそう上手だよもう一回吸って
447430	476736	ゆっくり吐いてそうそう、いい子だねそのまま続けて口を軽くすぼめてうん、いい感じ吐息でセッションするみたいに呼吸を合わせるだけで
482508	510889	心が落ち着く心地よいリズムふわりと心地いい音を空気の音を奏でて心が落ち着く音を奏でて深く心地よい音
513995	533596	自然と力が抜ける脱力する心がシンクロするのが気持ちいい今度は私とも
544685	573278	呼吸が重なる心が重なるスーッと力が抜けて心地いい息を吐くと力が抜けるスーッと抜ける頭の中から力が抜ける
579545	602122	スーッと抜ける呼吸が重なる意識が重なる重なると重くなる頭が重くなる
607467	636664	心地よい重さだから今度は私も混ぜて3人分の心地よい重さ呼吸が重なる意識が重なる意識が重くなる
641493	665622	ぐーっと重く深く重く落ちるどこに落ちる?深い世界に落ちる呼吸の音が重なり意識が重なり
669823	699113	絡み合って混ざり合って深いところにいんなで一緒にぐーっと落ちる意識が重なって
703785	723173	声が重なって意識にまとわりついて絡みついてどんどん心地よく
727313	756398	どんどん気持ちよく意識が深ーく深く深く落ちていく落ちれば落ちるほど心が強く結びつく心と心と心が
760750	788990	3人の心が重なって深く落ちる呼吸自由にしていいよどうしてかはわかるよねもう心が繋がったから呼吸を合わせる必要はないの
792262	818763	私たちのいい世界であなたと私たちの3人そうだよ今頭がふわふわして気持ちよくなってるのはあなただけじゃないの私たちもあったかくてふわふわで幸せな気持ちに包まれているんだよ
819903	844675	あなたの温かさが私の中に流れ込んできてあなたの温かさも私の中に流れ込んできて私たちの温かさがあなたの中にも流れ込むの心の内側から
846027	870967	じんわりと溶かされるような満たされるような優しさと幸せと幸福感が心の中に広がって満たしていくだから三人一緒にもっともっと気持ちよくなろうね
