start	end	text
1688	10949	5つ数えると、今よりももっと深いところに落ちることができるよ。
11427	40590	三人分の意識の重さでもっと深く落ちるの頭の中の気持ちいい感覚が今よりももっと強くなって深いところに引っ張られるように気持ちよく落ちるの最初は私があなたたち二人のことを気持ちよく落としてあげるね
44526	68487	よろしくお願いします5から1までは私が数えるから最後の0は2人が言ってくれる?さっきみたいにひそひその小さな声でも口パクでもいいから深く落ちるのに協力してね
74920	85814	って言うね二人がお互いに落ちる合図を送り合うのそうするとすごく気持ちよく落ちれるからね
104294	132365	意識が深く落ちるずーっと深く落ちる吸い込まれるように引き込まれるように深く強く落ちる意識が重く深く落ちていくとっても気持ちいいね
139705	166019	いっぱい堪能していいよ深いところに落ちていくの気持ちいいもんね頭の中がふわふわして心地よくてあったかくて幸せ
174275	198855	でも気持ちいいねでもまたもっと気持ちよく落ちるために一回起きようね完全に覚醒するわけじゃなくて落ちるために半分だけ目覚めるの
203235	232170	3つ数えると頭の中はふわりとした気持ちよさを感じたまま意識が浮かび上がるよまた落ちるためにもっと気持ちよくなるためにふわりと目覚める1つ2つ3つ
245256	255946	はい、おはようおはよう二人とも気持ちよさそうに落ちてたね気持ちよかったじゃあ次は
258495	285792	私が落としてあげるねよろしくお願いしますまた5から1まで私が数えるから2人は0って言って一緒に深く落ちてくれるかな?
289991	314424	今度は私と一緒に落ちようね今から5つ数えるとあなたたち2人は深いところに落ちていく深くて気持ちいいところに落ちていく自分たちでゼロの合図をするから
316494	331367	いつもよりもずっと深く落ちることができるそれじゃあいくよ54
340530	365427	意識が深く落ちるすーっと深く落ちる吸い込まれるように引き込まれるように深く強く落ちる意識が重く深く落ちていくとっても気持ちいいね
370032	398558	いーっぱい堪能していいよ深いところに落ちていくの気持ちいいもんね頭の中がふわふわして心地よくてあったかくて幸せとっても気持ちいいね
401676	429926	でも、また、もっと気持ちよく落ちるために、一回起きるよ。三つ数えると、意識が深み上がるよ。また落ちるために、もっと気持ちよくなるために、ふわりと目覚める。
432544	460352	一つ二つ三つはい、おはようおはようふわふわする気持ちよかったね二人ともトロトロ
473640	495494	すごーい気持ちよかったそうだね二人とも上手に気持ちよくなれてたねいい子だよ嬉しい褒められたいい子いい子なんでなんで
503834	525620	今度は、今度は、二人で落としてあげよ?あらら、やっちゃいますか?やっちゃいます。じゃあ、今度は二人で、あなたのことを落としていくよ?
527258	535874	でもあなたにも協力してもらうことになるから3人だね3人で
537803	562453	あなたをどっぷりと気持ちいいところに落としちゃおうね5から1までは私たち2人が最後の0はあなたがこの0はただの合図じゃないよ私はこれから落ちるんですっていう宣言で
563902	589878	私を落としてくださいっていうおねだりの大切で気持ちいいゼロなのだからあなたがゼロって言わなければ落ちることはないけどもし言ってくれたならその時は
591761	611161	すごく深いところまで落ちちゃうんだよそれじゃあいくよ54321
