start	end	text
3155	24988	それじゃあもっともっといっぱい落ちていっぱいいっぱい褒められちゃおうね今から何度も起こして落としてってするよ上手に落ちたらちゃんと褒めてあげるからいっ
25411	51515	いっぱい気持ちよくなろうね頭の中ふわふわで幸せいっぱいにしようね3つ数え上げると意識が浮かび上がる5つ数えて0を合図に意識はスーッと落ちる
53892	76372	ゼロって言って上手に落ちたらいい子いい子してあげるからねそしたらふわふわにとろけて気持ちよくなるんだよいくよー1つ2つ3つ
83351	109779	ちゃんと起きたねいい子だね頭がふわりと幸せに溶けるそしたら落ちるよ5432100を合図に意識が落ちる意識がスーッと落ちる
112323	134846	いい子だねちゃんと言えたねちゃんと落ちれたね意識がふわーっと幸せに溶けるトロトロで気持ちいいねよしよし偉いよいい子だよだからもう一回するね
145736	166980	ひとつふたつみっつはい起きていい子だちゃんと起きれた頭幸せでふわとろだねさあ次は落ちるよ543
171692	200811	ゼロどんどん深く落ちるよ意識がスーッと落ちるいい子だね気持ちよく落ちたえらいよ深く落ちれた褒めてもらえるの嬉しい?嬉しいよね幸せで溶けちゃうもんね
203162	218090	落ちるのも気持ちいいのに褒めてもらえるのが嬉しくて幸せで頭の中もっともっと溶かされちゃうねいい子いい子
220515	246145	よしよし褒めてもらうのが気持ちよくて幸せなんだよってあなたの心が覚えていくからどんどん幸せになっていっちゃうんだよさあだからもう一回起こすよ一つ二つ三つ
249318	271612	ほら起きていい子だねちゃんと起きれた目覚めた意識が幸せに溶けていくだからまた落ちようね5432
274780	299040	10意識がスーッと落ちていくいい子だねどんどん落ちてく幸せで届けてく褒められるのが大好きになる元から大好きだったならもっともっと大好きになってくもっともっと幸せになってく
302544	323917	だから、そのために、褒めてもらって、幸せでとろけていくために、とろとろになるために、一つ、二つ、三つ、意識がふわりと浮かび上がる。そう、いい子だね。
324709	350776	褒められると頭がとろけてく嬉しいね幸せだねだから次は落ちちゃうよ543210意識がスーッと落ちるどんどん上手になってく
351891	375818	どんどん幸せになっていくどんどん深く落ちていってる気持ちいいで埋め尽くされてる幸せでいっぱいになってる偉いよいい子だよもっともっと落ちちゃおうねとろけちゃおう
380263	405055	いい子いい子頭がふわりと溶けるよしよし幸せに押し流されるなでなで本当に幸せそうな顔してる可愛いよ本当だ気持ちいいんだもんねよしよし
406924	424493	いっぱいとろけていいからねそうだよいっぱいいっぱいとろけちゃおうね可愛いな愛しいな
443704	463402	ねえ、好きって言われてドキってしちゃったでしょ?ほっぺたにまーってしてるよ?ちょっと体温も上がってモテてきちゃった?
465260	488318	嬉しくて恥ずかしくてっていう時は耳が熱くなっちゃったりするもんね耳元であんな言葉ささやかれたから余計にかわいいねえもっと
496888	503603	いいね私も見たいなもっともっと可愛いところ
