start	end	text
209	25782	気持ちいいね。ふわふわとろとろだね。体の力は抜けていって、頭の力も抜けていって、ふにゃーってなるの。なにそれ。力が抜けたらふにゃふにゃになるんだよ。ふにゃふにゃに。
26743	43720	そう、ふにゃふにゃに。気持ちよさそうだね。気持ちいいよ。だってふにゃふにゃだもん。体も頭もふにゃふにゃ?うん、全部ふにゃふにゃ。そっか。
57448	86127	今から3つ数えて合図をすると、ふにゃーってとろけちゃうよ。頭も体もふにゃーってとろけて、とろとろになって気持ちよくなるの。幸せでふわふわでふにゃふにゃで、気持ちよさにとろけてくよ。じゃあ私が3つ数えるね。
86558	115725	合図は私いくよ321ふにゃーん気が抜けて脱力していく気持ちよくとろけちゃう気の抜けた合図だねでしょ?だから気持ちよくなるにはぴったりの合図なんだよ
117282	145696	ほんとね、小難しい考えも嫌な出来事も全部抜けちゃうね。そうだよ、くだらなくて頬が緩んじゃうの。ふふふって、なんかキレたような、微笑ましいような、優しい気持ちがふわりと広がって、気持ちよーく脱力しちゃうの。
146954	171835	ほら、もう一回数えて。はーい、いくよー。3、2、1。ふにゃーん。ほら頭がふわーん。意識がとろーん。気持ちいいのがふわーん。
174890	202345	どんどん溶けちゃうよほんとバカバカしくてくだらなくてでも可愛くて癒されるねそのくらいがちょうどいいんだよちょっと笑みがこぼれて優しい気持ちが広がって片肘張らずにくつろげるでしょ?
203863	229983	そうだねそういうの好きだよじゃあもう一回やって?いくよ321ふにゃーん気持ちいいね頭の中に気持ちいいのがいっぱい
233345	260642	癒されるね体も心もどんどんふにゃーってなってくふにゃーって声があなたの中に広がってくまぬけで可愛くてくだらなくて癒される気持ちいい合図幸せな声
261812	287314	もっともっと溢れてく321ふにゃーん幸せがふわーっと広がるふわーっととろけるとろけて気持ちいい優しい笑みが溢れる
290663	316012	温かくて緩やかな気持ちで満たされる体の力もとろけて消えていく頭の力もとろけて消えていく余計な疲れもとろけて消えていく余計な考えもとろけて消えていくふにゃんの言葉が気持ちよくトロトロにしていく
318447	345104	321ふにゃーふにゃーふにゃふにゃーふーにゃーふーにゃーふにゃーふにゃーふにゃーふにゃー
349807	373175	いっぱい抜けちゃうね気持ちよくって幸せトロトロだねふわふわだねふにゃふにゃだねふにゃふにゃ321ふにゃーふにゃー
375618	402914	気持ちよーくふにゃー幸せになってふにゃーとろとろになってふにゃー心があったかくなるぽかぽかする内側からあったかいのが広がる
405083	431140	外側を温かいのに包まれる心の内側にじんわりと優しい温かさが広がる心の外側はぽかぽかと優しい温かさに包まれる少しの間
432020	454306	この気持ちいい感覚に浸ってゆっか。もし眠くなったら、眠っちゃっても構わないよ。声が聞こえない分、余計に私たちの心を近くに感じることができるよ。
460432	465470	自分の心の温かさに意識を傾けて
562205	572414	気持ちいいね頭ふわふわふにゃふにゃ
