start	end	text
270	24869	気持ちよかったねよしよしいい子いい子今度はおちんちんも気持ちよくしてあげるからね乳首なんかよりもずっとずっと敏感なここを
30500	55813	二人がかりで攻め立ててトロトロにしてあげる快感が溢れて溢れてトプトプーって溢れ出ちゃうくらいたっぷり可愛がってあげるあったかくて柔らかな手のひらでそっと包み込むように握ってゆっくりと
57736	78533	上下に…熱い…ゾクゾクしちゃうね…それにすごくエッチだね…ここ触れられてるだけでゾクゾクしちゃうし…
80592	109622	トロトロになっちゃうよね普段自分でする時の何倍もゆっくりとした動きだから快感が溜まっていくペースもゆっくりゆっくりもっといっぱい溜められるようにここにもキスしてあげるね力が抜けて
111179	140455	気持ちいいのがふわーって広がる不思議な傷。ドキドキする?大丈夫だよ。もし我慢できなかったら、途中で出しちゃってもいいから。根元の方で熱いのがこみ上げてるのわかるよね。それが、
141787	170444	キスするとふわーって広がっちゃうんだよじゃあ3つ数えてあげる3おじいちゃんの先端に唇寄せて2力を吸い取る不思議なキス1
178680	198190	快感がふわりと広がるエッチなキスゼロ快感がふわーっと奥の方から溢れてくるこみ上げてくる広がって溢れるちょっと甘くてすごいエッチな味だよ
199578	229177	私までドキドキしちゃう。そんなに甘くてエッチなのが、奥にたっぷり溜まってるんだ。エッチな体だね。甘くてエッチで濃厚なの、ピューって出しちゃう?でも、トプトプって溢れさせちゃうのも気持ちよさそうだね。
230257	252818	快感でひたひたになってトロトロになって収まりきらない白くて甘い快感が溢れちゃうのトプトプーって溢れ出ちゃうの想像するだけで気持ちよくなっちゃいそうじゃあそのために
254681	283570	もっといっぱい溜めちゃおうねもう一回キスしてあげる3今感じてる気持ちいいのが2またふわーって膨らんじゃうんだよ1先端2またちょっとエッチなの溢れてきてる美味しそう
288026	310795	0いくよー快感がふわーっと広がってく溢れてく甘い甘い快感が奥から溢れてくるさっきよりちょっと味濃い気がするよ
314530	337132	どうしたのかなどんどんエッチな体になっちゃうねもっともっとしてあげる今度はキスするだけじゃなくてもっとすごいことしてあげるお口でチュってするだけでも気持ちいいけど
339009	366549	口の中に加えて全部包み込んでトロトロにしてあげるチュってすると気持ちいいのがふわって広がるから加えてる間は気持ちいいのがふわふわふわーって広がり続けちゃうってことかな?そういうこと
368870	396084	いっぱいいっぱいとろけてねじゃあ数えてあげる3気持ちいいのいっぱい膨らんじゃうよ2おちんちんの奥の方に甘いのがとろとろーってあふれてるねそれがまた膨らんじゃうよ1先端2
402989	426749	くちびる…あてて…せーの!気持ちいいのがふわっと大きくなるぷにぷにのくちびるすぐらせて…さきっと…おくしのなかに…わぁ…すごい…
427347	450627	飲み込まれちゃってるよ…すごいエッチ…舌をやらやら絡めて…ゾクゾクとした快感が溢れてく…柔らかくてあったかい舌で…
451859	481005	体幹が溢れるとろとろにとろけて溢れちゃうふわーって広がる溢れる溢れるのが止まらない気持ちいいの止まらないおちんちんの奥が甘くとろけるどんどんとろけちゃうもっと奥まで
