start	end	text
3664	31727	さ、それじゃあ、あなたを癒すための甘やかしタイムの始まり始まりー。ということで、まずは、耳を癒すところから始めましょうか。耳にはツボがたくさんあって、刺激してあげると自律神経が整ってリラックスできるから、癒しのポイントとしてはすっごくいいのよ。
33543	60089	じゃあ、こっちに来て。うん。私の膝の上。仰向けに寝てもらえる?耳をマッサージするには、膝の上に寝てくれた方がやりやすいのよ。あれ?恥ずかしがってる?大丈夫。ほら、おいで。
68720	93451	どう?私の膝の寝心地。柔らかくて温かい?言葉にされるとちょっとくすぐったいわね。あ、ほら、今私の匂い嗅いだでしょ。まあ、でも、いい匂いなら悪い気はしないわね。
95742	112813	自分じゃわからないからそう言われるとなんだかちょっと恥ずかしいけどそれじゃあ始めるわねまずは軽く耳のタッピングからやっていくわね
127201	153526	どう?気持ちいい?あなたは強めが好き?それとも弱めがいいかしら?
168629	187192	あなたのちょうど気持ちいい強さでやっていくからねこれくらいかな
205334	232970	こんなところかな?気持ちよかった?タッピングってやっている方も気持ちいいから私も癒されちゃったでもここからはもっともっとあなたのことを気持ちよくして癒してあげるじゃあ次は耳かきしていくわねまずは右耳から
234552	258968	右耳を上にしてもらってもいい?うん、それで大丈夫。ありがとう。それじゃあ、最初はこっちのヘラを使ってやっていくわね。お耳、失礼しまーす。まずは、入口のところから。
273041	275838	優しくゆっくり
306852	309974	少しずつおくの…
340855	369348	これくらいかなじゃあこのまま反対側のふわふわ梵天を使っていくねちょっとくすぐったいかもやっていくわねどうかな
384241	402331	あれ?やっぱりくすぐったかった?そっか、最初はそうかもね
413410	414920	いけた気持ちいい?
442865	445299	あなたが気持ちよくなってくれるよ
471915	496771	はーい、これで右耳はおしまい。それじゃあ次は左耳ね。反対側を向いてもらってもいいかしら?うん、ありがとう。さっきもそうだったけど。
497867	518894	頭の位置を変えるのに私の膝のことを気遣って頭を上げてくれたなーって。あなたのそういうところ、好きかも。じゃ、左耳もまずはヘラからやっていくね。こっちも入り口から。
539997	563842	気持ちいい?力を抜いてリラックスしてくれて大丈夫だよ
593204	621713	やってほしいところがあったら言ってねどこでもあなたのリクエストに応えるから
628095	653410	あなたが癒されてる顔を見るの私好きなんだうんこのくらいで大丈夫かなじゃあここからは梵天に帰って
656165	658325	優しくケアしていくね
703195	721897	真っ白でふわふわしてて可愛いよねそんな梵天であなたの耳を癒していくよ
738561	767626	よし梵天もこれでいいかなこれで耳かきはおしまいあれ?もっとやってほしかった?そんな顔してるうーん今日はここまででも大丈夫よまた私の耳かきが恋しくなった時はいつでもやってあげるから
769666	793882	大切なあなたのためならねそれじゃあ次の甘やかしをやっていくね今度はマッサージこのこんにゃくスポンジを使って癒していこうと思ってこんにゃくスポンジ知ってる?
795758	820966	こんにゃく芋の繊維から作られた天然由来の柔らかーいスポンジなの今は乾燥した状態だからカチカチだけどお湯で戻すとプルプルになってすっごく肌触りが良くなるのよまずはこのこんにゃくスポンジをぬるま湯につけて柔らかーくして
827339	837027	柔らかくなったね?こんにゃくみたいにぷるぷるになったでしょ?そうしたらほほばオイルをスポンジになじませて
849552	869859	これでよしたオイルがたくさん染み込んだふわふわシュワシュワのこんにゃくスポンジ完成それじゃマッサージやっていくね最初は少し弱めに
894575	918031	どうかな?気持ちいい?だんだんオイルが馴染んできたかな?
927076	950178	そうしたら少しずつ強くシュワシュワシュワ
969635	997477	こんにゃくスポンジのプルプルとオイルのシワシワが耳を刺激してすっごくいいでしょおすすめの組み合わせなんだよ力を抜いて
999301	1026233	リラックスしてくれて大丈夫だからねシュワシュワシュワシュワ
1046577	1072066	どうだった?心を込めた甘やかしシュワシュワマッサージでたっぷり癒されてくれた?うん、それなら私も嬉しいわ。じゃあ、最後の仕上げに…ふふ、びっくりした?
1074228	1098509	耳を息ふーってするとゾクゾクってなって気持ちいいでしょ。あれ?なんだかとろけそうな顔してる?もしかして気に入っちゃった?しょうがないわね。じゃあサービス。
1106483	1133626	もう一回ずつ。左と右、両方からの耳拭きどうだった?って、あなたの顔を見ればわかる。
1138003	1162098	喜んでもらえてるの伝わってくるからさてこれで耳のおもてなしは全部おしまいかなお疲れ様ゆっくり起き上がってねあ、でも特別な甘やかしではもちろんこれで終わりじゃないよ
1163217	1174159	まだまだあなたのこと、たくさんたくさん癒してあげるから。というわけで、次のおもてなしをする場所にご案内。
