start	end	text
7870	33095	じゃじゃーんどうかなこのシャンプー台コンパクトだけど部屋の中で服を着たままでもシャンプーとかもできる優れものなのあーそう前に買ったのよ意外とお手頃価格だったし配信でも使えるかなーって思ってそれにいつかあなたにもおもてなしできればいいなーって
34722	55803	そのいつかも意外と早く来ちゃったけど まあそれはともかくこれからこのシャンプー台であなたにシャンプーとか 頭皮マッサージとかいろいろおもてなししていくわねヘッドスパみたいな感じかな
57719	75935	頭皮が凝ってると首とか肩とかも凝ってくるから、休んでもなかなか疲れが取れないと思うの。だから、頭皮のコンディションを整えるのは、あなたを癒すのにすっごく大切になるかなって。はい、ここ座って。
88047	107664	じゃあまずはブラッシングからしていくわねはい、そのまま動いちゃダメよ溶かしていくわねシャン、シャン、シャーン
116722	137647	あなたの髪の毛、すっごくブラシの通りがいいわね。サラサラだからかな?
153549	181914	うん、ブラッシングはこれでオッケーかな。次は、この炭酸シャンプーを使って洗っていくわね。あ、いい匂い?これ、私の好きなラベンダーの香りなの。
183522	212850	ラベンダーの香りの主な成分なんだけどリナロールとサクサンリナリルっていうものがあってねこれは気持ちを落ち着かせてゆったりとリラックスさせてくれる効果があるのだからラベンダーは癒しのシャンプーにはぴったりなのよそれになんといってもとってもいい匂いよねあなたも気に入ってくれた?
216273	241259	それじゃあ、洗っていくわね。シャワーを出して…うん、温度も大丈夫そう。髪の毛、濡らすわね。よし、と…じゃあ、シャンプー開始ー。
244208	262471	まずはたくさん泡立てて…出来た泡を髪の毛全体になじませていくわね
279920	305080	そしたら、指のお腹を使って洗っていくゴシゴシゴシ少しパチパチする?
311341	330528	炭酸シャンプーだからねでもこのバチバチがクセになったりするんだけど
346880	371244	あなたはどうかな?私も、あなたにシャンプーできて良かったかもだって、こんなにも幸せそうな顔をしてくれるから
388122	403064	もし洗い足りないところがあったら言ってね大丈夫?じゃあこのまま続けて
416776	444721	ゴシゴシゴシ仕上げに全体を
456880	460922	こんな感じかな?
460922	478493	すごく幸せそうな顔してて私まで嬉しくなっちゃったじゃあこのまま頭皮マッサージもやっていくわねまずは指を使って押していくところから
495008	519673	ぎゅーぎゅーそうしたら今度は手のひらでこするようにほぐしていって
535876	558252	頭皮を動かすことを意識するといいんだってこんな感じ
577072	594757	そのまま首の付け根と襟足も…ぎゅ、ぎゅ
604645	631648	あなたが少しでも楽になってくれますようにうん、たっぷりほぐれたかなーそれじゃ泡を洗い流していくねお湯かけまーす暑かったら言ってね
635577	660350	まずは全体をザーッと流してそのまま頭のてっぺん
676567	697479	泡が髪に残らないように耳の後ろも忘れずに
733313	743577	最後にもう一回全体を流して…うん、これでバッチリ。
746085	771916	頭が軽くなった気がする?そう言ってもらえると頑張った甲斐があったかもあ、でもまだ最後の仕上げが残ってるのよね髪の毛濡れたままじゃ風邪ひいちゃうからちゃんと乾かさないとというわけでマスはタオルで乾かしていくね
784837	805381	こうしてるとなんだか子供の頃思い出す
816055	842282	小さい頃お母さんに拭いてもらったりしてたの?そうなんだかわいい
850635	877972	ほーらママですよなんてタオルはこれくらいかしら?ここからはドライヤーで乾かしていくわね後ろから当てていくわね
886386	913297	暑くない?大丈夫?じゃあこのままあ、そうだトライヤーが終わったら
914133	940694	次の甘やかしがあるからね。何かは、まだ秘密。あとちょっとだから、楽しみにしててね。
