start	end	text
490	26778	ドライヤーお疲れ様でした毛先までちゃんと乾いたしこれなら風邪をひく心配もないわね次も少し場所を変えて甘やかしをしようと思ってるんだけどあれ?雨?
30430	53366	風が涼しくなってきたと思ったら いつの間にか降ってきてたのねしかも結構本降りでもちょうどいいかもあ、ううん気にしないで 次の甘やかしに雨の音はぴったりかなーって思って
54992	83427	どういうことかって?すぐわかるから今はまだ秘密よこっちついてきてはい次はここでおもてなししてあげるうんそうねえ?
84546	111427	寝室で何をするのかって?気になる?それはね今から一緒に添い寝しましょうそ、添い寝ここのところ寝不足だって言ってたわよねそれって寝つきが良くないからじゃないかなって思って
113272	138686	寝つきが良くないとその後の眠りも浅くなってあまり良くないっていう話も聞いたことがあるしだから私が安眠のためのいろんな甘やかしをしてあなたがくっすり眠れるようにしてあげる寝不足はストレスのもとになるし心の健康にも良くないからね
140244	165117	じゃあまずはベッドで横になってもらえるかしら寝心地はどう?体重を分散させて腰に負担をかけない特別なマットレスを使ってるし
166799	189103	枕も低反発のウレタンだから、体も休まるかなーと思って。それじゃあ、そのまま目をつむってもらってもいい?そしたら…こうやって耳を塞ぐの、どうかしら…
191596	221313	耳塞ぎって言って周りの音を聞こえなくすることでリラックスと緊張緩和の効能があるみたいなの私の手の温度で耳も温まるし耳の血流も良くなって体も温まるのよね落ち着く?じゃあ少しこのままでいるわね
241634	251385	これくらいかなどうだった?リラックスできた?そっかそれならおまけでもう少しだけ
272527	299718	はい、おしまい。あ、結構気に入ってくれたみたいね。あなたが何を考えてるか、顔を見ればだいたいわかるようになっちゃったかも。今から、もっと、もっと、あなたのことを甘やかして、癒してあげるから。それじゃあ。
301942	313441	ぎゅーびっくりした?ハーブも安眠にはいいんだよ
331793	357359	好きな相手にハグをされるとオキシトシンっていう幸せを感じるホルモンが分泌されるんだってなんだかわかるの?
378233	404677	大好きな相手と体温を分け合ってるって感じが落ち着かせてくれるっていうのが大きいのかも幸せ感じてくれてる?
423678	428485	今だけはゆっくり休んで大丈夫なんだよ
465669	492267	こうやって背中を指でトントンってするのもどうかな寝かしつけにはすごくいいんだって赤ちゃんの頃にやってもらったこととかない?ってさすがに覚えてないかなでも今日は
494232	519936	今日だけは赤ちゃんに戻って私の腕の中で好きなだけ甘えてくれていいからよーしよしいい子
537090	537212	力を抜いて
584695	597203	辛いことは全部忘れて今日は私のことママだと思ってくれていい?
621217	625312	私はいつでもあなたの味方だ
650067	678902	雨の音聞こえるかしらポツポツって雨粒が屋根に当たってる音さっきちょっと言いかけたけど雨の音もすごく安眠にいいらしいの雨音に含まれてるF分の1揺らぎっていう音の揺れが
680457	707185	自律神経を整えてリラックスさせてくれるのなんだか心地いいわよねこの独特のリズムが眠気を誘ってくれるのかも雨と私どっちにもたっぷり癒されてね
727302	753813	なんだか目がトロンってしてきただんだん眠くなってきた?そのまま寝ちゃって大丈夫よ私はここにいるから安心してずっとずっとあなたのそばにいる大丈夫
762449	781580	離れないわそうだ今度は少し姿勢を変えてぎゅーね私の心臓の音聞こえる?
790675	809947	とくんとくんって小さくなってる心音も安眠に効果があるんですって
820159	846194	聞いてるとすごく安らげるって大好きな相手の心音だと特に効果があるのよね
861719	883420	あなたはどうかしら?私の心音でリラックスしてくれてる?
904902	933116	大丈夫そのまま私の音だけを聞いてくれればいいからおやすみなさい今だけは
940011	960219	何もかも忘れてゆっくり休んでね寝ちゃった…かな?やっぱりだいぶ寝不足だったのかしらね
962219	984518	あなたの隣にはずーっとずーっと私がいるからあなたのこと見守ってるから安心してぐっすり眠ってね
1003182	1006390	今日も一日、本当にお疲れ様
1032275	1056294	可愛い寝顔おやすみのキス私はあなたのことが大好きだよこれからもずっとずっとずーっと
1077128	1087391	明日からもまた一緒に楽しい時間を過ごそうね約束よ
1116869	1144436	私も少し眠くなってきちゃった雨のせいかなそれともあなたが隣にいるから?これからも
1151260	1167140	あなたの隣にずっと一緒だよ
