start	end	text
4974	32101	そろそろ声のイメージにも慣れてきましたか?それじゃあもう、言葉もいらないかもしれませんね。今度は、私の声と元のイメージだけで気持ちよくなってみましょうか。ほら、あなた専用の首輪ですよ。この首輪を望んで着けたら、
33382	61945	あなたは私の可愛いワンちゃん。私の声と音のイメージだけで感じてしまう。とっても可愛くていやらしいワンちゃん。よしよしされたら嬉しくなって、深呼吸でほっとする。なでなでされると眠たくなって、カウントダウンで落ちていく。
64553	87080	ギュッてされたらドキドキして、私の声に興奮する。でもそれは当たり前のこと。私の声が好きなら当たり前のこと。そうなってしまうのは当然のこと。
89708	115767	エッチな気持ちになった後は、私の声を受け入れるだけ。私の音で感じるだけ。あなたは声のイメージをそのまま受け入れて、気持ちよくなれる。もし、別の首輪をつけたことがあるのなら、その時の記憶がよみがえったりするかもしれません。
120295	148495	それじゃあ首輪をつけて非日常を楽しみましょう私の声をイメージのまま思うがままそっくりそのまま受け入れてくださいよしよしいい子いい子
150185	158451	わんわんよしよしすーはーすー
180914	201727	はぁーすーはぁーすーはぁー
217128	241014	深呼吸深呼吸深呼吸
267066	269688	すーはーよしよし、いい子いい子すー
284223	307654	スースースー
315880	339503	はぁーすーはぁーすー
345378	368631	吸う吐く吸う吐く
384570	400614	すーはーすーふーぼやーぼーふわふわほわほわ
403918	424883	ぼやーぼーよしよしいい子いい子
437657	461567	にぎにぎにぎにぎにぎにぎにぎにぎにぎにぎにぎにぎにぎにぎにぎにぎにぎにぎにぎ
470882	492332	にぎにぎぎゅーぐーぱつーたらーじわーじんじんじわじわぽかぽか
498586	525728	よしよしいい子いい子にぎにぎにぎにぎにぎにぎにぎぎゅーばにぎにぎぎゅー
534293	561685	ぎゅーぱにぎにぎぎゅーぐーぱつったらじわじんじん
563159	573095	じわじわぽかぽかよしよしいい子いい子
625568	635733	クラークラー543210
644779	646863	つたらくらぼや
703854	714067	クラークラー543210
719362	747547	つたらくらぼやわんわん
748683	768490	よしよし なでなで すりすり わんわん よしよしぎゅ ぎゅ ぎゅ ぎゅ
781225	792768	そわそわうずうずむらむらときどき
844395	859205	ぐつぐつぬつぬつれろれろじゅるじゅるにゅるにゅるにゅっぷにゅ
881730	902875	ドキドキレロレロじゅるじゅるねちょねちょくにゅくにゅぐちゅぐちゅぬちゅぐちょぐちょ
982831	983922	ピリピリ作戦
1068134	1092340	43210ゾクゾクガクガクビクンビクン543210ゾクゾクビクンビクンビクン
1098442	1118786	4はぁはぁ3そわそわ2ぞくぞく1がくがく0びくんびくん びくんびくん びくんびくん
