start	end	text
451	25449	気持ちよかったですか?望んでた非日常、体験できました?そうですか、それはよかったです。私もこの首輪で遊べて楽しかったですよ。それじゃ、首輪を外して、元の日常に戻りましょうか。
27817	41594	首輪、外しますね。まだ意識がぼやけてそうですから、気分が良くなるおまじないをしてあげます。
43527	72938	10まで数えて手を叩いたら、頭の中がすっきりとして、気分もはっきりしてきますよ。ほら、すっきりって言われても、もう大丈夫ですよね。はい、いきますよ。1、2、体が普通の状態へと戻っていく。
74982	77504	4.
77504	85170	体のほてりが収まって、感度も元通りになっていく。5.
85170	86771	6.
86771	96278	全身の重さが消え去って、頭の中もすっきりとしてくる。7.
96278	98260	8.
98260	103364	呼吸が自然なペースに戻って、もういつでも起き上がれそう。
105205	106886	9.
106886	115732	意識がはっきりとしてとても爽やかな気分。10.
115732	129942	はい、これでもう起き上がれますよ。まだぼんやりするなら、少し体を伸ばしたりして動かしてみてくださいね。本日はお疲れ様でした。
131513	160820	また非日常を味わいたくなったらここに来てくださいね。あなたが望めばきっとまたこの館にたどり着けるはずですから。ここには私以外のスタッフもいますし、首輪以外の道具もありますから、もしかしたら別の機会でここを訪れることもあるかもしれません。
162523	181319	でも、あの首輪はあなた専用の首輪ですから、それだけは覚えておいてくださいね。それじゃあ、また会いましょう。おやすみなさい。
