start	end	text
471	28267	あなたはただただぼーっと私たちの声に耳を傾けているだけでいいそれだけすごく簡単だよねあなたは今まで催眠にはかかったことがあるのかなあるならそれはどんな感じだったかなあるいは催眠にかかるってどんな状態を想像するかな
29865	59148	催眠へのかかり方、かかった状態は、人によって感じ方が微妙に違ったりします。頭がぼーっとする。頭の中が真っ白になる。全身が軽く感じる。全身が重く感じる。雲の上を漂っている。何も考えられない。酔っ払った状態に似ている。
59940	88075	あるいは寝起きのような全身に力が入らないいろんなのがあるよね 催眠のかかり方も人それぞれゆっくり全身の力を抜いていき心地のいい催眠状態に入っていく人それを思い出すだけでスーッと入れる人もいるこういう話をしているだけで簡単に入れてしまう人もいる
89163	103452	催眠の入り方といえば、好きな暗示だけを取り入れることができるというけど、一概にそうとは言えないよね。意図しない暗示が入り、思いかけないことが起きることもある。
104190	122832	あまり欲しくもないものをいつの間にか買ってしまい、家に帰って後悔したり、他にも小説や映画を見ていて、主人公に悲しい出来事が起きた時などは、あなたも同じように悲しい気持ちになった経験はあるでしょう?
124418	135579	それらは悲しくなろうと思って悲しくなったわけではないですよね。いつの間にか自分の意思とは別に無意識に起きること。
136955	154691	あ、別に怖がらせるつもりはないんですよ。この世界では私たちはあなたの味方ですし、あなたにとって害のあることは行いません。ただ事実としてそういうことがあるという話をしているだけ。
155592	184856	意図しない暗示が入ることもあるとそういう話をしているだけですよそうやって言葉に翻弄され気持ちよくなるあなたの想像を超える快楽な暗示が入り込むこともあるかもしれませんねこれ以上リラックスしたら本当に溶けてなくなってしまうかもこれ以上気持ちよくなったら本当におかしくなってしまうかも
185655	209517	まず、前提としてわかってほしいのは、私たちはあなたに危害を加えることはしない、ということ。あなたが意図していなかった暗示が入ることも、もちろんある。それもいい意味でね。はじめにも言ったけど、私たちはただ、あなたが気持ちよくなっているところを見たい。
210110	233665	そう、アンチの海に溺れる様を見たい。ただそれだけですから、安心してね。私たちについてきて。そして私たちの言うことについて深く考える必要もありません。聞き流すように聞いて。妄想が浮かんだらそっちに漂っていってもいい。
234180	253257	だって、全部聞き取るなんていうのは無理だしね。さて、あなたは言葉の強さ、重さについて考えたことがあるでしょうか。言葉一つで喜んだり、悲しんだり。
253593	282826	好きな人に話しかけられるだけでドキドキしたりそういうことってあるよね他にもいやらしい声を聞けばゾクゾクしたり興奮したりそう言葉には不思議な力がある今日あなたは改めてそれを実感する嫌というほど実感する言葉の力を知ることになる
284313	311429	喫茶店とかで隣の席で会話をしている内容が意識をしないでも耳に入ってきてしまうときあるよねスーッと入ってくる自然と入ってくるそれが当然のように入る人間はそのようにできている例えば私は紅茶が大好物なんだけど特に銘柄はこだわらない
313649	339883	あなたは私の話を聞いていたけど右の子がコーヒーが好きなのを知っている私がオレンジジュースを好きなのもねそう聞いてしまう聞いて記憶してしまう不思議だよね聞きたくなくても耳に入ってくるそうやって暗示も入り込んじゃうかもね
341415	362895	私の声を聞いて私の声だけに意識を向けてこうやって声を暗示を意識をして聞こうとしていても入りやすいけど意識をしていない方の声そういった声もまた心の隙間を縫って入り込んでくるもっと抜ける
364074	379968	逆に言うと意識をしていない方の声は防げないかもしれない効果はちょっと薄いかもしれない実感もしにくいかもしれないけど確実にじわじわと聞いて必ずそうなる
381742	409207	それはまるで無意識に直接語りかけられているみたい意識のフィルターを飼いくぐり無意識に暗示が入り込むけどなんだかそれも心地いい私たちはあなたにとってプラスの暗示しか与えないだからあなたの意思とは関係なく気持ちよくなってしまうかもしれないそんな体験もいいものでしょそう私たちの声についてきて
410859	436754	深い催眠に入るためにもっともっとリラックスしていきましょう深く深く心地のいい催眠状態に気持ちよくしたいされたいという共通の目的のためにさっきも言いましたがあなたは私たち全員の声を細かく聞く必要はありません聞き取れない部分もあるでしょうしそれで大丈夫
438247	450155	無意識が聞いている場合もあれば、実際に聞いていない場合もあるかもしれません。それでもいいんですよ。同じようなことを言っている時もある。
450515	472864	あなたの無意識が必要ないと判断したのかもしれないただ私たちの声に流されればいい全体の流れに身を任せるのが大事流れ大きな流れ方向性かな全部の声に意識を向けていたら疲れちゃうからね適当で大丈夫
474871	500531	うん、適当適当じゃあ初めに大きな深呼吸をしましょう心をリセットしましょう大きく吸ってもう少し少し息を止めてお腹の張り具合を実感する大きく吐き出すあとちょっと吐くときに力がスーッと抜ける
502163	522589	もう一回大きく吸ってゆっくりね息を止める頑張ってそして吐き出します全身の力もスーッと抜ける最後に一回大きく吸って空気が美味しいね
524962	553177	止めてお腹の圧迫感を楽しんで大きく吐き出しますプシューと力が抜けるさあ私の声に意識を向けつつ自分のペースで呼吸してくださいはじめは荒い呼吸もそのうちあなたにとって最適な呼吸になっていく呼吸が整っていくとともにリラックスしていくのを感じるでしょ
554752	576843	私はあなたにできるだけ深い催眠状態に入ってほしい呼吸を整えながら私たちの声に意識を向けてよりリラックスした状態でとろーんとした深い催眠状態より深い催眠状態でより暗示の入りやすい状態で暗示を入れたいあなたがパンクするくらいに暗示を入れて入れて入れまくりたい
578524	601026	次は全身の力を抜いていって肉体的にリラックスしていきましょう心身ともにリラックスするとより深い催眠状態になれるからねそのためにも私たちの声についてきてもうちょっとしたら気持ちよさで力むことになるんだから今は思う存分力を抜きましょうまずは
602007	622885	右肩に意識を向けて すーっと力を抜いていく無意識に力んでいた筋肉がほぐれていく右腕全体にも意識を向けて 同じようにスーッと抜いていく抜ける抜ける どんどん抜ける
626814	643572	肘や手首といった関節の力もスーッと抜いていく抜けていく抜けるイメージをするだけでも効果があるからね次は指の一本一本までスーッと抜く
647548	676803	今度は左。左肩に意識を向けて、スーッと力を抜いていく。緊張が溶かされていく。腕全体の力もスーッと抜けていく。力が抜けるのは気持ちいい。肩、肘、手首といった関節の力もスーッと抜けていく。どんどん抜ける。
677490	697953	もう動かせないほどに指の力もスーッと抜けていく 握力が完全になくなるほどに今度は胸やお腹に意識を向ける いつの間にか呼吸が落ち着いていることに気づく
701290	729390	そして息を吐くたびに自然と胸やお腹の力が抜けていくことを感じましょう呼吸がさらに楽になる今自分がリラックスしているのを感じる今度は右足に意識を向けて太ももの力がずーっと抜けていく次は下の方へ行き
731991	756882	ふくらはぎ、ふくらはぎの力がスーッと抜けていく。力が抜けるのって気持ちいいよね。ほら、力を抜いて。もっと、もうちょっと、いけるかも。足の付け根、膝、足首に意識を向けて、力をスーッと抜いていく。
759004	785470	骨がなくなって足全体が水分の塊になったみたいそれくらい力が入らない力の入れ方がわからない足の指の力もスーッと抜ける今度は左足太ももに意識を向けてスーッと力が抜けていく抜ける
788718	815000	下に行き、ふくらはぎ。ふくらはぎの力がスーッと抜けていく。抜けるのは気持ちいい。太もも、ふくらはぎ。もう少し抜いてみよう。抜けるイメージをするだけでも大丈夫。これ以上抜けないと思っても、それでも抜いていく。抜けていく。
817926	847231	足の付け根、膝、足首の力がスーッと抜けて、骨がなくなったみたいに、もう力が入らない。足の裏の力もスーッと抜ける。指の一本一本までね。さあ、両足全体にもう一度意識を向けて。足全体の力がスーッと抜ける。
849983	873461	地面に触れているかかとからわずかに残っていた力もスーッと抜け出していく流れ出す今度は上に行き顔の表情の力も抜いていこっかすでにトローンとした顔になってて気持ちよさそうおでこに意識を向けて力をスーッと抜いていく
878613	908055	するとまぶたが重くなってまぶたの力もさらに抜く案外気づかないうちに力が入ってたりするんだよね意識をして抜いていく人によれば自然と半開きになったり半開きになったら軽く閉じてそれくらいの感じが一番力が抜けてるんだよ
909190	922132	そう、瞼が重たい。一度閉じてしまえば、もう開かないほどに。開かないというより、開きたくないの、かもね。
923818	950886	そしてほっぺの力も抜ける右のほっぺもスーッと抜ける全身の力がいい感じに抜けたねじゃあ最後に頭の中の力も抜けていく今から10から0まで数えるよ10から0まで数えたらあなたは深い深い催眠状態へと入るいくよ
953493	976642	数が減っていくたびに頭がぼーっとしていく全身の力もさらにスーッと抜ける頭の中に気持ちいいがふわーっと広がっていく数が減るのは必ずそうなる頭の中がふわふわするゼロになった瞬間ずーんと重い催眠状態へ入ってしまう必ずそうなる
978223	1004855	なんだかわけがわからないなぁ…ずーっと入るゼロ頭の中が真っ白頭の中が真っ黒頭の中が霧に包まれる頭の中がふわふわそう、別にどれでもいいどの暗示が入り、あなたがどう感じていようともそのどれもが正解
1006023	1034383	重要なのはすごく心地がいいということあなたの感じるままに心地よく心地よく体はすっかりリラックスしてきていますね心ももっとリラックスしてみよう言葉の海に飲まれただただぷかぷかと漂う気持ちいいね今10から0までカウントダウンし深い深い催眠状態
1035895	1048287	けどそこからさらに10から0まで数えると今の深さを基準としてさらに深いところに入っていくよさようなら
1049449	1065978	10987654321000
1069879	1090186	心地いい幸福感がこみ上げてくるそういったもので心と体が満たされる頭の中が真っ白で何も考えられなくてもそうやって気持ちよくなることも真っ暗な宇宙空間を雲の上を漂っているように感じることもさあその深さを基準にさらに
1091106	1115177	10今まで到達したこともないような深い状態へ76543201000深い深い気持ちのいい世界に
