start	end	text
1202	25382	頑張りましたね、勇者様。近くで声がして、あなたは意識を取り戻す。気がつけば、近くで楽しそうにしているニナに加えて、すぐ横でおちんちんを囃された女性が、すやすやと寝息を立てているのが目に入る。
26649	53832	彼女が安らかな様子でいるのを見てほっとしたのもつかの間絶頂の余韻の残った体が再び熱くなって胸とお腹のあたりがじりじりと焼け付くように熱く切なく張り詰めていく熱い熱い熱い熱い
55039	83990	胸がお腹がじりじり熱くなっていくじりじりじりじり胸がお腹がじりじり熱くなっていく熱い熱い熱い熱い熱くて苦しくて切なくなる
86423	114692	熱い熱い熱い熱い切ない苦しい熱い切ないおめでとうございます状態異常で言うとレベル3といったところでしょうまた呪いが進行しちゃいましたねこの呪い
115828	144722	気持ちよくなりたいこのままでいたいって思わない限りそこまで進行しないんですけどね勇者様本当はこの体結構気に入ってるんじゃないですか?気づきってまさかそんなわけないですよね冗談ですよ
146403	163793	そんなことよりその様子だとおっぱいとお腹が熱いんでしょどうやらちゃんと妊娠できたみたいですね私たち牛娘は
165452	190594	繁殖力も取り入れすからね子作りするとすぐに出産できるようになるんですよ人間はと月十日牛も実は同じくらいかかるのですが私たちはたった一晩
191980	219545	勇者様も明日にはもう立派なお母さん牛になっていっぱい母乳をまき散らせるようになるんですよ人間だったら絶対に体験できない貴重な経験ですよよかったですねひひひ
221646	249880	ほーら熱くなったお腹とおっぱいが少し膨らみ始めているのがわかります?これからお腹が張り詰めて大きくなるにつれておっぱいも大きくなって乳腺が今まで以上に発達して母乳が出せる体になっていくんですよ
253800	281709	ああせっかくですから 赤ちゃんが産まれる寸前臨月くらいまで 月っきりでそばにいてあげましょうか 早く私を満足させてくださいよ容赦様 どうですわかりますか 熱くなったお腹が
282890	312823	ほんのり重たくなっていくのがわかるでしょう女の子の柔らかい体が張り詰めて赤ちゃんを産む準備を始めてるんです人間でこれくらいの感じだとちょっと眠くなったり少し気持ち悪くなったり
314320	342919	ちょっとしたことでおしっこが漏れちゃったりするんですよねもっとも私たちの体はそういうのも快感に変える作りになっているので安心してくださいね勇者様体が胸がお腹がどんどん熱くなっていく
344479	372980	胸の鼓動が早くなり息も次第に熱くなる熱くて苦しいのになんだか少し気持ちいい気持ちよくて腰から力がスーッと抜けてちょろりと愛液とおしっこまで漏れちゃいそうなの体が脳がそれまで快感に変えてしまう
374075	402887	気持ちいい気持ちいい熱くて苦しくて愛液とおしっこ漏らしちゃうのが気持ちいい頭の中に白い光の玉がふわりと浮かぶほらお腹がさらに膨らんできましたねおっぱいもちょっぴり大きくなって太い乳首が
404757	432470	嬉しそうにポッキし始めましたよほんのりミルクの匂いまで漂ってきてもうすぐ乳首から溢れちゃうかも胸の乳首の疼きが強くなり痛さと噛みひとえの切なさが乳首の先からあなたの大きなおっぱい全体に広がっていく
438291	463484	切ない切ない切ない切ない切なくて切なくてうずいてうずいて今にも胸が切なさで破裂してしまいそう切なくて苦しくて苦しさが快感となって伝わってくる切ない気持ちいい切ない
464874	491398	気持ちいい頭の中の光の玉が一つ二つと増えていく順調に育っていますねお腹がさらに大きくなってこれくらいのサイズだと中で赤ちゃんの骨格が作られる頃でしょう
494222	520068	動くだけでも少し苦しいでしょうが、その体だと動くだけで気持ちいいでしょう。それと、気づいてます?いよいよ、乳首の先からジロジロとお乳が滲んできましたよ。
521380	535939	勇者様の母乳とっても美味しそうですね 幽霊の体でなければ私が一番絞りをいただきたいくらいです
538380	566951	張り詰めた乳首の先からずーっと母乳がこぼれて、その雫がすぐ近くで眠っていたおちんちんの生えた女性の方へとぽたりと垂れる。垂れた弾みで彼女はむっくりと起き上がる。匂いにつばれたのか、その柔らかな唇で、
568294	596876	母乳が滲み始めたばかりの敏感なあなたの乳首がパクリと加えられ吸い上げられるその刹那に髪剃りのように鋭く切ない快感がほとばしり胸から頭へ突き刺さる切ない気持ちいい切ない気持ちいいまだ母乳のあまり出ない乳首を
597860	624236	必要にチューチューと吸われてしまう吸われるたび彼女の吸いつく音が響くたび切ない快感が何度も何度もあなたの脳に突き刺さる頭の中の光の玉が増えていくうろう
625617	644967	一番しぼり飲まれちゃいましたね。彼女もさっきたくさんミルクを注いでくれましたからね。その分勇者様もミルクをたくさんあげてくださいね。
648370	676554	ちゅうちゅうと乳首を吸われるたびに、胸がどんどん大きくなって熱くなる。熱と切なさが加速して、乳首の先から滲む母乳の量が増えていく。滲んでいたものが雫となって、雫が連なり、小さな小川のようにあふれ始める。
680584	704718	溢れる、溢れる、溢れる。こらえきれない切なさがミルクになって、乳首から溢れているみたい。溢れるたびに、乳首を吸われる力が強くなり、切なさが、快感が、体の熱が、胸から全身を駆け巡る。
706368	734931	切ない気持ちいい切ない気持ちいい頭の中の光の玉がチカチカ点滅し始めるそろそろ臨月かしらねおっぱい吸われるのって結構気持ちいいでしょしかもな
736680	762316	気持ちいいだけじゃないの。乳首に吸い付いているこの子の顔を見てあげて、とっても幸せそうな顔をしているでしょ?あなたのミルクを飲んだおかげで、この子は今、とっても幸せな世界にいるの。そう、勇者様は、
770309	791777	ミルクでこの子を救ってあげられるさあ彼女をもっと幸せにしてあげましょうそうしたら勇者様もとても幸せな気持ちになれるでしょう胸がお腹が熱くなりさらにずっしんと重くなる腕で抱えられないほどの胸になり
794174	818148	お腹がはち切れそうなほど大きく大きくなっていくお腹の中に赤ちゃんがいるお腹の中で動き回っているお腹を内側から蹴り上げられる感覚がごく自然に愛おしくて気持ちよく感じられる
820077	826027	おへその下のあたりにずーっと妊娠腺まで浮かび上がった
827270	854366	自分が妊婦としてこれから出産に望むのだと、強く強く自覚する。おちんちんのついた女性が乳首に吸いつく力も強くなり、吸われるほどに胸元の切ない快感と、お乳を吸われる幸福感がないまぜになってあふれ出る。
856615	882027	いやらしいミルクの匂いが充満する中、母乳を吸って幸せそうな顔をする女性の姿に、子宮も乳首も耳も尻尾もキュンキュンしちゃうの止まらない。頭の中の光の玉の点滅が、チカチカチカチカ早くなる。
889963	916938	チカチカチカチカ視界がくらむ幸せで幸福で気持ちよくて女性の尖った剣歯が偶然乳首に突き刺さり快感の火花がパチンと飛び散り頭の中の光の玉に引火する絶頂する頭の中の光の玉が次々に爆発する
918085	946913	爆発するたび快感が幸福感が爆風となって体の中を駆け巡る絶頂する絶頂する絶頂する爆発する母乳が溢れる溢れる溢れて溢れて乳首が吸われる舐められる吸われるたびに切なくて気持ちよくて
948025	976074	頭が痺れてまた行っちゃう爆発する絶頂する絶頂する絶頂する気持ちいい幸せおっぱいを吸われる幸福感とお腹の赤ちゃんへの愛おしさが混ざり合い全身に快感となって広がっていく爆発する絶頂する絶頂する
976863	1002177	絶頂するお腹の中の赤ちゃんまで快感を感じているみたいにびくんびくんと跳ね回る絶頂する絶頂する絶頂するおっぱい吸われながら赤ちゃんにお腹の中を蹴られながら気持ちよくて幸せで頭の中真っ白になりながら何度も絶頂し続ける
1005139	1006200	いこいこいこいこ
