start	end	text
15084	34338	先輩、それとって。あ、違う違う。味薄いとかじゃない。いつもの味変するだけ。ほら、私飽き性だから。へー、いつもしてるじゃん。ケチャップかけたり。
37470	64055	いいよ、褒めなくても。食べ方にはこだわりがあるんだ。コショウかけて、ケチャップかけて、醤油。黄金パターン。お前は味覚がおかしい?本当に美味しいのに。あ、テレビつける。
65810	89283	うん、チャンネルは任せる。ううん、なんでも。なんでもないって。いやー、こうしてると普通にお休みの日みたいだなーって。
91398	120198	てか、もう先輩も完全にサボりだね。不利用だ。え?まだ諦めてないの?粘るなぁ。学校はもういいでしょ。今日は私と遊ぼう。一緒にやろうと思って撮っといたゲーム結構あるんだよ。ほら、前に面白そうって言ってた謎解きゲームとか。
121709	149973	小難しそうなお話っぽいし先輩に解説されないとわかんないまずはご飯食べきってからはーいごちそうさまでした
151940	181100	美味しかったー。やっぱり先輩は将来家政婦になるべき。え?まぁ、私が雇えばいいんじゃない?なんか配信者とか、プロゲーマーとか?になってお金持ちになるからさ。なんだろう、しののめなぎだから…なぎチャンネル。
183358	207290	うわぁ、安直か。ま、名前はその時考えればいいや。ほらほら、未来の雇用主様だぞー。今のうちに好感度を稼げー。あ、無言ではさらさげ始めた。わかったわかった、洗うから。ちょっと待って。
211923	237850	あれ、いいよ先輩。私が洗うって。へー、前やった時水垢残ってたとか、そんなのうちじゃ誰も気にしてないし。まぁ、手伝ってくれるなら楽だしいいけど。じゃあ、私が洗ったら渡すから拭いてね。キッチンペーパーは…。
240248	267483	どこだっけ…あ、そうそう、そこに移動させたんだ…って。先輩、私よりうちのキッチンのこと把握してるのヤバくない?あー、はいはい。休みの日の度に、いつも作らせてるのは私でした。ごめんね、料理のできない幼馴染で。
282417	301756	うわ、なんか焦げ付いてる。いい加減新しいフライパン買えばいいのに。先輩からもお母さんに言っといてよ。あのフライパンじゃすぐ焦げちゃいますって。やだよ。私から言っても、あんた料理なんてしないでしょって流されるんだもん。
308575	333477	別に必要ない知ってる?電子レンジとケトルが使えれば人は健康にご飯を食べられる冷食とインスタントは偉大さらにいつも先輩作りに来るしあの間なんかクッキーまで焼いちゃってさうちでオーブン使ってるのもう先輩だけだよ
336788	366364	次はホームベーカリーも狙ってるんだいや言えば貸してくれると思うよ全然ていうかさ実際問題高校生になってからどんどん料理うまくなってない?なんかモチベでもあるの?別にちょっと気になっただけ
368311	396796	誰か…作ってあげたい相手とか?まぁ、いるわけないか先輩だしえ?あ、ごめんそうなんだいるんだそっかそっか
401774	428870	ううん、なんでもないよはい、これで最後はぁー、やっと終わったよし、じゃあ私の部屋行こうゲームしようえ?いや、だってさっきゲームするって言ったじゃん
430875	449902	約束はしてない?は?ほぼOKしてたよあれは。してました。ほら、早く早く。ねぇ、なんでそんな渋るの?
453538	483162	うわ、まだ行ってるし。だから、文化祭は行かないって。そんなに戻りたいわけ?私の部屋でダラーンとしながらゲームする方が気楽じゃない?それとも、学校に誰か待たせてるとか?何その反応。
485120	513655	隠さなくてもいいじゃん。教えて。え、うん。気になる。は?あー、ごめん。先輩、もう一回言ってほしいんだけど。高野祭に誘われてる?先輩が?
516113	544992	花火上がるの、一緒に見ようって。ああ、なるほど。ああ、そういうことか。じゃあ先輩は、そんなお誘いをしてくれた子がいるのに、それを差し置いて。
546267	576042	私の家に来てるんだ。こっちでご飯作って、私と食べてるんだ。ふーん。ふーん。そうなんだ。よかったね。青春できる相手がいてさ。ああ、いいよ別に。変にごまかさなくって。
581746	610306	ほら、じゃあ部屋行こう。何?って。だって、誘われてるのは高野菜でしょ?まだまだ時間あるし。それまでは、こっちにいたって良くない?いいよね。ダメ?先輩。あ、頷いた。
612222	631628	ほら、早く行こ行こ。レッツゴー。おー、野菜まで。あと5時間くらいか。別にいいけどさ。
