start	end	text
9224	32853	うん、ほら、座って。いいよ、椅子じゃなくてこっち。ベッド、座っちゃっていいよ。クッションも適当に使って。その白いのがおすすめ。抱き心地がいいから。うん、いつも使ってるやつ。ぎゅーっとすると安心するよ。
35924	61743	隣座るねよっこいしょふぅ…何しよっか?あ、そういえばゲームするって話だったやろう、謎解きちょっと待って、今起動するえ?
63363	91409	あー、確かに。食べたばっかだと、文字読んでたら眠くなるかも。じゃあ、久しぶりにガチマとか、先輩のへなちょこなローラーさばき、また見せてよ。へー、文句ばっかり。わかった。じゃあ私がゲームするから、先輩はそれを見て。
94295	123961	うわ、おっきなあくび。もしかして、お昼ご飯食べたから普通に眠くなっちゃった?寝たい。寝るなら、そのまま私のベッド使ってもいいよ。いやいや、遠慮しなくていいから。
126302	153307	私がいいって言ってるんだから使うべきだと思うよ。人の行為には甘えるのが賢い生き方って偉い人も言って。え、なんで立つの?学校戻る。なんで?高野祭まだじゃん。私の部屋だとリラックスしすぎて寝過ごしそう。
163870	190415	先輩帰っちゃうなら、私はまたダラダラしてようかなあ、ま、待って!ご、ごめん、袖掴んでいや、なんでもなくはないんだけど…こっからどうしよう…
197197	223658	先輩、やっぱりゲームしない?うん。これから私と高野菜をかけたゲーム。今から私が、お眠な先輩を癒してあげる。その癒しに負けちゃって寝落ちしたら、先輩の負け。私は起こしてあげないし、先輩は高野菜を寝過ごしちゃう…かも。
226172	253257	逆に先輩が耐え切って値落ちしなかったら、その…私の負けだから、何でも言うこと聞く。文化祭行こうって言われれば、ちゃんと従う。どう?私を連れ出すっていう最初のミッション達成のチャンス。それとも、やっぱり…
256754	284442	もう、学校戻っちゃう。あ!ふふふ、私に挑むなんて命知らずだね。じゃあ早速、癒す…癒し…んー…行ってみたはいいものの、何すればいいのかな?
286214	312472	とりあえず撫でるか。先輩、もうちょっと近く行くね。あ、ごめん。急に顔近いとびっくりするか。いや、撫で撫ですれば癒されるかなって。撫でるよ。嫌だったら言ってね。
318223	346357	なでなで。おぉ、意外と素直に受け入れてる。どう、先輩。私の先制攻撃は?早速リラックスしてそうな顔だけど、耐えられそう?あぁ、昔を思い出す感じか。
347584	374627	ノスタルジーね。確かに高校生にもなると、人に撫でられる機会も減っちゃうよね。知ってる?人が撫でられると安心するのは、オキシトシンが分泌されてるんだって。そう、幸せ成分ってやつ。なんかそう考えると、人もプログラムみたいだよね。
376376	404643	ゲームと似たようなもんかも私の手に攻略されるがいいなでなでなでなでこれいつまでやろうかなどう先輩寝そう?
407228	431823	まあ、対面で撫でられても寝れないか。そりゃ。先輩は何か他にしてほしいことある?こうするとリラックスするなーって。いや、こういうのは本人に聞くのが一番いいから。それを言うのはゲームとしてフェアじゃない。
433047	461005	いやいや、先輩は別に嘘ついたっていいんだよ。全然癒されないことを言われれば、私にとってかなり不利。もう嘘ついても、その全然癒されないことを私にされるのは先輩なわけだけど。ふふふ、サクにはまったね。もうゲームは始まってるのだよ。
464316	491431	で、何かある?してほしいこと。え?膝枕?えー…私今、パジャマだし、足出てるんだけど…いや、一般論ってどの世界の論なのそれ?
495217	524750	まあでも、いいよ。確かにそれなら、すぐにでも寝落ちしてくれそうだし。ちょっと移動するね。はい、どうぞ。何って、膝枕?膝の上にクッション置いたから、そこに寝て。
528277	554534	へー、なんで不満そうなの。これも立派な膝枕じゃん。わかったって。クッションどけるからちょっと待って。はい。膝当たって痛かったりしても、文句言わないでよ。
556524	580953	いや、なんでそっちが顔赤くしてんの。いいよ、いつでも、早くして。は?いや、ここまでさせといて、やっぱなしは通らないから。早く、寝てよ。
590078	614852	どう、具合は?大丈夫そう?そっか…じゃあ、えっと…わしゃわしゃ髪をもみくちゃにしてあげるふわふわーふわふわー
620149	648588	高校生になってから、毎朝セットなんてしちゃってさ。今日は私がめちゃくちゃにしてやる。なんて。冗談だよ。ちゃんと後で整えるから。今はおとなしく、撫でられてね。なで、なで。なで、なで。
654308	681612	顔してると…可愛いね。ううん、なんでもない。ていうか、体固くなってない?ほら、リラックスー。なで、なで。なで、なで。
686727	715497	どう?安心する?いつでも寝ていいからね。先輩は、お母さんとか以外から膝枕してもらうの、初めて?そう、私が初めてなんだ。
725098	752437	なでなで…なでなで…ふぅ…あ、そうだ、ちょっといい?んっと…先輩、これなーんだ?
754810	781124	正解。耳かき。昨日ちょうど買い替えたやつ。だから汚くないよ。うん。ついでだし、耳かきもしてあげる。いや、耳の中汚いからって別に引いたりしないって。先輩もそういうの恥ずかしがるんだ。意外。
784064	811634	まあまあ、そんなこと言わずにさ。人に耳かきされるのも、幸せ成分の分泌が促進されるらしいよ。嫌だ。素直でよろしい。じゃあ、まず、右耳からやりたいから。
814646	842140	ほら、あっちの方向いて。よしよし。じゃあ、さっそく。全然見えない。あ、ごめん。息くすぐったい。顔近づけないと見づらくてさ。
844022	872013	だから、我慢して…ね?耳の中、お邪魔しまーす。どう?痛くない?書くのは…これくらいの強さでいいかな。ほほー、よかった。じゃあこれで…
873282	901342	カリカリするよー。カキ、カキ。カキ、カキ。あ、やば。黙っちゃうね、これ。
911840	936273	うーん、先輩。さっきはああ言ったけど、かなり溜まってない?これ。いや、私も人の耳の中見るのなんて初めてだけどさ。最後に耳掃除したのいつ?
939885	963837	うわぁ…まぁ、それなら納得かも。安心して、先輩。私は別に、このくらいで嫌いになんないよ。綺麗にしてあげるから、おとなしくして。あっ…なんで急に耳まで赤くする?
965439	986257	やめてよね、ほんと。びっくりするから。カリー、カリー。カリー、カリー。よし。よーし。
991950	1018343	慣れてきた。私、耳かきの才能あるかも。カリー、カリー…ん?いやだから、初めてだよ。人にするのは。
1019921	1047942	そもそも私の家に遊びに来るのなんて、先輩以外じゃ友達が何人かくらいだし。ていうか、私が人にこんなことしてあげるなんて普通ないでしょ。今やってあげてるのは、言ったじゃん。ゲームだって。先輩が乗ったから、勝つためにやってるだけ。
1053946	1077676	先輩以外には…するつもり…ないけど…多分…カリカリ…カリカリ…だらしない顔してる…
1079901	1108246	そんなに気持ちいいって感じるなら、耳かき自体は好きなんだね。逆にどうして自分ではやらないのって感じだけど。自分でするのと人にしてもらうのは別。ねえ。それってさ、いつも誰かにしてもらってるってこと?それか、そういうお店に行ってるの?
1110810	1138693	どっちも違う。どうだか。先輩、やらしい。不思議だろ。はいはい、言い訳はいいですよ。書き、書き。借り、借り。
1146654	1170430	んー?なに?まだなんか弁明するの?もういいって。耳かき動画。ASMR。あー、流行ってるやつ。へー、そういうのハマってるんだ。
1174468	1198966	で、それが自分で耳かきやらない理由にはならないと思うんだけど。えぇー。動画で満足しちゃって、そのまま寝落ちしてるの?あのさ、先輩。当たり前のことだけど。
1202766	1225717	先輩の耳の中は綺麗になってないから。こうしてちゃんとメンテナンスしてあげないと、すぐ聞こえなくなっちゃうよ。は?いや、なんでそれで私が先輩の耳かき担当にならなきゃいけないわけ?
1229208	1252953	毎週毎週こんなことやってあげてたら、なんか、変じゃん。距離感が。まぁ、考えてはおくけどさ。先輩も、自分でやる習慣はつけた方がいいよ。
1263740	1291340	うん…浅いとこはこんなもんかなー…じゃあ、ちょっと奥の方も掻くよー動かないでねーどう?痛くない?オッケー奥も…ゴリッ…ゴリッ…と…
1298838	1328253	やばい…緊張する…ちょっと手滑らせたり、くしゃみしたら…先輩の駒子終わりじゃん、これ…いや、そんな露骨に警戒しないでよ…しないからそんなもん…ゴリ…ゴリー…
1329443	1355735	もがり…もがり…あれ?なんか…でっかいのいるなぁ…ふーん…取れない…
1358679	1383882	作戦変更するかー。一旦耳かき抜くね。先輩。絶対、動いちゃダメだよ。あ、コーラ、動かないで。
