start	end	text
4317	7840	ねえ今どこ?
7840	10762	今日って私の家で遊ぶ約束だよね?え?
10762	20429	コンビニ?今日はお菓子もジュースもいらない 早く来てアイス?
20429	30337	ああ、いらないいらないマジでいらないん?
30337	31057	大丈夫だって
32178	55075	私の部屋クーラーガンガン効いてるからとにかく早く急いでハリーアップ入って
64604	92810	いや、なんでそっちの椅子座るの。隣くればいいじゃん。は?私の隣なんだから、ベッドの上に座る以外ないでしょ。はぁ…なに?なんか怒ってるかって?そう見える。ふーん、怒ってるように見えるんだ。
93547	119877	そう見えるってことは、先輩は何か心当たりあるの?レイドボス倒せそうな時に私に話しかけちゃったこと?確かに、あれはマジで最悪。でも違う、そんなことで怒んないよ。いや、この間私のお菓子食べちゃったのも気にしてないから。デートの日に先輩が熱出したやつ。
121537	150016	手で怒ってたらやばいでしょ私。本当にわかんない。本当に、わかんない。先輩、昨日ラウワン行ったでしょ?クラスの友達と。うん。いやスコア更新したとか別にいいから。だから、
150857	176122	そうじゃなくてさ。女子いたよね。話してたよね。楽しそうにボウリングしてさ。は?だから何って。先輩さ、私たちちゃんと付き合うときに決めたよね。女子がいるグループで遊ぶときは連絡してって言ったよね。
178598	204057	うん。私もクラスの子に誘われてラウワン行ってた。ちょっと離れたレーンで投げてたよ。私いるの気づかなかったんだ。まぁそうだよね。あんな楽しそうにはしゃいでたもんね。三連ストライクって盛り上がってハイタッチとかしてたもんね。私言ったよね。女と一緒に遊びに行くならちゃんと教えてって。
205493	233180	お互いちゃんと安心させようって約束したよね二人きりで遊んだわけじゃない?ああああそういうこと言うんだ私も昨日は先輩と遊びたかったなでも断られたから友達と遊んでたらこれだもんなじゃあいいよ私も先輩の誕生日にさしゃげでイベントあったらそっちの集会するいや
236663	265542	しないけど。しないけど。私はそんなことしないけど。もういい。今日は寝る。帰って。ゴーホーム。ああ、うるさい。何も聞きたくない。ねえ、なんでそのまま帰ろうとしてんの?可愛い彼女がこんなにいじけてるんですけど。
267115	292918	普通は謝るとか、頭撫で撫でするとかあるでしょ?……いや、行ってから撫でられても嬉しくないし。やーめーて、はーなーせ。あ、ちょっと、強引に撫でんな。
301238	324402	ああ、もう…先輩、もういいよ。いいって、髪バサバサになるから。うーん、そうだな。凪ちゃんの許すゲージはまだ20%くらいだよ。ん?
325605	352647	先輩ギュッとして先輩普通に不安になるから次からはちゃんと連絡してねって言ってもすぐに他の人と遊んじゃうんだよね先輩は
356228	384410	ほんと?今度こそ、もうしない?ほんとのほんと?ほんとのほんとのほんと?…うん。なら、もう10%許す。ぎゅー。フフ、重い女を捕まえちゃったな、とか思ってるでしょ。
387934	413013	そんなことない?ほんとかなぁ…まぁいっか。凪ちゃんの許すゲージ、現在30%。ほら、残りも頑張って貯めてみて。ん?なに?んんっ…
415105	442417	鼻傷は…反則じゃん…これでも嫌じゃない自分が悔しい…え?あ、うん?寝る…の?わかった…先輩、まだ朝だからあんまりエッチなことは…
446027	473982	ま、どうしてもっていうなら…あ、しない。うん、わかった。は?いや、別に残念がってないから。あ、耳かきしてくれるの?うーん、でもごめん。私、さっき自分でしちゃったんだよね。
475172	501175	それに先輩、人に耳かきするの慣れてないでしょ?だから…はいとった。ふふん。耳かきは私のもの。私が添い寝しながら、耳かきしてあげる。ほら、仰向けのまま、枕に頭乗っけて。
506365	530335	うん、あんがいい高さ。んじゃ、左からやるね。コリコリ…コリコリ…まずは先輩お好みの…アッサーイところ。カリカリして刺激するね。
557792	574743	どうだろうね、案外これで許すゲージが溜まってたりして。わかんない?だってさ、耳かきってすごい信頼の行為じゃん。
576409	603507	前も言ったけど、私は今、先輩のお耳をデストロイすることができるんだよ。それなのに、身を任せてリラックスしてくれるっていうのはさ、私へのすっごい信頼じゃない?って思うわけ。あと、他の女は先輩のお耳掃除なんてしたことないだろうし。
606973	633560	ううん、なんでもなーい。コリ…コリ…コリ…コリ…あ、てかさ、来月どうする?夏休みそろそろじゃん。私はずっと部屋にいたいけど…
634821	664500	パリピ因子を持つ先輩の案も聞いてあげよう私も暑そうだしプールでウォータースライダーとかそういうことを言い出しそうな予感はしてるえ?だって先輩のことだし水着見たいんじゃないの?私だって日焼けダメちゃんと塗れば外出れるし先輩が行きたいなら全然
668658	694403	あ、そう。それはお気遣いどうも。先輩、プール行きたい。先輩に見せたくて、可愛い水着買ったから。プール行きたい。
700028	721563	うん。いや、謝んないでよ。私が生きたいだけだから。うん。で、他の日は?プールで一日潰せるけど、夏休みまだまだあるじゃん。何したい?
723935	748471	え、私は毎日一緒にいる気だったけど、先輩は違った?ああ、学校の課題。別に、それも私の家でやればよくない?私はいざとなったら先輩に聞けるし、一石二鳥。先輩は自力で解けるでしょ。頭いいんだから。
751560	776943	まぁ、課題は最後の一週間くらいでバーっとやっつけよう。えぇ、初めのうちに片付けるって。わかりました。私も頑張るから、手伝って。で、全部終わったらプールに行って、
781457	806133	できれば体力の使わないところが…あ、耳、浅いとこばっか描きすぎたね。はい、じゃあ奥行くよー。ゴリ、ゴリっと…もう…全然見えない…
807914	831935	いつもと体勢違うから面白いくらい見えない。大丈夫、任せて。今までの経験で書けるラインはわかってる。鼓膜に当たらなければセーフ。ゴリゴリ…ゴリゴリ…
842291	865402	うーん、まぁ遊びに行きたいところは今すぐ決めなくてもいいか。てかさ、先輩。さっきから返事が鈍いけど。もしかして眠くなってきた?いや、寝てもいいけどさ。
866658	890288	その代わり、まだ凪ちゃんの許すゲージ40%だから。私に何されても文句言わないでね。うわ、寝たよ。ほんとに寝るか、普通。
896354	919735	ゴリゴリ…ゴリゴリ…耳かきは一旦、こんなもんでいっか。
924875	948370	私は忠告したのにねよいしょ本当に寝たの?センパーイ本当?後輩に馬乗りになられてるよセンパーイ
955797	981616	寝てんのかな?寝てるフリかな?まぁ、どっちでもいっか。センパーイ。抱き枕にしちゃうからねー。うん。そりーそりー。そりそりー。
984770	1002625	マーキング…なんちゃって先輩…へへへ先輩先輩先輩…先輩の匂い…
1038114	1041016	あーやば…これまずいわ…先輩…先輩…やばいやばいやばい…これ以上はやめよう…
1045471	1070665	やっぱもう一回だけ。これじゃどっちが変態かわかんないな。さすがにどかなきゃ。
1077951	1092721	一応、こっちの耳もやるか。耳かき、耳かきと…右の耳、入れる…よう…
1122168	1141270	かわいい…かわいい…先輩…かわいすぎ…すごいなぁ…私の恋人…なんでこんなに顔がいいんだろう?
1157663	1181399	可愛いし、たまにかっこいいし、奇跡の人類すぎる…あぁ、ダメダメ、先輩の耳を傷つけちゃう集中集中…コリ、コリ…
1198631	1218220	でも、魅力的すぎるのも考えものだな。先輩、この間も告白されてたし。私には隠してるつもりみたいだけど。先輩、知ってる?先輩って意外と、うちの学年でも人気なんだよ。
1221190	1249996	そうだよね子供っぽいけど運動できるし頭いいし優しいしほんと私なんかにはもったいない先輩私ね最近思うんだ去年の文化祭
1250930	1279381	小野菜のあったあの日あれから時間は一秒も進んでなくて今この瞬間は全部私に都合のいい妄想なんじゃないかなって変だよねこんなに幸せなのにさでもそうじゃなきゃこんな
1282358	1305025	引きこもりでだらけてて、ノリ悪くてすぐ拗ねる。生意気な年下の女とか、先輩みたいな素敵な人に選ばれるわけないし。先輩はなんで私のこと好きになってくれたんだろう。
1312259	1341543	先輩、私は先輩のこと大好きだけど、先輩はどのくらい私のこと好き?私はね、人生半分あげられるくらい。あ、やっぱり寝たふりじゃん、先輩。動いちゃダメだよ。
1342160	1371672	耳かき中だからね。カリカリ…カリカリ…それで?先輩はどうなの?どれくらい好き?人生全部あげられるくらい?いや、それじゃ先輩の人生なくなっちゃうじゃん。
1375488	1405017	あー、じゃあ代わりに私のを全部渡せばいいのか。ふふ、好感だね。お互いに人生全部あげちゃって。あー、ごめん。もう無理かも。
1406719	1435958	耳かき抜くね。先輩、好き。好き好き好き。だーい好き。許すゲージ?じゃあ、まだ80%くらいってことにするから。私が起きるまでギュッてしていい?
1438845	1464427	ぎゅー。好き。好き。好きだよ。先輩も私のこと、一番愛してくれる。わっ。先輩?起きるの?
1469050	1498143	押し通されちゃった先輩私も同じ気持ちだよ私も先輩いないとダメだからだから絶対最後まで一緒にいてね愛してるよ先輩
1530846	1541613	よく寝た…今何時だろう…まだ夕方か…先輩…起きて…先輩…
1544902	1574149	慣れない体勢だったから、痛ったー。寝てるときに腰痛めたー。先輩、先輩、起きてって。お母さん帰ってきてここ見られたら、いろいろ気まずいよ。あー、だめだ。起きる気配ない。
1576426	1601118	なんだお母さんかもしもしうんお疲れ様うんあいるよ今日も遊んでたから晩御飯先輩に作っててもらうお母さんの分もいるんでしょえ会社に泊まり
1605918	1633497	ああ、そうなんだ。わかった。着替えとかは?会社に置いてるやつまだある?オッケー。こっちは大丈夫。先輩いるから。うん。そっちも頑張ってね。はーい。ばいばーい。今日は誰も帰ってこなくなっちゃった。
1636232	1662792	んじゃ、いっか。このまま先輩のこと、もっかい抱き枕にして寝ちゃおう。明日もお休みだし、ゆっくり寝て。起きたら、先輩の作ったご飯。
1665914	1681523	一緒にゲームして…んふふ先輩…好き…だよ…
1754744	1755520	ありがとうございました。
