start	end	text
4060	28887	なんか緊張してる?なんで自分にDMが来たんだろうって思ってるでしょ。大丈夫、ちゃんと理由はあるから後で教えてあげる。毎晩聞いてくれてるの気づいてたよ。コメントもスパチャも全部覚えてる。
32638	57798	そんなに驚かないで。何万人もいるリスナーの中から、あなたを見つけたの、私が。だって、あなた、いつも配信の最初から最後までいるでしょ?コメントの仕方も、なんか他の人と違うの。
59482	86363	うまく言えないけど、私のことちゃんと聞いてくれてるのが伝わるんだよね。だから、今夜はあなただけの特別な配信。今夜はね、普段の配信とはちょっと違うことをするの。でもまだ言わない。まずはいつもみたいにリラックスしよう。
87612	117430	はい、深呼吸。鼻からゆっくり吸って、吸う。口から全部吐いて、はぁー。うん、上手。もう一回。
119242	139908	今度は息を吐くときに、体の中の力がぜーんぶ一緒に出ていくイメージで。すー、はー。いい感じ?
141695	170637	もう一回だけ、私の声だけに集中して…吸う…はぁ…ふふふ…肩の力、抜けてきた…ん?いい子?ふふふふ…いつもの配信みたいで安心した?
174287	197570	でもね、ちょっとだけ違うの。いつもは画面越しでしょ?でも今夜は、もう少しだけ近い。いつもの寝かしつけ配信だったら、ここから眠らせてあげるんだけど。今夜は眠らせてあげないよ。
200168	227945	だって、いつもだって本当は眠れてないでしょ?コメントで寝れましたって書いてくれるけど、嘘だよね?ふふ、知ってるよ。私の声聞きながら別のことをしてるでしょ。あはは、ほら、ズボシ。
230172	258337	そういうとこ、隠すの下手だよね。あはは、恥ずかしい?でもね、私の声聞きながら毎晩そうしてたんでしょ?本当はもっと…して欲しかったんでしょ?だからDMしたの。
259682	285218	毎晩来てくれてるのに、配信越しのままじゃもったいないなって思って。なんで自分なんだろうって思ってる?私に近づきたい子なんて何千人もいるよ。でもね、あなただけだったの。私に支配されたがってる子は…。
290095	315112	あなた、マゾでしょ。びっくってした。バレバレだよ。支配されることで興奮しちゃう子。命令されたい。管理されたい。自分じゃ何もできないくらい全部委ねたい。
317358	346475	私の配信聞きながらそういう妄想してたんでしょ?この子に支配されたい。この子の言いなりになりたいって。コメントの端々に滲み出てたよ。他のリスナーは癒されましたとかって書くのに、あなたのコメントだけ。
346993	371021	ちょっと違ったのねえ顔赤くなってるでしょでもね恥ずかしいのに逃げられないのそれも魔女だからだよそれに気づいたら私の方がもう我慢できなかった
373447	396340	この子を私のものにしたい、支配したいって、ずっとうずうずしてたの。だから放っておけるわけないでしょ?いいよ、隠さなくて。私、そういう子好きだから。
399940	425879	ねえ、今私の声、ちょっと変わったの分かった?いつもの配信の声より、低くてゆっくりになってる。これが、あなただけに聞かせる声。ねえ、私の声を聞いてると、なんか力が抜けていかない?
430436	457343	不思議だよね。ねえ、これ、催眠みたいでしょ。でも特別な技術をかけてるわけじゃないの。あなたが私に身を委ねてくれるから、体が勝手にリラックスしちゃうの。でもそれって、もう催眠にかかってるのと同じだよね。
