start	end	text
1651	29393	起こされる合図、暗闇へ引き込まれる力が弱くなる。だけど、頭の中はぼーっとしている状態。このまま放っておいたら、また曖昧な状態に戻ってしまう。落ちないで。我慢する。引き込まれないように。我慢して。我慢して。我慢して。
29933	51587	意識を保とうとするだけど暗闇に引き込まれそうになるそれを自我で引き戻す私たちが何も言わなくても何もしなくても勝手に意識が覚醒と落下を繰り返す我慢するのはとても辛い
53204	81635	だけど気持ちいいだからそうやって何度も繰り返しちゃうそのせいで催眠が深まってるとも知らずに気持ちいいから繰り返してしまう我慢して我慢して我慢して眠れ暗闇に突き落とされる意識も体もどんどん沈み込んでいく我慢した分
85047	108072	強く暗闇に引きずり込まれて意識が途絶える意識が途絶えてるはずなのに声が聞こえる言葉が聞こえる
111693	138553	真っ暗闇に私たちの声が割り込んでくるでもそれが気持ちいい言葉を理解できなくても音として声を聞いていてもただこうして私たちに流されているだけで気持ちはいい気持ちいい
152564	175814	また起こされる まどろみが抜けきらないまま中途半端に起こされる 戻りたい暗闇に戻りたいあの気持ちよさに そうやって気持ちよかった状態を思い出すと勝手に意識がシャットダウンしてくる だからダメ我慢して合図が出るまで落ちてはいけない
176898	199477	だけど体は正直だから、勝手に落ちては戻ってくる。意識の狭間を彷徨い始める。耐えて。落ちきらないで。戻ってきては、また落ちて。頭の中がフラフラとしてくる。今よりもっと、もっと深く。
203847	230247	一気に落ちていく深く深く意識の暗闇に沈み込んでいく今落ちているのか覚醒しているのか理解できない理解しなくてもいい気持ちいいただそれだけ
242930	268988	起こされてる起こされてるはずなのに覚醒しきれない覚醒したくないそもそも今はどっちなのかわからない頭の中がふわふわして体もふらふらとして意識がクラクラとしている眠れもっともっとほら頭に分からせるように眠れ眠れ眠れ眠れ
271297	286421	起きてるのか、眠ってるのかもわからない状態。コントロールすることができない。特別な領域。気持ちのいい意識の狭間に囚われる。もう逃げることはできない。
