start	end	text
2917	32093	選んでくださって、ありがとうございます。それで、どこがお辛いでしたっけ?下半身の方?ん?分からないので、もっと具体的に教えてください。もちもち?
40700	62333	あー、ごとくなっちゃったんですね。それはおつらいですね。どうして欲しいですか?そうですね。落ち着かせてあげますってお話でしたね。
65152	80035	でもすみません。具体的な方法はちゃんと教えていただきたいなと思って。だって、ね?間違っちゃったら大変ですから。
102462	115962	まさかそんなに大胆なお願いされるなんて思ってなかったんですもん。本当ですよ。手で触ってくらいかなって思ってました。
117515	146793	あ、もしかしてそれでもよろしいですか?手でシコシコーってして、ビューってして、終わり。エッチするより早く済みますし、その分たっぷり眠れますよ。気持ちよく眠るために家に来てくださったんですもんね。いい案だと思いません?
158504	171772	そうですか…いやならしょうがないですねしょうがないので、わがままなお客様のお願い、叶えてあげます
179986	207236	いう条件付きでなんて脳戦地するならお互いをしたいって思ってる状態でした方がいいじゃないですか今の私はそうですねものすごくしたい宇宙だとすると
212437	235083	ゼロじゃないんだって喜びましたね、今。それで、チューにする自信ありますか?すごい自信ですね。
236298	261998	一品だけ?どっちにしても可愛い?じゃあ頑張って興奮させてみてくださいでもお客様は何にもしなくていいですからねお客様はただ私にペラペラをくちゅくちゅされて
265795	295478	その反応だけで私を興奮させるんですいいですか?できます?さっきより自信ありそうなお返事期待してますんーではではいきなりですけど舐めますね
317990	341915	声小さくないですか?言ってるだけじゃ全然興奮できないですよもっと可愛くわざとらしくてもいいので
351098	380697	まだ足りないかも興奮度は4割残ってところですね一緒に練習してみますか
381862	397623	私の真似してみてください。その調子でよろしくお願いします。
437778	464372	いい調子です次はもっとレベルを上げてみましょうか棒読みじゃなくって本当の女の子みたいな生意気声上手
471670	486649	普段からそういう会い方してるとか?いいですねー予想外でした幸運度一気に上がりましたよそのまま続けてください
501978	510061	んんん
535272	562778	次はセリフも足してみましょうかお耳グポグポされて気持ちいい男なのに愛がされて恥ずかしい情けないの好きこれ頑張れたら私すっごく興奮すると思います期待してますね
594925	623452	よくできましたね私のお手本以上に可愛い合気声でしたはい合格です私もちゃんと我慢できなくなっちゃいました
633974	644521	お客様も脱いでくれますか?せっかくなので、お互いの裸、見せいっこしましょう。
663387	688210	エッチ。で、止まってますよ?私ばっかりじゃ懐かしいです。ほら、早く。かっこいいですね。
692615	708440	体って感じでドキドキしますあ、でも乳首は女の子みたいに可愛い色と形ですね私よりぶっくりしてるから
716898	734549	上、失礼しますね。おちんちんは、かっこよくガチガチに上向いてて偉いですね。
750378	779400	すみません勝手に一人で気持ちよくなってましたおちんちんずるずるになっちゃいましたね腰向いて動かせば入れられたのにどうしてそうしなかったんですか?勇気がなかった?違いますね紳士だから
784162	809963	全部私がやるつもりでしたけど、ごっこよくリードしてもらいたくなっちゃいました。ねえ、おちんちんでいっぱいついてくれますか?少し男らしくふりふりへこへこできますか?
814756	844000	ありがとうございます嬉しい体勢はこのままでお願いしますねおまんこの高さはこのくらいでいいですか?だってちょっと距離あった方が頑張ってエコエコしなくちゃいけなくなってより可愛いところが見られると思って
845367	857365	ダメですか?頑張ってくださいねではおばあこどうぞ
878392	906640	すごいですねいいとこ届いてます私のおまんこいかがですか?気持ちいい動いたらもっとトロトロに気持ちよくなれますよ
908058	927936	頑張れます?いいです気持ちいいかっこいいですよ男性らしい行こう行こう
967475	995306	超人間の存在感すごいですね太くて大きくてこの中を通ってピューって落としてくれるんですよねそうですよ生でしちゃってます
996128	1016082	今更ですけどゴムつけます?いらないですよね本物のまんこのぬるぬるぐにゅぐにゅの
1028427	1051748	私も同じです。お客様の…かっこいいお乳…直接ハマハマした…先ほどのダンサーと…
1081128	1094527	頑張って正義作ってくれてるんでしょうね
1111705	1131719	たまたまいい子ですね優しくたまたま触られるのお好きですか?
1134925	1158382	おまかしても無駄ですよなんでうちんちんがビクビクってなったの分かりましたよ大事なところ急所を触られて興奮できちゃうなんて携帯さん
1169857	1191490	変態って言われて嬉しくなっちゃったんですか?本物の変態ですね
1197312	1214592	ちょっと近くで、お顔見たくなっちゃいました。ちょっと赤くなってますね。どうよ、すごい?もう少し?
1218254	1234811	よかったですね変態さん腰へこ休まないでもっと情けなくふりふりしてくださいへこへこ
1240310	1267732	かっこいいですね。もっと?でも、ごへごへ忙しいのにお口塞がれちゃったら大変じゃないですか?いいの?どうですか?うんうんしてください。
1289095	1310358	私も好きですけどキスしてたらお顔が見えないからもうおしまいそうそう頑張ってくださいそろそろ私まだかな
1316112	1318957	よくピューってできるように
1347466	1363869	なぜそうですか?ただ出すだけじゃダメですよ私の地球をたまたまにするくらい
1386397	1415024	ダメですよ終わりじゃないですまだ出るでしょ全部くださいたまたま空っぽにしてぴゅーぴゅーぴゅーぴゅー
1420231	1443552	そうですね。最後にまたピューって出たのを感じました。空っぽになりました?よかったです。お腹あったかい。幸せです。
1452732	1467397	いいですね。じゃあ、このまま添い寝サービスさせてください。夢の中でもいいことできたら嬉しいです。
