start	end	text
3322	30541	選んでいただけてとっても嬉しいです大丈夫ですよー喧嘩にはならないですどんな感じだった?って聞かれることはあるかもですけどどうしよっかなって感じです私だけの秘密にしたい気もしますけど
33308	63177	あんまりにも可愛い姿を見せられたら自慢したくなっちゃうかもロンちゃんに言われたくなかったらちゃんとかっこいいお客様でいてくださいねでは早速ですけどおチンチン出させていただいてもよろしいですか?
66940	91595	ありがとうございますすごい勢いで飛び出してきましたねこの一瞬でまたさらに大きくなったんじゃないですか?エッチですね
95729	125041	見てるだけでもドキドキします触ってほしそうにビクンビクンって震えててすきべおちんちんですね触ってほしいですか?握ってシコシコってして
127336	155770	中に溜まっているものをビューって出したいですか?素直になりましたねおちんちんでも返事できますか?ピクンってエッジに動かしてほしいですもちろん
156445	184668	触らずにいいですか?おちんちんに聞いてみますよシコシコされたいすごいもっとやってくださいおちんちんと耳同時にいじめられたい
201907	231100	この調子で触らずに我慢じるお漏らしできたりしませんか?先っぽにぷくって透明な可愛いのが出てきたらシコシコってしてあげますいっぱい我慢してからのシコシコの方が気持ちいいと思いますよ
237293	263305	うん、確かに落ち着かせてあげますとは言いましたけどさっさと射精させて終わりなんて寂しいしなんだかお仕事みたいじゃないですかいっぱいドキドキしたいしいっぱい可愛いとか
268613	297646	気持ちよくなってほしいしいっぱい気持ちよくなりたいですそのために我慢頑張れますよね私も頑張りますからそうです
299326	326623	幸いにですよだって私も特にえ?触りたいんですか?恥ずかしいからダメです見るだけ?それも恥ずかしいんですけど
329735	336620	でも…そうですね…もういらないのは脱いじゃった方がいいかな…
360717	387802	って思いますけどせっかくなのでおっぱいも見たいですか?はーい承知しました乳首はまだです
394754	420792	この子ですね視線がねちっこいですよどうですか?結構大きさにも形にも自信あるんですけど期待に応えられたみたいでよかったです
423340	452264	んー…触るのはまだダメですよ?チクミ?そんなに見たいですか?じゃあ…一瞬だけチラッエッチな目ですね
454171	480074	大好き君なんですねーおちんちんが早くしてーって言ってますね触るのはダメですけど挟んであげますね
483112	509559	柔らかーいおっぱいでかっこいい腕喜んでいただけました?嬉しいじゃあおちんちんごまんタイム始まりです
544520	558188	もどかしいですよね?おくしてほしいですか?どうしよっかな?
590200	602317	どんな感じですか?これだけじゃさすがに、お漏らしはまだですかね?
641399	669787	やっぱり深い方が気持ちいいんですねそろそろ確かめてみようかな先っぽ、ツンってしますねあー、思ったより早いですねさすがのすけべおちんちんです
682574	712349	指でくるくるするの気持ちいいですか?ぬるぬるくるくるビクビクしてて可愛い分かってますよ約束は守ります
714147	725791	先っぽ触るだけじゃなくって全部握ってシコシコしますね
739763	767371	おーすっごいまだちょっとしかしてないのに我慢汁で手が濡れちゃいました私の手のひら気持ちいいですか?包んでもらえたのが嬉しくっておつゆ
768957	794793	じゅわーって分泌しちゃったんですか?しこーしこーしこーしこーだめです早くしません
805019	814885	私エゴしたらダメですからねお客様のおちんちんを気持ちよくしていいのは
846785	847895	物足りないな
903097	914222	お耳の穴グッポグッポ大好きですねおちんちんの先っぽの穴も可愛がってあげます
1013645	1032710	そこにも聞こえちゃうくらい喘いでください
1054280	1060692	少しだけシコシコ早くしてあげますから
1089515	1109553	おしまいですだって私も限界大丈夫ですそのままでいてください私が全部やります
1127770	1155040	あ、ゾクゾクします…揺れたらどうなっちゃうんだろう…ゴム?いらないです…生おまんこ味わってください…なっ!
1155020	1155040	?
1163579	1193498	おー気持ちいい想像以上ですどうですか?
1204012	1218878	嬉しい相性ぴったりですね私もすごく気持ちいいです
1261505	1290547	ほっぽい見てる?ぷるんぷるんって揺れてますね興奮しますか?いいですよ触ってもん?ん?
1302342	1323393	かっこいいですね首コリコリ可愛いですその触り方
1354267	1382490	そろそろストップしてください気持ちいいんですけど私ばっかりされてると申し訳なくなっちゃうので今度は私にさせてください
1391493	1399913	これが好きですよね?怖い…
1435098	1451238	もっと近くでお顔見たくなっちゃいました
1465338	1487410	ダメです目閉じないで私のこと見てください女の子に乳首カリカリされてますよ可愛くて大きくて恥ずかしい乳首
1502227	1524475	おやすみ
1554758	1555447	バイバイ
1591563	1591917	ご視聴ありがとうございました
1629076	1641833	ごま締めるのどうですか?気持ちいいって言ってください
1681574	1710130	8インチすごいもっと固くなってどうしましょう私ゼロベスにいっちゃいそう
1718227	1741733	嬉しいです一緒に行きましょうね最後にここをグポグポしてから動いてあげますん?
1746374	1774292	ジジノのかわいいお耳大好きですもんねはい、ランドしてくださいビューって思いっきり
1780360	1806288	どうした?どうした?
1820320	1844386	もっと、もっと出せますよね?最後の一匹まで吸収してくださいビュー
1848940	1872957	こっち向いてください
1883838	1884918	ご視聴ありがとうございました
1914196	1938639	満足しましたちょっとだけ気持ち良すぎていくらしても足りないって感じですずーっとしてたいですキスもエッチなことも
1946326	1965827	またしちゃいましたすみませんあのお顔見てたらまたキスしちゃいそうなのでお耳貸してください
1982793	2003152	ありがとうございます楽しみにしてますその日までもっと勉強しておきますねマッサージも耳かきも他のいろんな
