start	end	text
4569	29497	作品を聞く前に、まずは深く音を感じるための訓練をしましょう。照明を落として、イヤホンをつけたままベッドにゆったりと寝転んでください。肩の力を抜いて、体と接しない程度に少し両手を左右に広げておいた方が良いかもしれません。
32015	61372	両足も同じように間を開けておきましょう。それでは、枕に頭を預けて、静かに目を閉じてください。これから始めるのは、深いリラックスに入るための瞑想法です。いろんな音を同時に流し、その中から一つ一つを聞き取り、
61992	91004	最後にはすべてを聞き分けるというものです。最初はいろんな音が鳴るため、少しうるさく感じたり、落ち着かなかったりするでしょう。ですが、一つ一つの音に集中して聞き入るたび、体から力が抜けリラックスしていきますので、安心してください。リラックスして集中する。
92457	120299	その2つが、深い催眠へ入るために必要なことです。また、繰り返し練習することで集中しやすくなったり、不安や怒りなどの負の感情からの切り替えがしやすくなるという効果もあります。単体で聞けるように作っていますので、寝る前など、安全な場所、時間帯で普段も続けてみてくださいね。
124793	149415	それでは始めていきますまずは軽く深呼吸大きく息を吸ってゆっくり吐いてもう一度大きく息を吸って
154210	176650	ゆっくり吐いて少しは落ち着きましたか?そう今のような心穏やかなリラックスと自然な集中が大事ですよこれから様々な音を流していきます
178777	206540	いろんな音が混ざっているので最初は心がざわざわして落ち着かないかもしれません。でも最初はそれでいいのです。音へ意識を向けていってくださいね。一つ一つを聞き分けているうちにどんどん深いリラックスへと入っていけますから。まずは
208088	219597	水滴が落ちる音だけに意識を向けてください他の音は無視してしばらく水滴の音だけに集中していましょうね
281347	308094	さあ、今度は声だけに意識を向けてください。他の音は気にかけず、声を聞き取ることだけに集中してください。なんだか少しずつ体の力が抜けて、落ち着いてきたんじゃないですか?水滴の音だけに集中していると、他の音が少し遠くで鳴っているように感じたかもしれないし、
309608	335058	水滴の音だけ近くに感じたかもしれないどちらでもない場合も水滴の音が他よりも少し鮮明に聞こえましたよねリラックスといっても別に心を無にしなくてもいいんです次は左右に揺れるメトロノームの音だけに集中しましょう
337327	346773	左右に動く音を追いかけるように意識を向けてくださいもちろんそれ以外の音は全て無視していいですよ
405580	432627	また声だけに意識を向けてください音に合わせて頭の中がゆらゆらする感じがしましたか?それとも音を追いかけているうちにだんだんと何も考えられなくなってきたり何にせよゆったりと集中していると心が落ち着いてきますよね
434997	460757	それじゃあ、今度は少し小さいパチパチ弾ける焚き火の音だけに意識を向けてください。小さい音を聞き取ろうとすると、集中がさらに深くなります。もしすでに自然に聞き取れているようなら、同時に焚き火が燃えている場面を想像しながら聞くのもいいですね。
462446	466412	もちろんその間その他の音は聞き流してくださいね
525169	552003	さあ、再び声だけに意識を戻してください。焚き火のイメージは浮かびましたか?それとも、頭を空っぽにして音を聞くことだけに集中していたのでしょうか。どちらにしても小さな音に集中していたから、頭の中がすごく静かになっていますね。
554464	581700	深く集中するとイメージが浮かぶ人もいれば、それ以外のことが考えられなくなり、ぼーっとしてしまう人もいます。あなたはどちらのタイプでしたか?ああ、もちろんどちらでも大丈夫です。それは深いリラックスに入った証拠なので、そのまま聞き入っていてください。
586733	602726	次は鳥の鳴き声だけに意識を向けてください。小さい音に集中した後は、ランダムな音に耳を傾けましょう。朝焼けの森の中にいる気持ちでリラックスしましょうね。
663970	690630	また声だけに意識を向けてください集中が深くなればなるほどどんどん心が落ち着いてきますねこの体験を繰り返せば繰り返すほど音に対する感度は上がっていきますリラックスしていると物事に没頭することができますよねそして
691932	720851	意識を向ける音を変えても、あなたはリラックスを維持できている。それは、始めた時よりも意識の切り替えが上手くなっているということ。続ければ続けるほど、これは心と体に染み付いていきます。さあ、それでは静かに鳴いている虫の声だけに意識を向けてください。
723110	736388	静まり返った夜の森をイメージしてもいいですね鳥の声の爽やかで明るい朝のイメージから静かで落ち着いた夜のイメージに切り替えていきましょう
795595	821876	そのまま虫の声に意識を向けながら聞いてくださいそういえばいろんな音が混ざっていても心がザワザワしなくなっていますね始めた頃と違ってずいぶん落ち着いて音を聞いていられるようになったのに気づきましたか?さあこれで最後です
824838	845304	しばらくの間、自由にそれぞれの音を聞き分けたり、すべての音に意識を向けたりしてみてください。一つに聞き入って集中しても、すべての音に身を委ねて無心になっても、あなたは心地いいリラックスに入っていけますから。
911825	940117	音に集中することになれましたねそしていつの間にか心は深いリラックス状態になっている心地のいい集中だから体から余計な力が抜けてなんだか視観しているような感じがしますだらーんとしてとてもいい気持ち
942872	966197	味わえば味わうほど、ますます深く、深く、心地のいい状態へとなっていきます。このまま眠る場合は、準備を済ませてお休みください。本編に進む場合は、そのまま耳を澄ませていてください。
