start	end	text
3895	26947	おーいってば、聞こえる?そうそう、そこのあなた。いや、よかったよ。やっと私の声が聞こえる人がいて。いやいや、キョロキョロしても何も見えないよ。だって私はあなたの頭の中にいる存在だからね。
28297	49893	んー脳みその中ってわけじゃなくて概念というか想像の中っていうかまあいいや私の声が聞こえてるならちょっと相談に乗ってほしいんだよね私も状況がよくわかってないんだけど
50285	72847	なんだか変な世界に迷い込んじゃってさうまく動けないし力が発揮できないというかすごくもどかしいんだよねなんとなく想像はついてるんだけどここってあれだよね人間の世界ってやつだよね
74618	82634	やっぱりたまに覚醒がうまくいってないと戻れなくなることがあるんだよね
83933	106523	こっちの話ちょっと説明をさせてもらうね私はこの世界じゃなくて催眠の世界っていうところの中人なんだけどその世界では私たちは催眠の世界で気持ちよくなりたい人のためのお手伝いをしているの
108908	138575	でも、私たちも催眠で気持ちよくなっている姿を見るのが一番の喜びなんだけどね。お互いの目的が一致している素晴らしい関係なの。催眠の世界はお互いの信頼関係が大事だからね。ああ、私たちって言ったけど、今は一人ぼっちだったね。ふぅ、みんなに会いたいな。
139823	164022	ああそれでちょっと協力をお願いしたいんだけどいいかな私が元の世界に戻る方法は一つしかなくてそれは繋がっている人を通して元の世界に戻るということ繋がっているというのは今だとあなたのことね
164832	185639	だから、今からあなたに催眠誘導をして、あなたには催眠状態に入ってもらって、あなたを通して元の世界に戻るっていう感じ。どう?なんとなくわかってきたかな?そうだよね、全然わからないよね。
186652	209298	お願いだよもちろんちゃんとお礼はするよあなたが深い深い催眠状態に入ったら私はその世界であなたを思う存分気持ちよくしてあげる気持ちいいっていうのはリラックスだけじゃなくてエッチな気持ちよさもね
211357	238913	普段ならこうやって耳元でささやくとイチコロなんだけどなまだ具現化できてない状態じゃそれもできないのかけどどう?気持ちよくなりたいと思わない?それもただ気持ちいいだけじゃないのあなたの想像を超えるすごい快感をプレゼントしてあげる
239993	263332	悪い話じゃないと思わない?いいんだよかったじゃあ契約は成立だねさあさあじゃあお部屋を暗くしてベッドや布団の上で目をつむってねって催眠のことあんまりわかってない感じ?
263669	271702	じゃあ、いきなり催眠誘導って言っても、あなたは何のことかわからないかもしれないね。
272815	294297	なのになんで私との契約をしてくれたのかって話だけどもしかして気持ちよくしてあげるって言葉に惹かれちゃったのかななかなか好奇心旺盛だねあなたは私たちと相性いいかもね
