start	end	text
7253	30652	1234567891011
32026	41166	ご視聴ありがとうございました
43872	63068	1920282223242526272829
64759	84815	ご視聴ありがとうございました
84895	106322	また大きな波が来てしまう454546474849505253545556
107795	132820	それでもまだ耳なめは終わらないエッチな感情と快感が止めどなく湧き出てくる汗をかこうが会おうが音が反応しない体はまだ落ち着いてないのにまた快感の波がじわじわ押し寄せていることに気づいてるよね
133023	162305	早くなってくるら70秒70秒ほらほら70秒そろそろ80秒80秒80秒80秒80秒80秒80秒
166300	195082	私たちは気持ち良くされるのが楽しみですからもっともっと勝ち上がれている姿を見たいな100秒100秒100秒100秒10910秒110110110
196000	216747	幸せな快楽地獄が始まっちゃう行ってらっしゃいほら120秒いきっぱなしの状態になっちゃったね
216807	245337	体が勝手に反応してしまう合図のこともあることも自分で決められないなんてただ単に言いっぱなしになるだけじゃ132133もちろん悲しい感情もどんどん溢れていく134137138139140141
246322	267032	ご視聴ありがとうございました
267112	295563	154、155、156、157、158、159、160秒162、163、164、167、169、170秒
295563	313501	本当に壊れちゃうかもね早く見たいなあじゃあお家近づけちゃおうか1秒1秒時間が経つたびに上がって170ミリ飲まれてそれをさらに約束させてあげる
313501	340877	181182183184185186187188189190秒191192193194195196197
342222	367012	198、199、200秒、201、202、203、204、206、207、208、209、210、211、212、213、214、
367012	395538	215216217218220220220220220すごい速度でどんどん上がっていく気持ちよそで苦しそうすごい速度で上がっていく気持ちよそで苦しそう
397049	421235	めちゃくちゃにされたことはたまらないよねそれを今考えてもらっているそれってすごく幸せなこと私たちの指示を聞いてる理由なんてないのにね
434596	454367	私をこの世界に戻してください
466430	489008	面白いよ。ほら、もう秒数を数えるのをやめても、耳なめは止まらない。耳なめをされ続ける限り、あなたは永遠にその昇っていく快感を感じ続けることができる。それじゃ、おかしくなるまで楽しんでね。
