start	end	text
7253	30652	1234567891011
32026	41166	ご視聴ありがとうございました
43872	63068	19202223242526272829
64759	84815	ご視聴ありがとうございました
84895	106322	また大きな波が来てしまう454546474849505253545556
107795	132740	それでもまだ耳なめは終わらない60秒60秒60秒60秒60秒60秒60秒60秒
133023	162305	早くなってくるら70秒70秒ほらほら70秒そろそろ80秒80秒80秒80秒80秒80秒80秒
166267	194281	9090909090909090909090909090
196941	225843	できなくなっちゃうかもしれないよ幸せな快楽時刻が始まっちゃう行ってらっしゃいほら120秒いきっぱなしの状態になっちゃったね120秒120秒120秒120秒120秒130秒
225903	247274	ご視聴ありがとうございました
247756	267052	ご視聴ありがとうございました
267112	295563	154、155、156、157、158、159、160秒162、163、164、167、169、170秒
295563	313501	本当に壊れちゃうかもね早く見たいなあじゃあお家近づけちゃおうか1秒1秒時間が経つたびに上がって170ミリ飲まれてそれをさらに迫速させてあげる
313501	340877	181182183184185186187188189190秒191192193194195196197
342222	367012	198、199、200秒、201、202、203、204、205、206、207、208、209、210秒、211、212、213、214、
367012	395538	215216217218220秒か220秒220秒220秒すごい速度でどんどん上がっていく気持ちよそで苦しそうすごい速度で上がっていく気持ちよそで苦しそう
397049	421218	私たちの指示を聞いてる理由なんてないのにね
434596	454867	ご視聴ありがとうございました
466270	488907	面白いね。ほら、もう秒数を数えるのをやめても、耳なめは隣だな。耳なめをされ続ける限り、あなたは永遠にその登っていく快感を感じ続けることだ。それか、おかしくなるまで楽しんでね。
496949	509272	ご視聴ありがとうございました
541955	565388	315316317318319350秒321322323322325326327328329330秒338
571655	594976	332,333,334,339,339,331,338,339,340,341,342,343,344,355,356,357,358,359,3510,3511,3512,3513,3514,3514,3515,3516,3517,3518,3519,3520,3521,3522,3523,3523,3524,3525,3526,3527,3528,3529,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530,3530
620086	641538	ご視聴ありがとうございました
651777	675979	381382383384385386387388389390秒391392393394395
680988	682017	ご視聴ありがとうございました
729154	734438	ご視聴ありがとうございました
753905	782563	おしまいにしよっかそうだねこの子ではもう十分楽しみだしそれじゃあ行っちゃおう行きっぱなしの状態なのにそれを大きく漕いで回転の渦に乗られて行っちゃってねさよなら大きな渦に染み込まれる457458459450秒
789983	799816	耳なめがなくなり気持ちのいい余韻に浸る全身の力がスッと抜ける深い深い世界へスーッと落ちていく
