start	end	text
3550	31433	作品を聞く前に、まずは音を深く感じるための訓練をしましょう。照明を落としてイヤホンをつけたまま、ベッドに深く寝転んでください。体と接しない程度に両手を少し左右に広げてください。両足も同じように、少し間を空けて開いておくのがおすすめです。
34263	59988	それでは、枕に深く頭を預け、静かに目を閉じましょう。これから始めるのは、深いリラックスに入るための瞑想法です。いろんな音を同時に流し、その中から一つ一つを聞き取り、最後には全てを同時に聞き分ける、というものです。
62613	87376	最初は同時にいろんな音が鳴るため、少しうるさく感じたり、落ち着かなかったりするでしょう。でも、一つ一つの音に集中して、深く聞き入るたび、体から力が抜けてリラックスしていきますので、安心してください。リラックスして集中する。
89093	116671	その2つが深く催眠に入るために必要なことです。繰り返し聞いて練習すればするほど、悲安事性が高くなり、どんどん深く催眠に入れるようになります。また、繰り返し練習することで集中しやすくなったり、不安や怒りなどの負の感情からの切り替えがしやすくなるという効果もあります。
118787	145747	単体で聞けるように作っていますので、寝る前など安全な場所、時間帯で普段も続けてみてくださいね。さて、それでは始めていきます。まずは、軽く深呼吸。大きく息を吸って。ゆっくり吐いて。
149320	174943	もう一度大きく息を吸ってゆっくり吐いて少しは落ち着きましたか?心穏やかなリラックスと深い自然な集中それが深く聞き入るために必要なものです
177390	199358	これから様々な音を流します。いろんな音が混ざっているから、最初は心がざわざわして落ち着かないかもしれません。でも、最初はそれでいいんです。私の言う通りに音へ意識を向けていってくださいね。
201842	224253	一つ一つを聞き分けているうちに、どんどん深いリラックスに入っていけますから。さあ、まずは水滴が落ちる音だけに意識を向けてください。他の音は無視して、しばらく水滴の音だけに集中していましょうね。
287421	314493	今度は私の声だけに意識を向けてください他の音は気にかけず声を聞き取ることだけに集中してくださいなんだか少しずつ体の力が抜けて落ち着いてきたんじゃないですか水滴の音だけに集中していると他の音が少し遠くで鳴っているように感じたかもしれないし
316253	339428	水滴の音だけが近く感じたかもしれないどちらでもない場合も他の音よりも少し鮮明に聞こえましたよねリラックスといっても別に心を無にしなくてもいいんです次は左右に揺れるメトロノームの音だけに集中しましょう
341982	352537	左右に動く音を追いかけるように意識を向けてください。もちろん、それ以外の音はすべて無視していいですよ。
419755	446662	また私の声だけに意識を向けてください音に合わせて頭の中がゆらゆらする感じがしましたかそれとも音を追いかけているうちにだんだんと何も考えられなくなってきたりとか何にせよゆったりと集中していると心が落ち着いてきますよね
449428	474000	それじゃあ今度は少し小さいパチパチ弾ける焚き火の音だけに意識を向けてください小さい音を聞き取ろうとすると集中がさらに深くなりますもしすでに自然に聞き取れているようなら同時に焚き火が燃えている場面を想像しながら聞くのもいいですね
475946	479874	もちろん、その間、その他の音は聞き流してくださいね
540995	566094	さあ私の声だけに意識を戻してください焚き火のイメージは浮かびましたか?それとも頭を空っぽにして音を聞くことだけに深く集中していたのでしょうかどちらにしても小さな音に集中していたから頭の中がすごく静かになっていますね
568033	595487	何かに深く集中するとイメージが浮かぶ人もいれば、それ以外のことが考えられなくなり、ぼーっとしてしまう人もいます。でも、そのどちらかを感じられているなら、深いリラックスに入っている証拠なので、安心してくださいね。さて、次は鳥の鳴き声だけに意識を向けてみましょう。
597314	608649	小さい音に集中した後は、ランダムな音に耳を傾けましょう。朝焼けの森の中にいる気持ちで、リラックスしながら聞き入ってみてください。
670400	695030	再び声だけに意識を向けてください集中が深くなればなるほどどんどん心が落ち着いてきますねこの体験を繰り返せば繰り返すほど音に対する感度が上がっていきますそして同時にそれは気持ちの切り替えのうまさにもつながっていきます
697430	725681	リラックス状態になると物事に没頭することができますよね集中力が上がるということはその状態への切り替えがうまくなるということ今回だけじゃなく続ければ続けるほど心と体に染み付いていきますさあ最後は静かに鳴いている虫の声だけに意識を向けてください
727801	740635	静まり返った夜の森をイメージしてもいいですね鳥の声の爽やかで明るい朝のイメージから静かで落ち着いた夜のイメージに切り替えていきましょう
799990	827294	そのまま、虫の声に意識を向けながら聞いてください。そういえば、いろんな音が混ざっていても、心がざわざわしなくなっていますね。始めた頃と違って、ずいぶん落ち着いた音を聞いていられるようになったのに気づきましたか?さあ、これが最後です。
828963	849523	しばらくの間、自由にそれぞれの音を聞き分けたり、すべての音に意識を向けたりしてみてください。あなたには、あなただけの感性があります。それを広げて、感性最大にして、心地いいリラックスを感じましょう。
906618	930458	だいぶ深く音に集中することになれましたね。そして、いつの間にか、心は深いリラックス状態になっていますね。心地のいい集中だから、体からも余計な力が抜けて、なんだか視観しているような感じがします。
935379	960470	とてもリラックスした感覚それを味わえば味わうほどますます深い集中を感じられるようになっていきますこのまま眠る場合は眠る準備をしてお休みください本編に進む場合はそのまま耳を澄ませていてください
