start	end	text
6781	31342	また負けちゃったよじゃあ次は私とお兄さんねお姉ちゃんコントローラー貸してこの前みたいにはいかないからね今日お兄さんに勝っちゃうんだから仇取ってねうん、任せといてお姉ちゃん
32414	36539	がんばれー
54175	71493	なんとか復帰できたねよかったもう姉ちゃん気が散るよごめんごめんでも結構いい感じだよほらあそこ撃てあお兄さんアイテム使うのずるいよこの
75796	103168	ちゃんとかわしてるいい調子だね私だってやるときはやるんだよ覚悟してお兄さん私の勝ちすごい勝っちゃったねっお兄さんすごいすごい
104757	132736	お姉ちゃんといっぱい練習したんだから!勝ててよかったね!練習した甲斐があったね!わ、じゃ、なに?お兄さん急に頭撫でないで!ふふ、照れちゃって私も撫でちゃお!よーしよしよし!もう、お姉ちゃんまで!子供使いはやめてってわ!
133546	163330	あの子、こういう不意打ちに弱くてすぐ動揺しちゃうの。かわいいよね。歳が離れた妹がいるって幸せだよ。かわいいもん。両親に感謝しなきゃね。お姉ちゃんなでなでしつこい。もうやめて。わかったわかった。ごめんね。ふん。もうお姉ちゃんの理由も知ってあげないんだから。へー、やだー。
164174	185039	姉ちゃんなんてほっといてお兄さんもっかいやろうお兄さんも私と対戦した方が楽しいでしょ?あ、えっとーたくさん練習に付き合ったのにほーんだまあもう私にとってはお兄さんも相手にならないけどね
198785	218121	え、あ、つらい、つらいーほらそこ、アイテム出たよ、取って取ってわ、やった、当たった、このまま勝てそう
222173	240194	もう少ししたらご飯食べに行くから二人ともそこそこにねはいこのままお兄さんに買っちゃうからちょっと待ってやめてやめてこんなに懐いてくれて私も嬉しいわ
253797	281773	ねえそんなに持ってきてちゃんと食べきれるの?だって全部美味しそうだったから残しちゃダメよはーいこれ美味しい本当にこの子は調子良いのかなそれはそうだありがとねこの子も一緒に誘ってください
289927	317146	すっごい美味しいよ!ほら、お兄さんも食べよ!みんなで来れて嬉しいね。置いていかれるとすぐ死ねちゃうから。あ、そんなことないよ!それじゃあ、私もいただくね。ほんとに美味しい!このお寿司なんていくらでもいけちゃう!
317888	335371	姉ちゃんのハンバーグ、いつもの茶色いソースじゃなくて大根おるしが乗ってるよ。なんで?これはね、大人だけが知ってる秘密の食べ方なの。あなたにはまだ早いかな?
362978	392105	何にも食べられないちゃんと全部食べられたねえ偉い偉いそういえば話しておかなきゃいけないことがあって実はね父方の祖母がサキュバスに覚醒した人なの別に隠すつもりはなくていつかちゃんと言わなきゃって思ってたんだけどね
393252	421188	存在は知ってるでしょ学校で習ったと思うし私も前に授業で習ったよサキャバスの血縁者は覚醒することもあるって話私はしなかったけどこの子はちょうど今の時期くらいみたいなのだからねもし私がいないときに兆候があったら教えてほしいの
428740	455673	もし覚醒しちゃったら、定期的に研修を受けたり、専門の教室に入らなきゃいけないのよね。えー、めんどくそー。別にいいじゃん、サキュバスになったって。ダメ。ちゃんと習ったでしょ?サキュバスとしての常識や振る舞いとか、魔法の使用方法とその法律について、ちゃんと覚えるまでは薬で抑えることになってるって。
457225	481452	魔力が暴走したり医療体質になったりその…性欲が強くなったりするからでもおばあちゃんは若いうちが一番楽しいって言ってたよもうあの人はおばあちゃんが若い頃はまだ色々とゆるかったけど今はそうじゃないのよ
483466	505073	もし何か起こったらお父さんやお母さんも大変になるからねまあでもまだ覚醒するって決まったわけじゃないしそんなに心配することないわさて私は食後のコーヒーでも取ってこようかな
505724	515771	君はコーヒーいる?ついでに取ってくるよお姉ちゃん私も私もオレンジジュース欲しいはいはいそれじゃあ待っててね今のうち
534597	555904	ねえお兄さん耳かしていいんかな本物のサキュバス見たことある?見たかったら見せてあげよっか
569332	587122	もうサキュバスに覚醒してるおばあちゃんに魔法の使い方とかも教えてもらってるんだ周りの男の子に魔法でいたずらだってしてるんだよ
590611	618052	でさおばあちゃんからサキュバスの魔法って本当は大人の男の人にかけるためにあるって聞いたの全然反応とか違うらしくてやってみたいんだかけられるとすっごーく気持ちいいらしい
635375	654802	お、お姉ちゃん戻ってきたお待たせん?どうしたの?なんでもなーいへー、二人で何を内緒話してたの?もう、なんでもないってば
658038	686877	二人ともすっかり仲良しだねそんなんじゃないよテレちゃってるかわいいわねちーがーうちーがーうってばーあ!いきなりストライク!すごーい!お兄さんハイタッチ!
689932	711827	次は私行くね頑張れあの子ほんと楽しそう君が優しいからなっついてるんだねこれからも仲良くしてあげてね悔しいあと一歩大丈夫よ落ち着いてちゃんと
717455	743425	やった!スペア取れたじゃない!やった!お姉ちゃんハイタッチ!次はお姉ちゃんの番だぞ!え、あれ?お姉ちゃんボールを?あ、取ってくるの忘れてた…もう、お姉ちゃんぼーっとしすぎ!ごめんごめん、ちょっと待っててね!
745737	761074	姉ちゃんはあの調子でいつも天然ボケ気味だからちゃんと見ててあげてねんっと、まあ、それはそれとしてさっきの続き
772045	801458	胸元に息を吹きかけたり囁いたりしてあげたりするとそれだけで暮らしの男子なんかはぼーっとして座り込んじゃうのちょっと魔力を込めただけなのにね変なのおばあちゃんは大人の人にも効果あるって言ってたけど
812368	829659	ガラスの子みたいになっちゃうお姉ちゃんが戻ってきた遅いよ早く投げてごめんごめん投げてくるねお姉ちゃん頑張れ頑張れ
832120	850279	そうやって動けなくなって私の声に夢中になってるところに爪を立てて首とかお胸とかを指で撫でてあげると
862259	889698	お兄さんこんな感じコリコリってやるのお兄さんもみんなと一緒なんだねお姉ちゃんもう投げちゃった?もうちゃんと見ててよスプリットになっちゃった惜しかったね頑張れ顔を隠してどうしたの?
907417	932898	知らなくてよかったの?うん知ってるんだよ男の人はここを大きくすると恥ずかしくなるっておばあちゃんが言ってたこれが魔法の力だよすごいでしょ
934687	964107	お兄さんみたいな大人の人も思い通りにしちゃうんだよお兄さんももっとされたいでしょだから私の魔法の練習台になってもっと自分の魔法を試してみたいな
967353	994370	ねえお兄さんお兄さん そっか大きくしちゃったままで ちゃんと投げられるかな
996652	1023727	お姉ちゃんにはないでしょ もう意地悪なんだからあちゃんガーターだね残念 どうしたのお兄さんお兄さんもっとまっすぐ立って投げないと ゴラゴラ煽らないの
1031026	1050365	お前、次頑張ろうちょっと魔法かけただけでこんなことになっちゃうんだお兄さん大丈夫かなどうしたの?うつむいてうん、なんでもないお兄さん次を頑張ってね
1058988	1088797	楽しかったねちょっと飲み物買ってくるよ私はオレンジジュースがいいなはいはい君は何がいい?あ、了解えっとお兄さん大丈夫だったさっきはごめんね正直ちょっとチャージに乗っちゃったまだ魔力の制御
1099218	1107269	頼れるのがお兄さんしかいないの
1120970	1129525	お兄さんがね、次の勝負に勝ったらケーキ買ってくれるんだってえ、ほんと?じゃあ頑張んなくっちゃね
1163275	1188503	家を開けることになってそう、うちの親二人で会社やってるからたまにあるのいつもなら別にいいんだけど明日は最終面接の日だし妹には友達の家とかに遊びに行ってきたらって言ったんだけどそれだったらお兄さんと遊びたいって聞かなくて
1195777	1204417	それでね、もし明日会えてたらお昼を食べさせて、この子とゲームでもして遊んでくれると助かるんだけど…
1231079	1245288	いらっしゃい予定とか入ってなかった?無理してない?そっかよかったお昼は作り置きしてあるから二人で食べてね
1246165	1273958	リビングのゲームはもう知ってるよねありがとうそれじゃあ行かなきゃお姉ちゃん行ってらっしゃい面接頑張ってねうんありがとう行ってきますそれじゃあよろしくねさあ入って入って就活生って大変なんだね
1274313	1302325	お兄さんはもう決まったんだっけ?お姉ちゃんも今日の面接が分かったら終わりって言ってたしうまくいくといいなちょっと遊んだらお昼ご飯食べよっかお昼ご飯美味しかったねお姉ちゃんが作るご飯私大好きお兄さん?
1303631	1329005	結婚したら毎日食べられるよなんてやだ顔もっこやらしいあそうだ姉ちゃんが帰ってくるまでのんびりゲームでもしようよ私ねやりたいゲームがあるのなんだと思う?
1330642	1353408	対戦ゲーム?アクション?この前やってたのとか?ふふんでもいつものじゃないのもっと楽しいやつ私と兄さんの対戦でちょっと体も動かして魔法の世界に入っちゃうようなゲーム
1357912	1386134	お兄さんの隣座るねそうだよこの前の続きおばあちゃんに習ったサキュバスの魔法をお兄さんにかけるゲーム安心してこの家には今私とお兄さんしかいない
1387662	1415767	だからこれは二人の秘密だよおばあちゃんの話だとサキュバスの魔法は未了の魔法って言うらしいななんていうか男の人に恋させちゃう魔法って感じ?心の隙を突いて恋をさせて
1416752	1445408	言いなりにしちゃったり気持ちよくしたりするのでも私おばあちゃんに習った魔法半分も試せてないし暗記も出せてないのだから大人のお兄さんで試させてほしいのエッチのことはみんな大好きで大人になれば誰でも毎日するっておばあちゃん言ってた
1446860	1475969	お兄さんもお姉ちゃんと…その…してるんでしょ?だったら、私とエッチなゲームをしてもいいよねえ?なんでダメなの?別にセックス?っていうのをおばあちゃんに求められてるしやらないから大丈夫だよ?
1477572	1507492	そうだよ、ただのゲームだもんお兄さんは魔法をかけられて気持ちよくなるだけ最後にはちゃんと魔法も解いて元通りにするからね?ねえ、お願い、いいでしょ?ね、一回だけ、今日だけでもいいのん?一回だけならいい?
1508420	1537728	本当にやったー!って言っても魔力を声に上乗せしたお願いだからちょっとずるいよねお兄さんの頭少しぼんやりしちゃってるもんね無理やりOKさせたみたいでごめんねでも私も本気の魔法の効果が知りたいの
1541242	1570925	何度かボウリングの時みたいにここ大きくなってるよやっぱ魔法ってすごいんだねねえねえあの時もさ気持ちよかったんだよね違う?そんなことないよねだってちゃんと球を投げられないくらい力が抜けてミスしちゃってたもん
1572646	1602556	今日はあの時よりもっとすごいことしてあげちゃう私も本気で魔法が使えるようにサキュバスの姿になるねちゃんと見ててねお兄さんおばあちゃん以外に見せるのは初めてだからちょっと恥ずかしいけどいくよせーの
1605896	1628722	どう?ねえねえ、かわいいでしょ?本当?ありがとう。これが私の本当の姿なんだよ。いつもはなんか窮屈な感じで、この姿に戻るとなんかはーって軽くなってすごくいい気持ちなの。
1629700	1646696	クラスの男子に魔法をかけるときも編成はしてなかったから本気の魔法を人に試すのはお兄さんが初めてこれからお兄さんがどうなっちゃうか楽しみ
