start	end	text
95472	96252	いや…
142118	162622	今、おたまってます?やっぱり、寝てましたからね。いけそうかな?やっぱり、寝てます。
172898	199518	もう一回
207239	233294	やっちゃったハンドタオル忘れたな緊張してますね
242320	265988	いや、取りに行かせるのは申し訳ないですよそうですよだって忘れたの私なんですから旦那さん、服の面倒じゃないですか?案があります
275262	293943	こっち来てくれます?いや、何でも?
316977	341699	そしたらたなさんが後ろから手で洗ってくれたらいいんですよ。腕とか背中とかね。これなら見えなくないですか?前は自分でやりますから、手の…いやこれ自分で洗えば済む話ですね。
347234	371500	ですよねはいわざと忘れましたあれ一個しようと思ってました
381271	407432	洗いっこしません?やった!隠してるとこは自分でしますから肌色のとこだけお願いしますよタオルの下に手を入れたりはチェックハラです
411072	429820	タオルの上からじゃあ手からねよろしくお願いします
449092	450543	お願いします。
487178	505032	さっきのマッサージとあんま変わらないと思うんですけどねたぶん心ごと無いですね
530092	554476	こっちもなんか捕まってるみたいなコールですね
559235	585340	胸突き出しはちょっと厚いですよたなさん
592748	614683	洗ってほしいかもタオルの縁まででいいですからね出てるとこまで洗ってくれればいいですから
629182	651743	タオル弱々ですよ手つきがやらしいですねそんなギリギリばっか洗わなくてもですよ
689375	701879	爪くらいまでならシフトします爪先までですよ
719930	729520	たぬさん、そんなするとはだけるなもんたぬさん?
759912	789185	そんなされると変な気分になるでしょうが交代ですよやっとけますから向こう向いて
805913	830972	たぬさんたぬさんすけべな気持ちで洗ってましたね隠さなくていいですよというか隠せないですよ
834871	855591	胸ばっかりよーく洗ってましたもんねー洗ってあげますよタヌさんのお胸も
876738	893832	あれあれ?タヌさんのお胸、タオルないないですよ?タオルの縁までだと、お胸さ、先っちょまで全部洗っちゃいますよ?
906438	930721	指が迫ってくるぞくしゅくしゅくしゅくしゅデリケートゾーンですからねつまんで指の腹でコロコロしてあげねば
940812	964437	サムさんこれ好き?いや答えなくていいですよだってね見ればわかりますからねわかりやすいですな
967913	976621	気持ちに合わせて動くんですか?そっちもゴロゴロしましょうか?
1018477	1019888	洗ってあげましょうか?
1050618	1075137	はぁ、でもタオルの下ですねタオルの下は触らない約束ですからね腰のとこまでですね下からいっても太ももまでですし
1085684	1109650	タオルの下じゃなくなっちゃいましたよタオルバリアなくなっちゃいましたよ隠さないでいいんですか?ほらほらゾワゾワおててがのってきてますよ
1121847	1136185	捕まえたはいもう隠せません炭酸これ私の捕まえたから私の
1165327	1182100	気持ちいいねよーく洗いましょうねタオルの縁の一番近いとこ巻いてる意味ないですよ
1203488	1232065	背中も洗いましょうかほら背中こすられてますねでも不思議ですよね手を使わずに
1235500	1260931	ちょっと洗ってるんですかねめっちゃこすれますね
1264289	1271596	マーキングですよされてますよキャヌさん
1317192	1318711	ちょっと石鹸しみる
1356629	1375746	はいてってれーオールインワンジェルよく洗ったので次は保湿しますよこれは染みないのですよなぜ知ってるかは秘密
1410290	1430009	全身保湿しましょうね全身は嘘だなもん一箇所ばっかするなもん
1487360	1504552	ついてますよたねさん今背中をこすってるのはタオルか肌かなんでしょう
1524434	1532585	サムさん笑うとね、なぜか私も気持ちよくなるんですよ。
1660598	1688324	タヌさん、これめっちゃ良い良いかない?良いか、そうかそうかじゃあ、タヌさんにもいただきましょうかタヌさんは、私の手の内なのですよ
1692307	1698754	早いの聞くっしょ?出来る社畜は妖天を掴むのが上手
1763401	1774808	はい、もうタヌさんいっぱいいっぱいです。でも緩めません。このまま地帯を見せてくださいな。
1801910	1825628	できんでるできんでるカウントダウンとかする?下げましょうかはい543254
1834089	1856710	210マジの我慢の子じゃないですか
1878573	1907716	ちゃんと流さんといかんやつですね流れろ!たるさん、足でバシャバシャおりゃ!
1908610	1935357	クリームいりまくりましたからね流さないとベタつきますよ?とにかくそういう本で一晩で何十回とかにあるじゃないですかあれって可能なんですか?
1945060	1968230	よしウォームが森へ帰っていくちょっと見慣れてきましたね
1972735	1999176	ついにタヌさん布一枚ですよそれも腰にかかってるだけですしこれ何パー隠れてるんですかね5パーも怪しいですよ何も隠れてないしいやぁ良くない
2005031	2029418	良くないですよとても不健全ですよでもロマンありますよね旅先でこうこういうのってじゃないですか?ですよね
2039527	2067918	チューくらいしときますかいやこの状況でチューもしてないのもなんかむしろ不健全な感じしません?そうですよ
2076044	2076889	必要なことですから
2133352	2159718	これで健全それではタヌさんお出口はあちら
2163743	2191826	お風呂交代ですだって今から私も洗いますしそうなるとすっぽんぽんじゃないですかちなみにタオルは絶対湯船につけない派ですよお風呂場のマナーは守りますからさっきのあのお金
2197477	2213742	まだ温まってなかったですかじゃあ先上がって待っててくださいそんなに長湯しないですからご飯食べて寝る前にお耳しましょう
