start	end	text
26660	51837	マッサージ中ですお隣のお布団どうぞ
70805	90751	お休み前の拷問です体はこちこち剤ですよ旦那様にも致しますよよいしょよいしょ
100640	130087	めっちゃ気持ちいいですよあんなに?コリの断末魔ですよ早速いたしましょうかアイマスク温めてきますから少しお待ちくださいね
133006	159517	なっちゃんのもお願いしますたぬさん
164444	194060	内緒がいいと思うんですよお風呂そうですよ未成年でもないですし何が悪いってこともないんですけどねなんかね
205602	228502	学校でもねそういう話入っていけなかった側でしたしそういう話題になったらシュッてしてまして結構あるあるだと思うんですけどね
233885	259822	学校で免疫できてないと一生免疫ないですよこれ大人になってオタフクみたいな免疫できないですよオタフクってできるんです?
273119	292837	お待たせいたしましたさあ旦那様も仰向けになってください
315931	339809	葉月のアイマスクでーすはい、なっちゃんもはーいあったかお話中だった?
342931	370748	それでは簡単に整体していきますね今日はお休み前なので弱めにしていこうと思います叫んだんですけど?タヌさんさよなら
373255	399129	さあ、旦那様はどうですかね両膝を立ててくださいはーい
400998	428433	両膝を抱えますゆーっくり深呼吸してくださいねぐーるぐーる大きく回して股関節を緩めますよ
433027	462423	goodgoodgoodgoodgoodgood
465072	488762	ぐーるぐーる逆回し
532117	552670	次は左右に大げく倒しますよ体は仰向けのままですからね右側
570271	596448	はい、反対右側真ん中に戻しまーす
600595	628395	次は片足ずつお尻の筋肉を伸ばしますよ左膝を右の脇腹さんまでグーッと押しますグラグラ骨梅らしい
656333	680101	はい右足さんをー左の脇腹さんへぐろぐろぐろー
690286	714181	なっちゃんはお休み中?起きてますよこういうのね聞いてるのが好きなんですよね動画とか聞き流しですけどね
719024	729335	自分のを思い出して二度おいしお得ですね
748876	778778	はい足を楽にしてください次は肩甲骨剥がしですごめん
788971	816477	肩甲骨剥がしっすか花形じゃないですか見てみたかったやつさっきなっちゃんにしたやつだよ肩ぐるぐる別名ですね
819532	846235	ごめんねはーいでは寝たままでいいですからなっちゃんの方向いてくださいね脇の下から手を通して
850092	877167	肩がグラグラしないようにガッチリ肩甲骨ごと抱えちゃいます肩甲骨さん動かしていきますねまずは上下に上下上
879877	908705	123420回です5678たぬさんゴリゴリ鳴ってる?1011私もめっちゃ鳴ってましたよ131415
909897	935116	16あんまり鳴るとダメなんですけどね工事現場みたいだったどっちがコチコチですかねはい次は回しまーす
937960	953354	12345
976064	999094	反対にも回しますよー12345
1005832	1031000	678910さっきより大きな丸になります
1048087	1065468	タヌさん剥がれてる?いいですねー逆回し
1109748	1137608	はい反対側はなっちゃんが私?ぎゅっと抱えてぐるーぐるーんーできます工事しますじゃあ
1137862	1165615	今度はこっち側を向いてください脇の下に手を通して肩に手をかけてギュッとギュッ
1167983	1192158	上下上下上下いいですよー自然に動く範囲でね上下上下上
1198460	1226084	頭に響いてきません?気持ちいいですよね
1228936	1251493	そして少し不安になるはい、回しまーすグルーグルー
1258973	1287715	ぐるーぐるーぐるーぐるーぐる逆回
1291053	1307368	しーぐるーぐるーぐるーぐるー
1330945	1356207	だん…だん…おお…効く…だいぶ…動いてますよ?
1362367	1391071	剥がれる…剥がれる…筋膜リリース…左…筋膜って…なんじゃろな…
1394125	1395712	なんだろうね
1427538	1447282	肩軽いですか?あんだけなってればねじゃあ次はそれですね
1458082	1482094	たぬさん、仰向け今からお水飲ませますからお口ゆっすいでくださいね起きたらアイマスク落ちちゃうでしょ?たぬさん、仰向け
1496067	1521944	湯吸いだら飲み込んでくださいねたぬさん寝る前にすることといえば歯磨きです
1524350	1538592	今日の夏菜コースは先生に教わりながら歯磨きレッスンです。先生じゃないですけど。鈴代さんも歯づきも強かったと星5レビューですよ。
1559230	1583855	たぬさん、あんは?よくできましたー奥歯からでいいですか?いいですよーはーい
1592660	1621102	順番とかありますか?順番?お風呂はまず頭からみたいな特にないですよでも磨き忘れがないように丁寧に磨きましょうね歯の隙間はしっかりクシュクシュー
1639555	1644932	髪がキクシュキクシュ…キレイキレイしますよねー
1687649	1710025	全部磨いとる上の歯でーすくしゅくしゅー見づらいですからちゃんと当たってるか気をつけてねはーい
1715864	1745024	一生の付き合いですからね虫歯にならないようにしましょうねサナさん最後の歯医者っていつですか?長々だよ
1751302	1774394	寝てますか?今の歯医者ってすごいんでしょ?爪ものライトでピーってやったらもうOKなんですよ昔って30分は食べるなーとか言われませんでした
1778875	1805090	めっちゃ昔の5歳とかの話ですけどなめき?なめきしか引っ越ししてから釣れ物したあとピーってやられてお口の中で文明開化の音ですよ
1809233	1828772	進歩してますねーでもいっくん最後のチョコクリームあれなくなったのだけ少ししょんぼりですねー
1854003	1878657	はい、たなさんいー右からチョコクリームって最後に飲めること?そう
1885475	1913174	美味しいやつね味長続けねちょっとずつ溜めるあなた並木だけなんですかねなぜかこれはフッ素のお薬です
1919258	1948848	舐めちゃいましたか?舐めちゃいましたね舐めてたから虫歯になったんですかねかもしれないですねータヌさんこれは歯磨き粉ですよ
1950157	1976877	飲み込んではいけませんこれは飲み込んでいい飲食後ですよ自然以来ですからタヌさん笑われてますよ
2019192	2041619	はい、お疲れ様でしたそのまま飲んで大丈夫ですからお水含んでくださいね
2051255	2067286	たぬさんほっぺに水ためてくださいハムイスターくちゅくちゅお手伝い
2082406	2098555	飲んでくださーいゆちゆちおかわりは?はーい
2113895	2139653	ハムスターはい、綺麗になりました
2151256	2173328	お口拭いますよーどうでした?いい感じでした?
2180332	2207069	じゃあこのままお耳いきますねこっち私がやって向こうはタビさんタビさんは今ピースしてます手際いいでしょ打ち合わせてましたよろしくお願いいたします
2252911	2271509	はーいそれではお耳掃除でーす耳タブはさっきしてもらったので中から始めますねー
2326790	2332944	ふぅ 好きでしょたぬさん向け
2399656	2428934	生活音っていいですよねうるさかったですか?私んちね狭いんですよ
2437591	2465448	部屋足りなくて自分の部屋なかったんですよねだからね誰かテレビ見てたり
2471273	2498146	台所でガチャガチャしてたりそういうのがねいつもしててこういうの落ち着く
2509883	2539820	お正月ってみんな家にいるじゃないですかおこたにみかんで台所からはお雑煮とか鬼しめとかの匂いしてきて
2546384	2574077	テレビもずっとにぎやかなやつでその横で丸まってキーッと見てるんですよちょっとうるさいのが
2576843	2598055	普通だったんでうち静かなの?ちょっと不思議なんですよね
2617917	2633869	誰かの何か聞こえるとねはぁ…正月の感じ
2654806	2681282	お正月が恋しい早いよそれじゃあこっちも
2697803	2723639	悠々ですね私んちですよおこたのテレビ見れる席たぬさん私ね
2729107	2758194	お正月ここにいたんですよ今がぎゅうぎゅうでお酒飲んでねちょっといいもの食べてちょっといいお酒飲んで
2763937	2789823	頭がぼやけるまで私のお正月今日みたいだね
2799070	2827370	はなさん今日はお正月ってこと?はなさん今日はお正月?
2849560	2873547	ちょっと足を伸ばすだけでこんなお正月なんですから道草はいいとこ一度は多いんでもっとおいでシューイチおいで
2895730	2897198	ちょっといいね
3022428	3036130	眠れました?たぬきねなっちゃんは眠たいのにね
3074167	3075719	人肌をつつく…
3205285	3233095	おしまいの合図なっちゃんもうどーどですね
3236622	3264273	お仕事帰りですからお酒も飲んでお風呂も入ってちょっといい日
3270187	3298672	旦那様もちょっといい日ってなってたら嬉しいですなっちゃんどうしますか?
3305438	3325866	お願いしますはーい
3365783	3391947	アメキューバージョンってですよそうだね若いバージョンお耳しましょうねはーい
3441130	3467317	こういう日々を過ごしたいですよ仕事して帰ってただいまって言えるのは
3470290	3493763	なんか良いねおかえりおかえり挨拶できるって良いですね
3506639	3513082	おやすみたなさんまた明日
3539849	3567015	ご視聴ありがとうございました
