start	end	text
2427	31267	いらっしゃいませ、お客様。私はここでお客様を快楽に導かせていただきます、あやかと申します。お客様は初めてのご来店ですか?当店は催眠総合リラクゼーションサロンでございます。さあ、こちらへいらしてください。それでは…
31688	58190	当店のサービスの説明を始めますねこのお店ではサービス内容は施術者である私に一任させていただいております基本的なメニューは催眠によるリラックスといった精神的な心地よさまた簡単なマッサージや耳かきといった肉体的なサービス
60983	88977	そして心身ともに気持ちよくなったその後はエッチなサービスもあるんですよでもまぁ内容は私に任せていただければ大丈夫ですよではこのお店のルールを説明させていただきますね全部で5項目あるのですが
90025	119995	まず一つ目。このお店の中では、施術者である私に従っていただくこと。二つ目は、お客様が施術者に対して何かを行うことはできません。無断で私どもに触れたり、私物に触れることも規約違反です。お客様に私どもがサービスを行うお店ですので、ご了承ください。
122020	148953	3つ目は、携帯電話、ビデオカメラ、デジタルカメラ等による撮影、録音行為は禁止とさせていただいております。また、インターネット上などにアップロードをした場合は、法的に対応させていただくこともございますので、ご理解お願いいたします。4つ目は、私どもの嫌がる行為。
149628	179446	暴言や脅迫などそういった行為は立ち入り禁止や罰金の対象となりますのでおやめいただくようお願いいたします五つ目は覚醒までちゃんと行うことですしかし細かいことはお気になさらず普通に私の言う通りにしていただければ大丈夫ですよそうしていただければ
181756	208495	とても気持ちよくなれることでしょうさあ、それではそこのお布団の上で横になってくださいねあ、言い忘れておりましたが衣類はもう脱いでおいてくださいはい、下半身もですよ
210597	240314	ですが、はじめはそういったサービスを行いませんので、緊張なさらないで大丈夫です。お客様のプライバシーは守られておりますので、ご安心ください。横になりましたか?それでは、お隣。失礼いたします。それでは。
242845	257577	まずは深い催眠へと入っていただきますね。普通のマッサージ店とは違い、当店では催眠にかかっていただき、その後気持ちよくなっていただきます。
259315	286737	当店が初めての場合、催眠がどういったものかわからないかもしれませんが、私の言う通りにしていただければ気持ちよくなることができますので、どうかお気になさらず、ついてきていただければと思います。ではまず、私の膝に仰向けで頭を乗せてください。よいしょっ。
289842	317686	それでは眩しくないように、目の上にタオルをのせさせていただきますね。そして、私の手のひらをあなたのおでこにのせます。私は体温が高い方なんです。ですから、触れた部分がだんだんと温かくなり、心地よくなってきますよ。
319289	345749	では、失礼します。ほら。おでこがじんわり温かくなってくるのがわかりますよね。じわーっと温かくなってきて、心地がいい。そのまま、私の手のひらの柔らかさや、重たさ、温かさを感じてください。
348263	372395	普段、そういったことまで意識をすることはないかもしれませんね。私の手の重たさ、それはどのくらいの重さに感じますか?何かが触れている感じがするだけでしょうか?それとも、携帯電話くらいの重さでしょうか?
374673	404474	しかし、その携帯電話にさえも、普段そこまで重さを意識していないかもしれませんね。重さといえば、今あなたは寝転がっているわけですが、ご自分の体の重さというのは、寝転がっているときには実感されにくいものですよね。ですが、ちゃんと重さを感じているはずですよ。
406027	432925	普段は無意識に隠れているだけで、意識をすれば気づくものです。ほら、右腕から意識を向けてみましょう。今のあなたは、腕を上げるのが重たくてめんどくさく感じてきますよね。そうやって、あなたは何かを気づくこともできますし、
433668	459267	私がおでこの上に手を置いていたことを忘れることもできます。あ、でもまた、今私が言葉にしたことで意識に昇ってきちゃいましたね。人の認知能力って面白いですよね。さあ、それでは。
459605	486879	後頭部に触れている私の膝の温かさも感じることができますか?いいですよそれが感じることができてもできなくてもこうやってあなたは何も気にせず私の言うことに耳を傾ける今はそれが重要なことなんですそれだけでいいんです
488917	517047	あなたの体はゆっくりと私を受け入れる準備ができてきていますから。おでこがどんどん暖かくなっていき、頭の中のコリを溶かしていく。思考がとろーんと溶けていき、何を考えるのもめんどくさくなってくる。頭がぼーっとしていく。
518431	544807	でもそれが、なんだか心地よくて、うとうとしてくるかもしれません。眠くなれば、寝てしまっても構いませんよ。眠るのも、このままマッサージを味わうのも、あなたの自由です。ここではあなたを縛るものは何もありません。
551324	576464	いいですね。心地よさそうな顔になってきましたよ。それでは今度は、その手のひらを少し下へずらし、まぶたの上に置きます。すると、さっきよりも目の前が暗くなる。暗くなると、より催眠に入りやすくなります。
580571	609657	まただんだん、暖かくなってくる。まぶたがじんわりと暖かくなり、緊張が溶かされていくのがわかりますよね。まぶたの緊張がすーっと消え、まぶたの筋肉が歯間していく。もう、目を開くことができないほどに、力が抜ける。
612394	635898	気持ちいいですよね。私の体温もしっかり感じてください。では次は、頬に両手を添えますよ。はい。すると、頬も同じように温かくなってくる。
638058	667111	そしてこうやって頬に両手を添えたまま深呼吸してみましょうすると吐く息とともに全身の力も抜けていきますます深い気持ちのいい催眠の世界へと入ることができますほらゆっくり深呼吸をして
669682	699112	吸って…吐いて…吸って…吐いて…そのまま続けてください。続けながら、私の声に耳を傾けるだけ。それだけでいいんです。
700478	726466	簡単でしょ?これから、どんどん深い催眠状態へと入っていきます。何も考えられなくなるくらい、深い深い催眠状態に。そのために、もっともっと全身の力を抜いていきましょう。
728626	748527	大きな深呼吸をしましょう吐くときにスーッと全身の力を抜く大きく息を吸ってー吐いてー大きく息を吸ってー
759136	786558	もう、どこにも力が入らない。それくらいどんどん力を抜く。いいですね。もう普通の呼吸に戻して大丈夫ですよ。そしてまた、頬に意識を向けてください。顔のマッサージをいたしますね。こうや。
788937	814317	ぐり…ぐりと…円を描くマッサージをする。すると、顔全体の筋肉がほぐれていくのがわかりますよね。もみ…もみ…顎の方も…ぐり…ぐり…
