start	end	text
1550	29123	または、このまま次のサービスに移ることもできるんですよ。この部屋では、あなたを縛るものは何もありません。すべて自由に、あなたの思うがままに、選択をすることができます。
31570	56461	邪魔するものは何もありませんよ。思う存分、心地よくなってくださいね。それではまた、仰向けになって寝転んでください。大丈夫ですよ。動いても催眠は解けません。
63903	91763	ありがとうございますではもう一度すーっと深い催眠状態へと入っていきます10から0まで数えるとまたさらに深い深い催眠状態へと入りますいきますよ109
94970	122645	8…7…6…5…4…3…2…1…0…スーッと入っていく…気持ちよさそうですね…そして…
123877	151889	耳のゴミが取れた分、私の声がより一層気持ちよく染み込む。気持ちいいね。幸せだね。それでは今度は、エッチなサービスを始めさせていただきますね。あ、大丈夫ですよ。
153188	176459	あなたはただ寝転がっているだけでいいんです。あなたは今、全裸だったことを思い出しますよね。女の子の前で裸になっちゃって、恥ずかしいですね。
185015	213311	私の声が気持ちよく染み込むそう私の暗示がスーッと入り込むのは当たり前のことです思い出してきますよねさっきあなたが膝枕をしているとき私の股間の
219929	243352	それって、実はすごくエッチなことですよね。布越しとはいえども、あなたの顔の前に女の子の股間があったんですよ。その距離、20センチくらい。
249578	278510	思い出すといやらしい感情がいっぱい湧き出してくるどうしてほしいですかあなたは今深い催眠状態だからよくわからないですか
282957	312117	私の好きなように…サービスさせていただきますねまずは…どうしましょう…ってあーもう…乳首をこんなにあらわにして…って私の指示でしたねでは…まずは…
312472	340633	左の乳首をなめさせていただきますねでも声を出したり動いたりしてはいけませんよあなたは今、催眠状態ドロドロで深い深い気持ちのいい状態今日のあなたは
341260	365830	エッチなのはもちろんなのですが、体の感じ方が少し違うかもしれません。ここはリラクゼーションやリラックスを利にしているお店ですから、激しい行為は行いません。ねっとりと絡みつくように…
382182	411140	その気持ちよさは、気持ちよくもじれったい。なめられているにもかかわらず、寝てしまいそうな、そんな、心地いい快感です。では、失礼しますね。まずは、左の乳首から。
458980	481795	先端がゴリゴリしていますよ。気持ちいいですか?激しい刺激もいいですが、こういう優しい快感もいいものでしょう?
489558	494587	では、今度は右側をなめてあげますね。
523477	547102	気持ちいいですか?ドロドロで深い催眠状態のまま舐められるのは、とても気持ちがいいものでしょう?そして、乳首を舐められると下半身がジンジンしてくる。
559353	586420	私の暗示が綺麗に染み込むもんねほら、下半身がじーんと痺れてくる気持ちいいねそんな下半身を今から舐めてあげるこんな感じでね
607750	637008	こうやって今から舐められるんだよ舐めて欲しいよねほらどんどん舐めて欲しくなってくる舐めて欲しくてたまらないねでもまだダメそう今舐められたせいで
637720	665935	あなたの右耳は敏感になってしまっている。次に舐める時には、脳みその気持ちいい部分を舐められているような、そんな不思議な気分。舐められれば舐められるほど、脳みそが溶けていく。でも、それがたまらなく気持ちよくなりますよ。
725369	751508	耳たぶをこうやって舐めたり…軽く噛んでみたり…そして…耳かきをして綺麗になった耳の穴の中に舌を入れてみたり…
759355	786575	ゾクゾクしますよね?可愛い…すごく…ドローンとした顔をしていますね…それでは…その気持ちよさそうな状態のまま…そろそろ…舐めちゃおうか…
789865	814895	ゆっくり降りていってっと…見つけてしまいましたねあなたの性器が刺激を欲しがっていますよゆっくりとねっとりとじんわりと
817743	843190	いやらしく舐めてあげますね。性的な気持ちよさよりも、もっと深い、優しさや愛情を感じてください。それでは、失礼いたします。まずは、サオの根元の方。
859525	882070	気持ちいいですか?玉の方も舐めてっと玉を口に含んで舌でゴロゴロしてっと
892887	909492	変な感じがしますか?それでは、そろそろこの先茶を舐めていきましょうかね。いただきます。
926468	950633	このじんわりとした快感が…心地いいよね音がするたびにあなたは幸せに包まれるのかな?
957940	985413	でも…行かなくてもいい…行ったら行ったで…満足できるかもしれない…でも…今日のあなた…
987590	1011171	満足感を得られるよねだってあなたはここへ癒されに来たんだもの舐められているにも関わらず
1017323	1043412	私の快楽よりも精神的な快楽が溢れ出すけどそんなぼーっとした状態でもなんだか大きな波がやってくる
1048846	1077192	どこの子ですから当たり前ですよね大きな波っていうのはそう絶頂感だけではありません満足感の
1079153	1106727	大きな波かもしれません私がこれから舐めれば舐めるほどそれは増幅されていくでもまぁ
1109208	1133795	仮にあなたがいけなくても…満足感で満たされたまま…幸せだよね…別に今日で最後ではありませんし…
1140038	1157293	次行ければいいかな?というそんな軽い気持ちでいいんですそれくらいの感覚の方が
1166684	1189182	できやすくなるかもしれませんねほら、どんどんしんと下半身がしびれてきますよなめればなめろ
1195270	1210793	じんじんしていく気持ちよさと幸福感が増大していく
1225679	1241896	ちいなみが…ゆっくりと…そして確実に…
1274819	1302781	吹き出されるよ。それでは、私が次に加えると、すごい、すごい波があなたを襲う。それは絶頂感かもしれないし。
1303591	1325444	幸福感の波かもしれない。けれど、今までとは違った快感が溢れるほどに流れる。行きますよ。知りませんよ。ほーら。
1368070	1395916	残念ながら今日はもうおしまいですどうですか?気持ちよかったですか?幸せそうな顔をしていますねあなたのそのぼーっとして気持ちよさそうな顔大好きですよ
1398293	1418037	あなたの体は今、心と体がとても満たされています。音声を聞く前に仮に存在したかもしれないストレスや疲れ、そういったものは、すーっとなくなっていますよ。
