start	end	text
3392	32004	いらっしゃいませ 紫雲です今日は猫の日にちなんだ猫漢字やっていこうと思います普段人間としていろいろ理性を働かせてストレスの多い生活をしているあなた今日だけは可愛い猫ちゃんになって本能にのみ従う解放感を味わってみましょう
34189	53323	暗示に入る前に、ゆっくりと安全に音声を聞けることを確認してくださいね。できればソファやベッド、お布団など、全身を預けてリラックスできる環境を整えてください。
55404	83256	またこちらの音声には静的に気持ちよくなってもらう部分もありますので誰にも邪魔されないように気をつけて聞いてくださいねそれでは全身の力を抜いて準備していきましょうゆっくり息を吸って吐いて
87030	100075	さあ、もう一度吸って吐いてさあ、じゃあ、ずーっとそのまま続けててね
102475	130631	息をゆっくりと吐くごとに、少しずつ少しずつ体が床に吸い込まれていくように力が抜けていきます。うとうとうっとね、落ちそうになるときの心地よさを感じるかもしれない。そう、そのまま吸って、吐いて、吸って、吐いて、繰り返してね。
140727	156536	そう、力が抜けてくるねゆっくり呼吸してるとリラックスしてきて
158294	181968	だんだん周りの雑音も気にならなくなってきて、私の声がクリアに頭の中に直接響くようになっていく。三つ数えて指を鳴らすと、すっと身の底に沈んでいくような感覚になって、さらにリラックスしていける。
183429	204008	じゃあ数えるよ3210スーッと沈んでいくそう、沈んで沈んで沈んで意識がふわふわーっととろけていく
205408	223076	とっても心地よく温かく柔らかいそうまるで海の底みたいに深く沈んで沈んで沈んでたどり着いた
231577	257787	さあ、じゃあだんだん猫になっていく感じに入れていきますね。今あなたは人間。でもこれから起こして私と話をしているとき、だんだんニャン、ニャンという語尾が自然につくようになってしまう。
258194	278000	もしかしたら自分では気づけないうちにつけるようになって焦るかもしれない。恥ずかしさで抵抗しようとしてもついにゃーん、にゃーんと語尾がついてしまう。不思議に思うかもしれないけど必ずそうなります。
279331	303376	それから、ニャーという語尾をつけて話しているうちに、徐々に徐々に、そう、まるで人間ではないような猫のような思考回路で会話に答えてしまう。そうなぜなら、ニャーと語尾をつけることによって、だんだん猫の思考に頭が侵食されていくから。
303536	326131	例えば好きな食べ物は何ですかと聞かれたら、普段はカレーですなんて答えるかもしれません。人間だからね。でも徐々に猫化したあなたの本能は勝手に、かつお節が好きだにゃーんなどと答えてしまうかもしれない。
329267	356570	さあそれでは起きてみようか私が3つ数えて手を叩くとあなたはすっきりと目を覚ますことができます目を覚ますと暗示のことはよく覚えていないけど必ずその通りになっているいいねじゃあ起きていこうね1つ2つ3つ
358625	377407	おはようお話できそうかな?そういえば、今日って猫の日なんだよね?猫は好き?
380880	408390	んーそっかー私は実は犬派なんだけど最近猫も可愛いなーと思うようになったんだよねニャーニャン鳴いてるのとか見るとつい撫でたくなっちゃうところで昨日の晩御飯何食べたか覚えてますか?
417356	445649	いいねぇ、美味しそうだねぇあ、私はね、焼いたサンマと冷ややっこに鰹節かけてなんでそんなに羨ましそうにしてるの?あ、お魚好きなの?そうでもない?
