start	end	text
3392	32010	いらっしゃいませ、しゅんです今日は猫の日にちなんだ猫漢字やっていこうと思います普段人間として色々理性を働かせてストレスの多い生活をしているあなた今日だけは可愛い猫ちゃんになって本能にのみ従う解放感を味わってみましょう
34189	53440	半時に入る前に、ゆっくりと安全に音声を聞けることを確認してくださいね。できればソファやベッド、お布団など、全身を預けてリラックスできる環境を整えてください。
55404	83266	またこちらの音声には静的に気持ちよくなってもらう部分もありますので誰にも邪魔されないように気をつけて聞いてくださいねそれでは全身の力を抜いて準備していきましょうゆっくり息を吸って吐いて
87030	100081	さあ、もう一度吸って吐いてさあ、じゃあずーっとそのまま続けててね
102472	130665	息をゆっくりと吐くごとに少しずつ少しずつ体が床に吸い込まれていくように力が抜けていきます。うとうとうっと寝落ちそうになるときの心地よさを感じるかもしれない。そうそのまま吸って吐いて吸って吐いて繰り返してね。
140744	162256	そう、力が抜けてくるねーゆっくり呼吸してるとリラックスしてきて だんだん周りの雑音も気にならなくなってきて
164403	181982	私の声がクリアに頭の中に直接響くようになっていく。三つ数えて指を鳴らすと、すーっと身の底に沈んでいくような感覚になって、さらにリラックスしていける。
183442	204008	じゃあ数えるよ3210スーッと沈んでいくそう沈んで沈んで沈んで意識がふわふわととろけていく
205429	228569	とっても心地よく温かく柔らかいそうまるで海の底みたいにそう深く沈んで沈んで沈んで辿り着いたふぅん
231557	256546	さあ、じゃあだんだん猫になっていく感じ 入れていきますね今あなたは人間 でもこれから起こして私と話をしているときだんだんニャン ニャンという語尾が自然につくようになってしまう
258191	278000	もしかしたら自分では気づけないうちにつけるようになって焦るかもしれない。恥ずかしさで抵抗しようとしてもついにゃーんと語尾がついてしまう。不思議に思うかもしれないけど必ずそうなります。
279331	303325	それから、ニャーという語尾をつけて話しているうちに、徐々に徐々に、そう、まるで人間ではないような猫のような思考回路で会話に応えてしまう。そうなぜなら、ニャーと語尾をつけることによって、だんだん猫の思考に頭が侵食されていくから。
303525	326157	例えば好きな食べ物は何ですかと聞かれたら、普段はカレーですなんて答えるかもしれません。人間だからね。でも徐々に猫化したあなたの本能は勝手に、かつお節が好きだにゃーんなどと答えてしまうかもしれない。
329307	356567	さあそれでは起きてみようか私が3つ数えて手を叩くとあなたはすっきりと目を覚ますことができます目を覚ますと暗示のことはよく覚えていないけど必ずその通りになっているいいねじゃあ起きていこうね1つ2つ3つ
358591	377330	おはようお話できそうかな?そういえば、今日って猫の日なんだよね?猫は好き?
380881	408683	んーそっかー私は実は犬派なんだけど最近猫も可愛いなーと思うようになったんだよねニャーニャン鳴いてるのとか見るとつい撫でたくなっちゃうところで昨日の晩御飯何食べたか覚えてますか?
417376	445649	いいね、美味しそうだねあ、私はね、焼いたサンマと冷ややっこに鰹節かけてなんでそんなに羨ましそうにしてるの?あ、お魚好きなの?そうでもない?
448610	470407	でもすごい前のめりにリアクションしてたけどもしかして、猫の日だから猫になりきってる?だってさっきからさ、ゴビにニャンってついちゃってるよ
474096	497859	あれ?無意識だった?可愛いからそのままでいいんじゃないかなと思うけど今日はね?もっともっと猫らしくなっちゃってもいいんじゃない?ほら、にゃーん
503851	525779	とっても可愛いよあ、そうだ顎の下なでなでしてあげようかほらよしよしよしよしそんな気持ちよさそうな顔してそんな声出してほら、よしよしよしよし
529580	539988	可愛すぎてやばいよ顔赤くして可愛いって言われるの嬉しい?
544204	566513	にゃんにゃん言って撫でられて喜んで気づいてる?どんどん猫ちゃんになってるんだよまあそういう風に案じかけたんだけどねさーて
568185	593462	また3つ数えて指を鳴らすと、さっきみたいに深く深くスーッと沈んでいくよ。3、2、1、0。スーッと沈んでいく。沈んでいく、沈んでいく。上手だよ。スーッと引っ張り込まれていく。
596123	620552	そうそれじゃあだんだん猫になってきたの今度は完全に猫になっちゃおう猫は人間の言葉は話せないよねもちろん人間の言葉を聞いてもはっきりと言葉を認識することはできない
621881	650502	でも話しかけられたり、触られたり、それから人間の言葉、あなたは本能でどんなことを言われてるか、どんなことをされてるか感じ取ることができる。猫の鳴き声で呼びかけに答えたり、撫でられたら喜んで甘えたりしちゃうかもしれないね。
653851	679168	さあもう形ごと変えていこうねほら体が小さくなっていくぎゅーっと小さくなっていって耳がぴょこんって生えてきてしっぽもぴょこんって生えてくる体全体がもふもふした毛で覆われて
681038	697660	手足も肉球に見えてくる。そう、もう思考回路ごと、体ごと、声も見た目もすべてが完全に猫として生まれ変わる。
700344	725272	さあじゃあ猫として起きていこうね 3つ数えて手を鳴らしたら起きれるからね1つ2つ3つおはよう話せるかな?
727913	743456	うん、おはようございますって言える?言えてないよ?にゃんにゃんってなっちゃうね
746624	771223	いいねー完全に猫になれたねかわいいおいで膝の上で抱っこしてあげるかわいいね背中なでなでしてあげるね
774898	800440	ゴロゴロにゃんにゃん言って可愛いねどうした?お腹空いた?チュールあげようか?食べる?返事できて偉いねにゃんにゃん可愛いね
801693	826778	なでなでなでなではい、チュールだよどうぞ嬉しいね、おいしいねいい子いい子
830018	851459	たくさん食べて偉いね生きてるだけで偉いのにさらに可愛いなんてもう反則だよね可愛いなぁよしよし
853912	879286	あら、もうチュールなくなっちゃった。美味しかった?そっかそっか、よかったね。また食べさせてあげるからね。もう満足してお腹いっぱいになったんだね。お目目トローンとしてきたね。
881762	904148	なでなでしてってあげるからねねしていいよなでなでなでなで美味しそうに食べるとことっても可愛かったよよーしよーし
912117	937623	あら、今日はずいぶん甘えん坊さんだねあれ、なんかお尻ソーソーしてる?まだ食べ足りなかった?違うのかな?そんなソーソーしてどうしたのかな?
942556	970133	私の手そんなぎゅーってしてどうしたの?もっとなでなで欲しいの?なでなでなでなでお腹もこちょこちょこちょこちょーってしてあげるねすっかり野生忘れちゃったね可愛いねあごの下もおしおしおしおし
974708	998847	気持ちいいねー体ピクピクしちゃってるよどうした?そっか、わかった。気持ちよく撫で撫でされてるうちに発情しちゃったんでしょ
1002550	1019087	じゃあ、もっと撫で撫でして気持ちよくしてあげなきゃね?ほら、左手でほっぺ撫で撫でしながら右手で背中撫で撫でして、ほら、おしゃおしゃおしゃおしゃ
1021849	1040580	背中の真ん中からお尻の方に向かってスーッて撫でていくほらスーッてでここわかる?尻尾の付け根猫の生還体って言われてるの知ってるよね
1043316	1066575	神経が集中してるから気持ちよくなっちゃうんだよね 尻尾の付け根を優しくトントン トントンお尻ビクビクってなってくるねこのまま続けてたら行っちゃうかな
1070635	1095696	いいんだよ、気持ちよくなってあらー、トントン、トントン、トントンあらー、トントンしながら顎の下、さわさわさわさわさわたくさん鳴き声出ちゃうねーあらー、尻尾の付け根もスリスリスリスリーって
1097907	1119632	少しずつ少しずつ速く激しくなっていくよたくさん鳴き声だって可愛いね 気持ちいいね体ブルブルってなってくるね お腹の底からゾワゾワゾワゾワって上がってきて気持ちいいのが
1120432	1130354	ぎゅーって上がってきて、そろそろかな?ほら、さあ行っちゃえほら、トントントントントン
1150730	1172192	可愛い声言っちゃうとそんな可愛い声出るんだとっても可愛いよ疲れちゃったねなでなでなでなでいい子いい子
1176352	1204571	いつも可愛いけど今日はとびっきり可愛かった頑張って偉いね気持ちよくなれて偉いねなでなでなでなでなで頑張れたからちょっと休憩しようね
1206465	1231913	おでことおみけの間こうやって指でなでなでってしたら眠くなってくるねあくびも出ちゃうかもね眠そうなお子も可愛いね背中なでなでしててあげるね
1238131	1260947	うん、気持ちよさそう寝ちゃっていいんだよ今、気持ちよーく行ったところだからそのまますごーく気持ちよーく寝れるよ寝落ちちゃうね
1275236	1298625	すやすやしてる息も可愛いねずっと背中なでなでしててあげるからね心地いいねなーでなーでなーでなーで
1321985	1345477	さあそろそろ起きようかおはよおはよん?寝顔めっちゃ可愛かったあ、よしよしよしよし
1349542	1371268	どうしたの?そんな擦り寄ってきてもっと撫でて欲しいのかな?ほら、おしゃおしゃおしゃおしゃへそてん可愛すぎるお腹もっとやってあげるね、ほらおしゃおしゃおしゃおしゃ
1374398	1401213	あ、ちょっと急に動いたら危ないでしょ?あ、ちょっと、ちょっと待って机の上に乗ったら、ほら、飲み物こぼれちゃうってあー、もうダメでしょ?とりあえず火傷とかはしてないかな?
1404000	1428472	大丈夫、大丈夫。よかった。でもダメだよ?ねえ、その顔さ、今分かっててカップ蹴ったでしょ?頑張ってほしいからって、いたずらはダメっていつも言ってるでしょ?
1431648	1451980	ねえ、言ってるよね?わかってるなら、お仕置きだね。抵抗しても無駄だよ。ほら、四本足全部ギュって捕まえて、暴れても逃げられないようにしてあげようね。
1454598	1483810	もう諦めてそうだなそれじゃあ泣いたら勝手に気持ちよくなっちゃうって暗示かけておこうかなほら顔をギュって持ってほら目線真正面で合わせて私の目しっかり見てもう泣くの止まんなくなるよにゃーにゃー言ってるだけで気持ちよくもなってくる
1485192	1501653	で、泣くのやめられない。いいね?気持ちいいし、泣くのやめられないし、っていうループに入る。そう、にゃーにゃーにゃーにゃー言っちゃうんだよ。
1502372	1527738	狂いそうだねまあおかしくなるまでずっと泣き続けて快感でいっぱいになってまあせいぜい頑張って反省しなさい体ガクガクしてる
1538955	1563203	まあ知らないけどいい子にしてたらもっと優しく気持ちよくさせてあげたかもしれないのにほんとわかんない子だなほーらもっと本気で泣いて止まんないねどんどん気持ちよくなっていくね
1565899	1588893	もう行きそうじゃんダメだよお仕置きにならないでしょほら行かせない行きそうなところでグッと止まる快感溜まり続けるよほら不思議だねいつも暗示やっかりやってるから言われてもわけわかんないのにその通りになっちゃうね
1593853	1615178	泣き声もちょっとずつ濁点ついてきていい感じになってきたね。本気で反省してる?よしよし、なーでなーで。
1620882	1640776	お仕置きこれで終わると思った?そんなわけないでしょまだまだ泣き続けて泣くごとに気持ちよくなって泣けば泣くほど快感が増えて溜まり続ける溜まり続ける溜まり続ける苦しくてもそうずーっと溜まり続ける
1645420	1656344	まあずっと見ててもいいんだけどまあこれ私ちょっとつまんなくなっちゃうからほらいいけ
1659555	1677527	ほら、行っていいよ行っていいよ行っていいよあ、そっか行けないようにしちゃったんだ行けないね行きたいのに行けない行きそうなのに行けないねほら、行けない行けない行けないこれしっかり入った状態で
1678147	1698382	行け行け行け行け行けほら行っていいよ行っちゃえ行っちゃえ行っちゃダメ行っちゃえ行っちゃえ行っちゃダメ行っちゃえ行っちゃえ行け行けダメ行っちゃダメダメダメダメダメ行け行け
1700167	1727295	さあいっぱい溜め込んだね可愛い声出ちゃうねさあ溜め込んだの今止めてたの暗示解除するよほら3、2、1、0解除あーひどい痙攣めっちゃ言ってるじゃん
1728310	1749399	あほら休まないで泣き続けて泣き続けて泣き続けてそう生き続けるね泣いたら行くんだよね壊れちゃう壊れちゃう壊れちゃう生きすぎて狂っちゃうねそうだよ忘れちゃダメだよ狂いながら反省するのもうこんなお仕置きされないように
1752975	1779389	反省してるかな、ほんとに。ずいぶん気持ちよさそうにあへってるけど。もしかして、これお仕置きが目的でいたずらしてる?だとしたらさ、これお仕置きになんないじゃん。ご褒美になっちゃってるじゃん。
1780425	1799666	まあまあ私は面白いからいいけどまあご褒美だったらまだまだいけるよねほら声小さくなってるよもっともっともっとほらにゃーにゃーにゃー泣いて泣いて泣いて泣き続けて
1800607	1829022	泣き続けて泣き続けて気持ちいい気持ちいい気持ちいい気持ちいい気持ちいい気持ちいいずーっと気持ちいいの上がってくるあーあー息疲れちゃったかさすがにもう怒りた?
1834231	1861337	まあ懲りてなかったらまた体に叩き込んで教えるだけだけどまあ今日は許してあげるよほらおいでなでなでよしよしいいかいいかとりあえずゆっくり寝よう
1864566	1878620	来たらまた可愛がってあげるからなでなでなでなでなでなでなでなでなでなで
1880980	1909900	さあ、それじゃあまた、すーっと深い海の底に沈んでいく。呼吸も穏やかになって、3つ数えるとさらに深く沈んでいくよ。3、2、1、すーっと沈んでいく。どんどん沈んでいく。すーっと深く深く沈んでいく。
