start	end	text
757	19853	まずは仰向けに横になってね 目はまだ閉じなくていいよそうそう そんな感じでオッケー楽な姿勢で聞いてね 今目を開けてるからいつもの天井は見えてるよね
23553	27216	どこか目印になるものってない?
27216	47274	穴とかシミとか火災放置機とか どこか他の天井と違っている部分あるよねそこをね 私がいいって言うまでずーっと見続けるの
48981	76648	目が乾燥して瞬きが増えちゃうかもしれないけど、我慢我慢。目以外はとっても楽な姿勢なんだから、これくらいは頑張ろうね。ほら、じーっと見るんだよ。見続けるんだよ。私の顔じゃなくて、天井の一点をだよ。
79812	105160	目はそのままで聞いてねなんだか天井しか見えないのに私の声に耳を傾けるのってちょっと不思議だよね不思議って言えば催眠状態とか一口に言うけど結構不思議な状態だよねよく催眠術で
106653	134075	手が重いとても重いと言われるだけで本当にずっしりと重く感じてしまったり酸っぱいものが口の中に入ってぎゅーっと酸っぱい味が広がると言われると唾液が出ちゃうしなんだか酸っぱい匂いまで感じてしまうっていうベタなのがあるでしょ
136923	155328	そういう現象は、いつもなら全く感じない、手の重さを妙に意識してしまうことだったり、記憶と想像が作り出した味をリアルに再体験しているだけなんだけど。
157045	180922	普段意識しないことを、あえて意識するだけで、妙に意識が引っ張られて過剰に感じ取れるのは不思議だよね。でもこれはまだ現実感あるけどさ、それは現実にないものだって意識すると…。
183017	205865	例えば、空飛ぶピンク色のマンボウのことを絶対に想像しないでって言われると、そんな生物いないけど、ぼやけた瞳の中や頭の中で、ありえない生き物が生き生きと生み出されてしまったりね。
209758	238493	想像可能なもの出来事だったら大抵実感できちゃうのが人間の脳なのかもしれないねこれからあんたに起こる現象は想像可能だけどまずリアルではありえないこと即売会で来場者に催眠DVDを売りながら
240073	268854	私にこっそり意地悪されて、生かされちゃうの。でも、ピンクのマンボウが空を飛ぶよりは、現実感もあるし、想像もしやすいでしょ?ま、ごたくはこの辺にして、がっつりと催眠の世界へ誘導していきますか。
273300	297933	目は開いてるよね。よろしい。結構疲れてピクピクしているところとか、催眠ばっちりしかかりやすい身体条件の一つだよ。疲れている目には悪いんだけど、そのまま目以外をリラックスしていこうか。
300480	328743	これから私がカウントでリードしていくから、それに合わせて両方の肩を耳にくっつけるようにグーッと上げるの。上げながらお腹いっぱいに空気を吸って、肩を下げながら息をスーッと吐いていく。
330925	352712	これをするととってもリラックスできるよはいぐーっと5ぎゅーっと4あげて3たくさんの空気に取り込むんだよ10
354312	383739	息を止めて、軽く肩に力を入れながら、その姿勢を維持して、3、2、1、0、スーッと吐きながら、肩も自然に降りていくよ。力が抜け切るかのように、体中がリラックスしていく。ポキポキって音しなかった?
385897	410083	普段使わない筋肉だからここを動かすとねすごく爽快感があって気持ちがいいんだよね肩がポカポカ温かく感じたり力を使い切って腕が少し重いような不思議な感覚
414154	435687	はい、もう一度5、ぐーっと上げて3、2、1、0吸うのをやめる肩にぐーっと力を入れて3、2、1
436465	462815	ゼロ。スーッと下ろして、フーッと全部吐き出していく。どう?体はとってもリラックスしてきてるよね。でもでも、気になって仕方ないところがある。そこが不満で。
464103	493328	いまいちリラックスしきれないさっきから体はいいけど目がつらいよなんとかしてよってそう思ってるよね彼女だからそれくらいはお見通しで当たり前だけどうんだから次に同じ動作をするときにはね
494920	524477	肩と同じように、瞼もスーッと下ろしていいよ。とってもとっても疲れてしまったね。そこだけ体のリラックスの対極にあるけど、そこも私のリードでとっても楽になるの。そうすると、唯一の不満も消えるから、
525030	533597	今までより素直に深いリラックスを感じ取れるんだよほら行くよ
536007	563511	5、4、3、2、1、0ぐんぐんって溜まりきったら肩と腕に力を入れて体中が楽になる瞬間が3、2、1、0すーっとやってくる疲れ切っていた目は
565015	588935	一気に体中のリラックスに混ざり合うかのように楽になっていくあんなに辛くて疲れていた目も一瞬でとっても穏やかになっているどう?唯一リラックスを妨げていた目の疲れも消えていったから
590858	615507	体中が隅々まで幸せな心地よさに包まれていくでしょう一つだけあった障害が消えたからこれで深い催眠へとっても簡単に降りていけるようになったよ体がとっても楽になると
617462	641887	心もそれにつられて自然に楽になっていくけどより明確に強く素早く最大限の心地よさを手に入れるために深呼吸を3回だけしようね深呼吸は人以外の動物にはできない
643285	672645	人のみが意識的に簡単にリラックスできる優れた呼吸なんだよ深く吸って深く吐き出すそんな呼吸を続けるだけで心が落ち着き心地よくなるのすると心も体につられてリラックスできて
674504	694138	体が心地よくなると、心もそれに引っ張られていく。だから、散会する間に、心と体はお互い、より心地いい方に連鎖するように引っ張り合っていくの。
696032	723718	そう言われるとそうなっていく状態を自然と意識してしまうのは当たり前のことだよね始めるよ吸ってお腹が膨らむようにリラックスがぶわーっと膨らんでいき吐いて
727938	755903	残っていた疲れや悩みは、すーっと消えていく。吸ってー。私の言葉も隅々に染み渡るの。吐いてー。へこむお腹のように、ふーっと意識が落ちていくよう。
759012	782829	最後吸ってこれから起こる期待が膨らんでいく吐いてへこんだお腹のように体もがくりと落ち込んでいく吐ききると
784478	813593	楽な呼吸に落ち着いていきゆったりとした時間の流れが実感できていく心も体もお互い巻き込むように心地いいリラックスへふわりと降りてまっさらな催眠状態への入り口へ来ているのを実感できるこれから
814647	840680	同人即売会で売り子ができる可愛い格好にしていくよ催眠状態だから服装だって自由に変わっていくし顔も体つきも男らしさが消えていって最高に可愛いコスプレ女装男子になっていくの
845308	871875	そう、ちょうど私好みの可愛い男の子にスーッと変化していくコスプレはいつもの自分とは全く違う自分に乗り切ることができるから催眠ととっても相性がいいんだよ特に魔法少女だから
873325	900336	昔見たアニメの変身シーンみたいに自分の姿が変わっていくのを手に取るように感じ取れるよまさに今の私たちに与えられたかのような条件だね今もし手を握っているならスーッと手を開いて
902180	929729	そう両方の手を開いていくの手と指から始めるよ女の子らしさは手や指に出るのそれだけで性別が見分けられるほどね意識してしっかりと伸ばされた指はいつもよりもとても華奢で繊細な指
931870	958113	その先端にある爪その爪にネイルが施されていくまずは右手の指全部5ジェルがスーッと塗られていき3爪は薄いピンク色の光沢に確実に変わっていく0
965511	989169	かわいい次は左手の指すべて5爪にジェルがスーッと塗られ3元からあった光沢は2色っぽい1ピンクに変化していく0うんうんいいよいいよ最高に女の子みたいな手になった
992442	1017371	女の子はよく他人の手を見るからここはとっても重要なんだよ肘や肩は肉の付き方や骨格が違うから可愛い服を着て男らしさを消していくよ魔法少女の可愛い服
1019915	1034415	私があんたのために考えたものだからとっても気に入ると思うよ手首まで伸びた袖の入り口は細かいレースに彩られて
1036118	1059402	女の子みたいな手をより自然に際立たせて肘を通って肩まで男らしさを覆い尽くしながら売り子にふさわしいコスに魔法少女に変身するの覚えてるよねさっき見せた魔法少女のコス
1061818	1091212	胸は体に合わせて控えめだけどそれを感じさせないように装飾が施されているくびれを作るようにお腹を引き締めてお尻にかけて緩やかになって女の子らしい体型を服が自然に作っていくうん、いいねそして
1092926	1115439	男では絶対に履かないスカート。フリフリしたデザインでとっても可愛いのだけど、コスプレ用だから、股下が3センチしかない。絶対にパンツが見えちゃう。街では絶対に履けなそうなもの。
1117805	1146753	そんな衣装に包まれつつあることを実感できる10魔法少女のコスプレに9アニメの光に包まれる変身シーンのようになんだわっていく6売り子らしい格好に5イベントでしかできない姿に4男らしさを覆い尽くし3魔法少女の格好が1イメージできていく0
1152375	1173661	いいね。予想通り、超似合ってるよ、その格好。ほら、残りの足とかを足から変身していくよ。とっても短いスカートだから、長めの黒いタイツを右足から…。
1178404	1197524	するするとぴったりと貼り付き 男らしさが色褪せていくスカートとタイツの間5センチの絶対領域を残して包まれていく左足も
1200595	1230012	柔らかくも女の子らしい曲線をタイツが作り出してスカートとの間に魅力的な空間を作っていくゼロ次は顔服で隠せないから華やかなパーティーメイクで魔法少女らしくメイクアップされていくよ
1233876	1263315	ベースメイクで、どうしても顔にあるシミや凹凸を消していくよ。3、スーッと光に包まれるようにシミが消えていき、0、ほら、これで顔の下地は出来上がった。そこに、パーティーらしくラメの入ったファンデーションを重ねていき、
1264990	1291882	3.スーッと変身するかのように1.キラキラとした肌になっていく0.そして赤いチークで頬を染め上げて3.グーッと性的な魅力を上げていく0.うんうんいいね
1294646	1320007	唇言われると意識が向くその下唇を3明るいピンク色に染め上げられていく0そして上唇も同じ色の唇が3スーッと塗られていく0
1323226	1352230	イベントらしく唇の上にグロスリップを重ねていくよ3キラキラと2とっても光沢のある唇に変化する0可愛い顔の最後は目元目元ほど女らしさを強調するものはないんだよね
1354863	1378247	5 閉じた目の下に涙袋が作られて3 マスカラで下まつげが強調されて2 上のまつげがピンとはっきりとしていく0ここまで来たら外見は最後頭だね
1380368	1405810	魔法少女のコスだから派手めに、ピンクが混ざったアッシュグレーのウィッグにしていこうか。非現実的なピンクとシルバーのロングヘア、頭頂部を意識して。5、スーッとそんなウィッグがかぶさっていく。
1407162	1428437	歩いたりそよ風で舞い上がり流れて女を強調する長い髪ゼロ予想通りとっても女の子らしく変身できたね可愛いよそして
1431013	1454577	最後に女の子にしなくちゃいけないところがもう一つだけあるのパンツがまだ男物だからここも女の子のパンツに履き替えようね女の子のちょっとエッチなパンツ
