start	end	text
11287	39618	さてと会場までしばらくかかるしまずはリラックスしようよあーまだ緊張してる可愛いねでもお話ししようにも今の状態じゃ何も頭に入ってこなさそうだねじゃあほら瞼を閉じて声に耳を傾けて
41695	67177	目を閉じると声に意識が集中するでしょ?そして、いつもより想像力も働くようになる。そうだよ。頭の中で声をなぞるように。ただ追いかけることだけは意識して。君は今、私たちと車に乗っている。
68493	94189	車に乗っているときあまり普段は意識していないけど目を閉じていると小さな振動が体に伝わってくるのがわかるよねそれは座席に沈み込んだ背中からかもしれないし頭からかもしれないその振動に身を任せていると
95645	122543	次第に自分の体が揺れていることも 意識してくるよね目を閉じると心が落ち着くから そんな小さな変化にも自然に気が付くようになるのトランスに入るときも同じ 入ろうと意識するよりもリラックスしていた方が自然に入るでしょ
128146	152564	実際にほら、落ち着いたらさっきまでよりもさらに深く座席に体が沈み込んでる。深くもたれかかったから車の振動がより体に伝わってさらにゆらゆら。体が揺れると頭も揺れる。そして頭が揺れたら意識もスーッと落ちてくる。
153880	183513	小さな揺れを感じるたびに緊張がほぐれてリラックス頭がぼーっとして気持ちよくなってくる体に伝わる振動だけじゃない車の窓から入ってくる日の光もさ太ももに光が当たってじんわり暖かくなってくるねまぶたはもうすっかり重くなってくる
184745	213187	開けられないでもいいよね温かさに包まれてぼんやりと意識が霞んでいく方が気持ちいいからまたスーッと意識が一段深くへ沈む最初は私たちが何を言っているかしっかり理解できていたはずなのに今はまるで子守唄のように
214360	235377	だんだんとよくわからなくなってくるねえそういえばライブが始まるとさ曲が流れた途端みんながいきなり総立ちになってグググーって引き込まれるように音楽に没頭しちゃうよね
236197	265231	空気に飲まれるっていうのかなメロディーや歌声が頭にねじ込まれてどんどんそれでいっぱいになる感じまるで音楽と一体化しているようなそんなトリップ感で頭が真っ白になる瞬間ってあるよね最後の方なんて周りが見えなくなるほど夢中になっちゃう人もいるらしいよ
268681	282728	だから時間が過ぎるのなんてあっという間終わったら防線だけどとっても気持ちよくて幸せな感覚に浸っている
284780	302982	そうそう一体感といってもさ結構みんな思い思いの行動をしてるよね頭を空っぽにして踊る人もいればお気に入りの人をずっと目で追い続ける人もいるし
303242	330919	曲とパフォーマンスに見入って固まっちゃう人もいて余計な力を抜いてリラックスしながら音楽と歌を肌で感じている人もいる君がどのタイプかはわからないけどそのどれもがトランスに入っているということはわかるよねそう難しいことじゃない
333143	358304	リラックスといっても無になる必要はないの夢中にはなっているだろうけどねねえいつの間にかもう緊張感なくなってるでしょそれどころかベッドで眠るときくらい痴漢しちゃって
360363	387789	このままふっと眠りに落ちたように感じても君は自分が車に乗っていることは理解しているそして私たちの存在も肌で感じることができるよねだけど君にとってそれはまるで別世界の出来事のように感じている
389000	416380	現実と君の間に布一枚ほどの隔たりがあるような不思議な感じそうそれがトランスに入った証拠このままもっと深いところまで落としてあげる静かな車の揺れ暖かい日の光ソファーに沈み込む
419232	441380	意識すればするほど力が抜けて、重力に引っ張られるように。重く感じれば感じるほど、体から力が抜けて、さらに心地よくなる。これから私たちが、銃からカウントダウンしてあげる。
442814	467878	数字が小さくなるたびに意識の深い場所へと落ちていくのそう今よりももっと気持ちのいい場所へ10柔らかな座席に重くなった体が深く沈む9
469587	496644	まるでエレベーターが降りていく時のようなふわっとした感覚8数字が減るたびにずーんと深く落下落ちる速度がどんどん加速する7意識がふっと消え頭が真っ白になるその瞬間がとても気持ちいい6
498612	524851	一度でも意識が飛ぶ感覚を感じたらそれが合図何度も何度も深く落ちる5.そう落ちるずーんと深くなる再現なく落ちて意識が消える4.落ちるスピードはますます加速頭がどんどん真っ白になる
