start	end	text
4310	31756	気持ちよくて、すっかりほうけてしまったようですね。今のあなたは馬鹿死骸がありそうです。私の尻尾、見てください。太くて、ふわふわしていて、柔らかそうですよね。
35070	60427	この尻尾に触れて包まれたらとても気持ちよさそうキュービにはまだ二本ほど足りませんがこの七つの尻尾に包まれてみたいと感じませんか?
67281	90378	ゆらゆらと誘うように揺れる柔らかそうな尻尾温かそうな尻尾気持ちよさそうなこの尻尾であなたの手足と体とその頭をすっぽりと
95936	124315	包み込んでしまうわけです思い浮かべるだけで気持ちいいですよねでは包み込んで差し上げましょうまずは一本のしっぽがゆっくりとあなたの頬に近づく
130723	156445	金色のフサフサした毛並み。手を差し込めば、どこまでも埋まっていきそうなくらい、ふわふわ、柔らかな尻尾。柔らかい幸せに包まれたいですよね。
161129	189072	ふわふわの尻尾がゆっくりと頬に近づく10センチ5センチそのまま近づいてあなたの頬を優しく撫でる直前でポンと消える
195352	223933	期待しちゃってました。キツネにつままれた顔ってこんな顔なのでしょうか。悪くない顔ですね。あなたのような素直な人は本当に騙しがいがあります。さあ、今度はちゃんと本物の尻尾ですよ。
226727	252370	暖かそうなふわふわの尻尾が、あなたの方にゆっくり近づく。さっきよりもとても柔らかそうで、きめ細かくて、しなやかで、艶やかに光る。さっきよりもはっきりと目に映る。
255280	280190	まあ、この尻尾は本物ですから、さっきよりもはっきりと、美しく見えるのは当然ですよね。温かな空気の流れも感じる。10センチ。5センチ。ゆ。
282066	308025	ゆっくり頬に近づいてあなたの頬をふわりと撫でる頬が柔らかな毛並みに包み込まれてそのまま優しく撫で上げるなんと心地のいいことか
310146	337640	頬を撫でられただけなのに、うっとりとさせられてしまう。頭の中がとろけてしまう。気持ちよくてたまらない。ふわり、ふわりと、何度も撫で上げる。心が歯間していく。
340214	367748	高骨とした気持ちよさたまらなく気持ちがいいふわりと撫でるたびに意識がとろけて気持ちがいい頬を柔らかく撫で上げるまるで頭の中の意識そのものを撫で上げられているかのように
