start	end	text
4495	28940	たった二本の尻尾でもうすっかり私に夢中になってしまいましたねそう、たった二本の尻尾で頬を包み込んだだけところで質問なのですが
31012	58216	二本の尻尾でこれほどの快楽ならば、七本全てであなたを丸ごと包み込んだなら、どれほどの快楽だと思いますか?それは、足し算のように単純に加算されるのか、あるいは掛け算のよう。
59545	83421	快感が何倍にも膨らんでしまうのかあなたの体と心を溶かし快楽づけにして究極の快楽極楽の世界へとふわふわと運んでしまう
88229	114950	人との交わりでは到底味わえない快楽を、堪能することになるんですよ。身体と心がとろける極上の快楽を、どうぞ存分にご堪能ください。四本の尻尾が大きく広がり、
117214	146135	手足を柔らかく温かく包み込んでいく。両手両足がふわふわの尻尾の中に埋まっていく。包み込まれていく。温かな快感に包み込まれる。狐の強い揚力が流れ込み、力が一気に抜けて溶け出していく。
148540	176927	快感が一気に流れ込んでくるトロトロにとろけていく輪郭が消えてトロトロにとろけて甘美な快楽がこみ上げてくる甲骨とした快感に飲み込まれていく全身が濃厚な快感の塊そのものになったかのように体中でトロトロの快感があふれ出す
179377	204674	左右の方と手足を包み込まれて溶かされて、もう気持ちよくてたまらないみたいですね。それでは、最後の尻尾であなたの頭を包み込んでしまいましょうね。
208447	234779	あなたの脳をさらに気持ちよく溶かして差し上げます。この尻尾は、私が700年前に生まれた時に母親から授かった最初の尻尾。長い時間かけて揚力を注ぎ続けた分、ひときわ強い揚力を放つ第一の尻尾。
236678	263163	この尻尾で頭の奥の一番敏感な生還体をぐちゅぐちゅに溶かして差し上げますね。ほーら、頭の上で金色の尻尾がゆらゆらとしなやかに踊るように揺れる。これだけで意識が朦朧としていく。
265183	294757	意識が尻尾の葉略に強く引き付けられて意識がとろけていく頭の奥からゾクゾクとした快感が広がり始めるゾクリゾクゾクと快感が生まれ出す柔らかく揺れる尻尾に意識がどんどん引き付けられていく
298309	327440	金色の灯火のように優雅に揺らめいて、生めかしく揺れるその姿に魅了される。意識が強く、強くとろけていく。尻尾が近づくと、その快感はますます強くなる。今からこの尻尾で、
328977	349816	頭をすっぽり包み込んであげますね。ふわふわの毛並みが舞い降りて、ふんわりと頭を包み込む。黄骨とした快感に、とろけて消えてしまってください。
355073	377311	意識がふわーっと消えていく大きな快感の塊に飲み込まれていくゾクゾクとした快感にトロトロの快楽に飲み込まれて消えていく頭の中が強い快感にとろけていく何も考えられない
379411	396547	頭の中が強く溶かされていく快感に溶けていく意識が快楽に飲み込まれていくゾクゾクとした快感が膨らんでいく制御できない抵抗すらできない
398003	426262	大きな快感に飲み込まれていくゾクゾクがどんどん大きく膨らんでいくトロトロにとろけた頭の奥からゾクゾクとした快感が溢れて止まらない頭をすっぽりと包み込んだ尻尾から快感が流し込まれる意識がとろけていくゾクゾクととろけていくとろけていくのは気持ちいいですね
428791	454729	いっぱい気持ちよくなってこの快感を忘れられないようにしっかり快楽づけにしちゃいましょうね大丈夫ちゃんと灰燼になる一歩手前で止めてあげますから稲荷寿司の約束破ったりしないように
455975	482470	極上の快楽でしっかりとしつけてあげますからね抵抗なんてできませんよ弱い百もいかぬ人間のわずかな揚力などでは到底逆らえぬ途方もないほどの大きな大きな快楽に包み込まれて
486625	509979	トロトロに溶かされていく手足の輪郭は消えて意識の輪郭もトロトロに消えてゾクゾクとした快感に飲み込まれて気持ちいいことだけしか考えられない気持ちいいことに夢中になってしまう
516347	537991	とても素敵なことですよねとろーりぞくりぞくぞくと外観に飲み込まれて包み込まれてとっても気持ちいい
541792	569707	ふわふわに包み込まれて全身が快楽そのものに変化していくそれじゃそろそろ仕上げに入りますね今からあなたを完全な快楽づけにしてしまうんですあなたの意識を快楽の際
572200	599300	極楽へと連れ去ってしまう乱な妖術私の尻尾から伸びた毛先をあなたの脳の中に差し込んでそこから快楽をドクンドクンと流し込んであなたの脳を内側から直接
600520	626642	気持ちよく溶かしていくんです怖いですよね外側から快楽を送り込まれるだけでこんなにとろけてゾクゾクして気持ちいいのに脳の内側に直接快楽を注ぎ込まれたらどれほどの快楽なの
632700	658491	しちゃいますね期待しちゃいますねほーらお耳から実体のない毛先がスルスルっと入ってくるそう実体はないので
666988	687318	脳の中にある快楽をつかさどる神経を正確に捉えて直接快楽を流し込むんです頭の裏側後頭部の少し下あたり
690332	718545	ゾクゾクとした快感を感じ取るその神経に快感を流し込むための毛先がスッと差し込まれるゾクゾクと強い快感が湧き起こる今までよりも強くはっきりとした快感が溢れ出る意識がふわりと投げ出されたような浮遊感を感じる
725044	750480	繋がっちゃいましたよもう気持ちよくなっちゃいましたでもまだ快感注いでないんですよ言うなればまだ敏感な性感帯に指を添えただけ
754083	780760	触れた指先から刺激を送り込んで気持ちよくなるのはこれからなんですよ気持ちいい刺激を脳がとろける極上の快楽を送り込んでいきますね3つ数えて合図をしたら
783749	808535	グチュグチュと頭の奥を侵されるような音とともにゾクゾクとした快感が流し込まれます心の準備してください極上の快楽に脳を溶かされる
821555	828537	脳の奥の静観体に2.
828537	836380	ゾクゾクトロトロの強い快楽が1.
836380	842802	脳を溶かす強力な快感が来る 流し込まれる
847377	873813	ゼロゾクゾクとした快感が押し寄せる脳の奥に快感を直接注ぎ込まれるクチクチと敏感な神経を直接殴られて大きな快感に意識が飲み込まれていく強い快楽に頭の奥が溶かされていく意識が内側から溶かされていくああ、すごいですね
876490	900758	だらしないお顔、素敵ですよ。理性や人格がどんどん溶けてなくなっていってしまう。人としての大切な尊厳が圧倒的な快楽に溶かされて、何もできない。ただひたすらに快感に溶かされるだけ。
902147	929644	快感を注ぎ込まれ極楽の境地へと達していくその顔すごく素敵ですよさあこのまま快楽の果て絶頂へと達してしまいましょう至福の快楽に身も心も溶かされて
931746	957812	私の与える快楽に依存して私の快楽なしでは生きられないように堕落してしまいましょうね今から十数を数えると快感は一際大きな膨らみを見せて弾け飛びます
960390	988036	あなたは、快感の絶頂を迎えて果てるんです。ほーれ、行きますよ。じゅう、ぞくりと快感がさらに強くなる。絶頂へと近づいていくのですから、当然ですよね。
990572	1017247	9くじくじの脳の奥の敏感な生還体にむき出しの神経に直接快感が注ぎ込まれる8快感がどんどん強くなる濃厚な快感に頭の中がどんどん溶かされていく7
1019485	1046023	細くしなやかな毛先が脳の奥の生還体に絡みついてまとわりついてくちくちと攻め立てるゾクゾクとした快感が注ぎ込まれる6ふわふわの尻尾で包み込まれて全身柔らかくトロトロに溶けていく
1050435	1075341	五 頬と頭を三本の柔らかな尻尾で包み込まれて 続々ふわふわに溶かされて四 七百年生きた狐の強い揚力に 強い快感に ただただ溶かされて 全身骨抜きにされている
1084704	1103194	耳から差し込まれた実体のない毛先が快感の管となり脳の奥に快感を注ぎ続ける脳、意識は内側から溶かされていくゾクゾクとした強い快感に意識が溶かされる
1105764	1133560	2 トロトロに溶かされてゾクゾクとした快感が詰まった意識が弾ける行く 果てる 強い快楽に溶けて飲み込まれる弾けるために快感が膨らんでいく意識がどんどん膨らんでいく快感と共に意識が大きく膨らんでいく1 果てる 弾ける 行く気持ちよく飛んでしまいましょうね
1134420	1150894	ゾクゾクとした快感が膨らむ押し寄せる来る行く快感が弾ける弾け飛ぶゼロほーら行きなさい快感が一気に膨張する弾け飛ぶああ行く
