start	end	text
560	30309	意識も理性もとろけて、輪郭も消えて、ふわふわと漂うのが気持ちいい。私の尻尾に抱かれて、包み込まれて、極楽の世界を気持ちよく漂う。これだけ気持ちよくしてあげたんですから、大丈夫だと思いますけど。
31515	57213	念には念を入れておきましょうかあなたが約束を破らないようにあなたが私に依存してしまうように気持ちよくしてあげるんですよ今のあなたは全身トロトロにとろけて快楽すぎる
62194	91291	脳の奥を少しいじるだけで、すぐにゾクゾクとした快感がまた押し寄せてくる。一度絶頂を経験した脳は、ひどく敏感になってしまうんですよ。だから、脳の内側からこうして口々いじって、
92512	119122	気持ちよくしながら、耳からも快感を注ぎ込むことで、さらに気持ちよくなるんですよ。頭の奥に注がれる快感と、耳から注がれる快感が、頭の中で衝突して混ざり合うんです。
121243	145300	先ほどよりも大きな快楽にとろけて果ててしまってくださいね耳にねっとりと舌が絡みついて耳からゾクゾクとした快感が流れ込む
152395	179606	全身トロトロになってるから耳もいつもより敏感でだから余計に気持ちがいい舌が耳にまとわりたい
201193	230307	飲み込まれていく耳から頭の中に快楽いっぱい注いでますよ耳の穴を通って頭の中に快感が押し寄せ
235133	263922	ゾクゾクが止まらない胸の中で敏感な性感でむき出しの神経に直接快感を注がれて内側から気持ちよく
301773	302907	リズムしたくない
358490	385143	どんどん送って溶かしてあげますね内側からも直接快感流し込んで溶かしていきますよゾクゾクが頭の中で立つから
398045	417856	どんどん大きくなっていく…外観が…膨らんでいく…いいですよ…もっと惚れて…
426479	454829	全身トロトロにとろけて息がふわふわと広がっていく膨らんでいくそくそくとした快感とともに大きく膨らんでいくまた当ててしまいましょうね
457293	480605	脳の内側をクチクチ溶かされながらお耳からも快感を注ぎ込まれて大人の中をいっぱい気持ちよくなる
484164	502568	さっきみたいに、でもさっきより気持ちよく極楽の果てへ飛んでいきましょうね
520068	547312	僅かな猶予数が減っていくほどにあなたをもてあそばかり強く濃厚になりゼロに到達すると快感は絶頂に達して意識は真っ白に弾け飛ばれ
550179	569249	楽しみですねチューお耳も頭の中も大気持ちよくなる
587341	604618	流れ込んでくる前に頭の中にいっぱい熱い
613252	641807	神経に直接繋がった毛先からもキツネの揚落をたっぷり注いでいきますよほらぐずぐずと気持ちいい快感が注がれる快感が一気に強く
643633	670263	意識が一気にとろけていく快感に意識が強く強く溶かされていく内側から意識がどんどん溶かされていく快感に溶かされていくのに
671707	690243	いっぱい快楽注がれておかしくなっちゃいましょうねゾクゾクがとろけた意識に殴ってこんでくる
710080	738900	どこからどうなるの?こう意識がどろけて世界がどろけて快感だけになってく全身どろたら
753471	777164	それなのにそこからさらに膨らんでいく快感が膨らんでいくとろけた意識がさらにとろけていく
782761	811979	快感に飲み込まれてぷくぷくした快感に飲み込まれていくぷくぷくぷくぷくぷくぷくぷくぷくぷくぷく
816726	842235	意識が弾ける思い切り行っちゃいましょう空意識が一気に膨らんで弾ける外観が弾ける弾け飛ぶ世界
843585	870629	意識が緩がれ、意識が溶けて弾けて飛んでいく。ゾクゾクとした快感に飲み込まれていく。黄骨とした快感に溶けていく。真っ白な世界が大きく大きく膨らんでいく。ゾクゾクが押し寄せてる。溶けていく。
902242	924477	甲骨とした快感に意識が取り込まれて消えていく。全身が快楽の塊となり、甲骨とした快感と混ざり合い、身体中の細胞が幸福に溶けていく。
930417	949382	気持ちよく漂う心地よく幸せな世界を堪能するように温もりに包まれ
963918	964424	しあわせ
