start	end	text
14257	43033	おーい大丈夫?もしかしてやりすぎちゃった?あいやー途中からノリに乗っちゃってごめーんほんと申し訳ないどうだった?私なりのマゾ向けの催眠プレイドS演技が結構光ってたでしょーあはは聞くまでもないかこんなに幸せそうな顔してるんだもん
45155	71839	それにしても途中から喘ぎ声まで出してたし指示出したとは言ってもまさか本当に私の目の前で自分でしごき出していやーちょっとびっくりしたけど私もあれでスイッチ入っちゃったよ催眠誘導がバッチリ決まるとすごいんだねあーいいよいいよドン引きとかしてないから安心して
73066	100512	あんたが見たことないくらい素直によがりくらってるのを見て私も楽しかったんだからあれだけ行きまくったなら今日はぐっすり眠れそうだねもしかしたら夢の中で今日の体験を繰り返したりしてたまったらまたスッキリしにおいでなんて言いたいところだけど実はもう言えないんだ
102007	126121	私ね、ここのバイト今月で終わりなの。ああ、もちろん。今日たまたまあんたが来て身バレしたからとかじゃないよ。またまた目標にしてた金額がたまったから、もういいかなーって。あれ?なに?その寂しそうな顔。あんたとは別にほとんど毎日ってくらい会うじゃん。
131085	152243	もしかして、またされたい、とか思ってる?へぇー、ズボシなんだ。でも私、もうやめちゃうからな。相手が彼氏とかじゃない限り、もうやらないと思うな。
156040	183192	今は意識がはっきりしてないと思うし、後日あんたが勇気出してくれるのを待つことにするよ。そうって、どうかな?話してる間にだいぶ意識戻ってきた?それじゃ、今から催眠を解除していくよ。まずは軽く深呼吸して、ゆっくり吸って、
187630	210689	ゆっくり吐いて穏やかでとても安らいな気持ちになってくるもう一度ゆっくり吸ってゆっくり吐いて
213854	241770	体の中に新鮮な空気が入ってきて、頭がどんどんすっきりしてくる。体中の快感がすっかり収まって、とても晴れやかな心に戻っていくよね。この先、私がいつものあんたに戻ってというと、催眠状態でかけられた暗示がすっかり解けて、正常で健康な思考に戻るわ。
244195	273700	そう少し草食で控えめだけど気配りがしっかりして優しいいつものあんたに戻る素直なのも可愛かったけどさやっぱそれが自然なあんたの思考だからねでも最後に一つだけ暗示を残しておくに明日私と会って挨拶した瞬間に一度だけ
274722	303515	今日の体験とさっき話したことを思い出すのその先どうするかはあんた次第だけど楽しみにしてるさあいつものあんたに戻ってスーッと頭が真っ白になってまた何も考えられなくなる体の重さが一気に消えて心もなんだか軽くなってくる
305407	330901	暗示がどんどん頭の中から流れ落ちて代わりに安らぎと幸せで満たされていく心も体も温かさで満たされたとても心地いい状態今から数字を1から10まで数えていくね10になるとあんたはすべての暗示から解き放たれすっきりした状態で目を覚ますことができるよ
336738	365965	だんだんと意識がはっきりしてくる2頭の中がスーッと晴れ渡っていき体のしびれもすっかり消える3あんたの体も心も自分だけのものそれをはっきりと思い出す4だから自分の体を自由にコントロールすることができるのは当たり前だよね
369554	397128	5頭と心が完全につながって活力が生まれてくる6無意識の集中力が薄まって普段の健在意識に切り替わる7今日明日を頑張れる気持ちが湧いてくる8さあもう大丈夫だね9
398588	420961	10になって手を叩くと、爽やかな気持ちで目を覚ますことができるよ。10!最初に交わした契約書がスーッと頭の中から消える。契約が完全に終了して、理性と現在意識がしっかりと体に戻ってきたよね。
427759	449090	もう私の催眠誘導からも完全に解放されてすっきり目が覚めるはいお疲れ様どう?もう意識はっきりしてるかな?先にシャワー浴びてくる?おいおい大丈夫?足元フラフラしてんじゃんタオル新しいのあるから持って行きな
452071	478556	さて、今日のプレイどうだった?いやー、催眠状態だったからとはいえ友達の前であんなに乱れるとはね覚えてない?嘘つきま、最初はどうなるかと思ったけど私はとっても楽しかったよ途中仕事ってこと忘れて本気であんたを追い詰めてたし
482791	509607	あんたのその性癖もう治らないかもしんないね大丈夫誰にも言わないって二人だけの秘密にしてあげるもう時間だし体質の準備しよっか明日の朝も楽しみだよん?なんでもないよ
511347	520422	あんたとの付き合い、これから先もっと楽しくなりそうだなってだけ。それじゃ、また明日ね。
