start	end	text
2765	22390	ぼくくん、聞こえてるかな~?ぼんやりでいいから、先生の声、聞いててね。今日はお疲れ様。ちゃんとできて、偉かったよ。
24162	51078	もうお迎えの時間になっちゃったから、ぼくくんの暗示を解いて、お家に帰る準備しましょうね。でも、ぼくくんがいつでもここに戻ってこられるように、最後に一つ大切な暗示をかけてあげる。
52647	78196	ほら、よく聞いて。僕くんは、このヒプノガーデンで先生と朝のご挨拶をすると、今味わっている大人赤ちゃんの感覚をすぐに思い出すことができるの。
79664	107204	朝のご挨拶ってなぁに?さ、先生、おはようございます。大人赤ちゃんの感覚って?さ、先生に全てを守られている安心感。全てを支配されている無力感。
108402	134558	そして、快感。僕くんはこの場所で、「先生、おはようございます。」って挨拶すると、大人赤ちゃんの快感をすぐに思い出して、戻ってくることができる。あら、わかった?
137343	165473	はーい、よくできました。じゃ、暗示を解いていきましょう。今日は、ぼくくんのお迎えは誰が来るのかな?そう、パパかな?パパは、どんな姿?先生に教えて。そう、イメージし…
167515	196827	僕くんにそっくりなパパ。元の自分自身の姿。身長。体重。どんな顔?どんな性格?だんだんとイメージがはっきりしてきましたね。そのイメージこそが、元の姿、元のあなた。
198515	223253	そう言われると、さらにイメージが鮮明になっていく。そうです、元のあなたがお迎えに来たんですよ。大人赤ちゃんの心と最後の暗示は、あなたの心の奥にしまったまま。
225842	254911	1から10まで数えて手を叩いたら、あなたは元の姿に戻る。はい、1、2、3、4、5、6、
255383	278722	78910ほら、元に戻る。おかえりなさい。お迎えありがとうございます。
280190	301503	今日の様子ですか?はい、一日とってもいい子で、可愛らしかったですよ。でも、ちょっと興奮気味なところもありましたから、今日はこの後、ゆっくりお休みさせてあげてくださいね。
308211	315644	はい、じゃあ、一緒にご挨拶しましょう。先生、さようなら。
