start	end	text
3776	28955	作品を聞く前に、まずは音を深く感じるための訓練をしましょう。照明を落として、イヤホンをつけたまま、ベッドに深く寝転んでください。肩の力を抜いて、体と接しない程度に両手を少し左右に広げてください。
31090	54976	両足も同じように少し間を開けて開いておくのがおすすめです。それでは、枕に深く頭を預け、静かに目を閉じましょう。これから始めるのは、深いリラックスに入るための瞑想法です。
55708	65675	いろんな音を同時に流し、その中から一つ一つを聞き取り、最後にはすべてを同時に聞き分けるというものです。
67472	94514	最初は同時にいろんな音が鳴るため、少しうるさく感じたり、落ち着かなかったりするでしょう。でも、一つ一つの音に集中して深く聞き入るたび、体から力が抜けてリラックスしていきますので、安心してください。深くリラックスして集中する。
96032	112022	その2つが 深く催眠に入るために必要なことです繰り返し聴いて練習すればするほど 非暗示性が高くなりどんどん深く催眠に入れるようになります
114169	142394	また、繰り返し練習することで集中しやすくなったり、不安や怒りなどの負の感情からの切り替えがしやすくなるという効果もあります。単体で聞けるように作っていますので、寝る前など安全な場所、時間帯で普段も続けてみてくださいね。さて、それでは始めていきます。
143883	169451	まずは 軽く深呼吸大きく息を吸ってゆっくり吐いてもう一度 大きく息を吸ってゆっくり吐いて
174832	201432	少しは落ち着きましたか?心穏やかなリラックスと深い自然な集中それが深く聞き入るために必要なものですこれから様々な音を流しますいろんな音が混ざっているから最初は心がざわざわして落ち着かないかもしれません
203970	231119	でも最初はそれでいいんです私の言う通りに音へ意識を向けていってくださいね一つ一つを聞き分けているうちにどんどん深いリラックスに入っていけますからさあまずは水滴が落ちる音だけに意識を向けてください
233185	239829	他の音は無視して、しばらく水滴の音だけに集中していましょうね。
305596	324494	さあ、今度は私の声だけに意識を抜けてください。他の音は気にかけず、声を聞き取ることだけに集中してください。なんだか少しずつ体の力が抜けて、落ち着いてきたんじゃないですか?
325947	355085	水滴の音だけに集中していると、他の音が少し遠くで鳴っているように感じたかもしれないし、水滴の音だけが近く感じたかもしれない。どちらでもない場合も、他の音よりも少し鮮明に聞こえましたよね。リラックスといっても、別に心を無にしなくてもいいんです。
356528	375791	次は、左右に揺れるメトロノームの音だけに集中しましょう。左右に動く音を追いかけるように意識を向けてください。もちろん、それ以外の音はすべて無視していいですよ。
440464	468034	また声だけに意識を向けてください音に合わせて頭の中がゆらゆらする感じがしましたかそれとも音を追いかけているうちにだんだんと何も考えられなくなってきたりとか何にせよゆったりと集中していると心が落ち着いてきますよね
470342	497864	それじゃあ今度は少し小さいパチパチ弾ける焚き火の音だけに意識を向けてください小さい音を聞き取ろうとすると集中がさらに深くなりますもしすでに自然に聞き取れているようなら同時に焚き火が燃えている場面を想像しながら聞くのもいいですね
500030	504911	もちろんその間その他の音は聞き流してくださいね
565391	592331	さあ意識を戻してください焚き火のイメージは浮かびましたかそれとも頭を空っぽにして音を聞くことだけに深く集中していたのでしょうかどちらにしても小さな音に集中していたから頭の中がすごく静かになっていますね
593638	614662	何かに深く集中するとイメージが浮かぶ人もいればそれ以外のことが考えられなくなりぼーっとしてしまう人もいますでもそのどちらかを感じられているなら深いリラックスに入っている証拠なので安心してくださいねさて
621961	638857	次は鳥の鳴き声だけに意識を向けてみましょう小さい音に集中した後はランダムな音に耳を傾けましょう朝焼けの森の中にいる気持ちでリラックスしながら聞き入ってみてください
700893	729052	再び声だけに意識を向けてください集中が深くなればなるほどどんどん心が落ち着いてきますねこの体験を繰り返せば繰り返すほど音に対する感度が上がっていきますそして同時にそれは気持ちの切り替えのうまさにもつながっていきます
730947	754820	リラックス状態になると物事に没頭することができますよね集中力が上がるということはその状態への切り替えが上手くなるということ今回だけじゃなく続ければ続けるほど心と体に染み付いていきます
758297	783233	さあ最後は静かに鳴いている虫の声だけに意識を向けてください静まり返った夜の森をイメージしてもいいですね鳥の声も爽やかで明るい朝のイメージから静かで落ち着いた夜のイメージに切り替えていきましょう
836079	860238	そのまま虫の声に意識を向けながら聞いてくださいそういえばいろんな音が混ざっていても心がざわざわしなくなっていますね始めた頃と違ってずいぶん落ち着いて音を聞いていられるようになったのに気づきましたか?
867441	891460	さあこれが最後ですしばらくの間自由にそれぞれの音を聞き分けたりすべての音に意識を向けたりしてみてくださいあなたにはあなただけの感性がありますそれを広げて感性を最大にして心地いいリラックスを感じましょう
943467	964613	だいぶ深く音に集中することになれましたねそしていつの間にか心は深いリラックス状態になっていますね心地のいい集中だから体からも余計な力が抜けて
965348	992945	なんだか視観しているような感じがしますララーンとしてとてもリラックスした感覚それを味わえば味わうほどますます深い集中を感じられるようになっていきますこのまま眠る場合は寝る準備をしてお休みください本編に進む場合は
994643	996673	そのまま耳を澄ませていてください
