start	end	text
9826	24870	こんばんは私たちの催眠実験にご参加くださりありがとうございますここに来たということは脳がバグってしまう不思議な体験をしたいということでいいですね
26430	53581	禁止されているのに抵抗できずに負けたいってことですよねそれとも本当は魔女なんじゃなくてただの好奇心できましたかどちらでもいいですが禁止されたらちゃんと抵抗してくださいねこれから行うのは禁止否定暗示です
55310	84395	そうそう説明の前にそもそも暗示ってどういうものかご存知ですか?催眠誘導された時に自動的に反応してしまう言葉と思っている方が多いかもしれませんが正確には思考感覚行動を操作誘導する心理作用のことと言われています
86241	103698	つまり、あなたは実は、普段から自分で自分に暗示をかけたり、人から言われた言葉によって暗示を受けているんです。それは禁止、否定の暗示も同じなんですよ。
106446	129159	例えば食べ過ぎないようにしようお酒なんて二度と飲まない遅刻しないようにしなきゃ今月は衝動買いをしないでおこうそう心の中で禁止や否定をしたことよくあるんじゃないですかでもこれって大体失敗しますよね
131010	158357	脳は否定権を認識できない、という学説があります。つまりは、何かを禁止しようとすると、むしろその禁止したことを意識してしまうんです。ピンクの像を思い浮かべないでください。ほら、今頭に思い浮かんだのは何ですか?そんな感じです。
159824	186492	思い浮かびましたか?ピンクの像今日行うのはそんな禁止や否定を利用した催眠誘導ですと言ってもさすがに延々とダメって言い続けるのは無理がありますよねだからなるべくフラットな気持ちで私たちの声を追いかけてくれたらいいですよ
188329	215311	そう無理して禁止や否定の言葉を探そうとしないでくださいさっき言った通りあなただって普段からやっていることなんですからわざと意識を向けないようにした方がいいに決まっていますよねそれに最後には魔女のあなたが大好きな矯正もしてあげます
217387	245131	禁止されながら強制されたら本当に壊れちゃいそうですねダメですよしっかり抵抗しないとあらなんだかすでに混乱し始めているようですねこんなので混乱していたらすぐ頭が真っ白になるかもしれませんよいいんですかダメですよね
246135	270080	では始めましょうか目を閉じてください安心してあなたはそのまま私の声を聞いているだけでいいんです声を聞かないよう意識してもいいですよ余計に意識が向いちゃいますからただリラックスして
271407	292607	私の声の言う通りにする言うことに反発しようとすればするほど何も考えられなくなってくるそれが催眠に入るために必要なことですから無視しようとすればするほど催眠に落ちていきますからね
296323	321791	だから私の声に集中しないでくださいすぐに催眠に入りたい簡単に催眠に落ちたくないどちらを選ぶにしてもまずはゆっくり深呼吸しましょう大きく息を吸ってゆっくりと吐いて
326676	346931	大きく息を吸ってゆっくり吐いてゆったりとした呼吸に戻してください自分のペースで大丈夫です
