start	end	text
4023	17119	いい状態になりましたね深い状態になってきましたねお兄さんいい感じですよ
20083	45840	頭も体も力が抜けて今とってもいい感じです今度はお兄さん用の特別な香りを調合して炊いていきますね普通のお香は混ぜてから乾燥させる必要があるんですけどこの練り香は
47445	71137	練ってからすぐに炊けるんですよ平安時代から存在する由緒正しいお香なんですそれを今から練ってあげますね乳鉢の中に香りの粉を入れて混ぜ合わせていきます
77527	106333	まずはバラの香りバラの粉を乳鉢に一さじ二さじバラの華やかな香りは緊張やストレスを和らげて幸福な気分にしてくれます
108111	134280	そしてイランイランの粉イランイランの奥深い甘い香りは強いリラックス効果があるんですこの粉も乳鉢に一さじ二さじそして最後に
135614	158982	特別なマッチにも使われている秘密の粉甘ーい香りがしてとっても気持ちよくなれる粉を一さじ二さじ
163536	189841	お兄さんならきっと大丈夫ですから、ちょっと多めに入れちゃいますね。いっぱい気持ちよくなれた方が嬉しいですよね。ほら、もう一杯。もう一杯。もう一杯。
195602	223403	粉を入れ終わったら混ぜ合わせていきます粉を混ぜ合わせるとふわーっと華やかな甘い香りが広がる炊く前の状態でも
224519	253217	とってもいい香りがしてくる好きな香りで満たされた空間っていいですよね気分が良くなって落ち着いてとっても心地いいこの中には気持ちよくなれる甘い香りがいっぱい
255520	279858	それに、今は……お兄さんの匂いもしてますから、私はとっても幸せですよ。香りの粉が混ざったら、ここに蜂蜜を入れて練り上げていきます。
300823	326437	ねりねりねりねり今混ぜてるものってぜーんぶ美薬にも使われる材料なんですよバラは古くから異性を惹きつける香りとして使われますし
328188	353918	イランイランは新婚の夫婦がベッドに花を散らす地域もあるんですそしてハチミツはとっても元気になるんですよ気持ちよくなれる粉にこの香りを混ぜて炊いたら
355222	384435	エッチな気分になっちゃうかもしれませんねネリネリネリネリ粉をはちみつで練り上げたらコロコロと丸めていきます
385769	413800	まーるい形にコロコロコロコロほーらできましたよお兄さん用の特製練り粉ですこれをコウロに入れて
415762	433362	火をつけたらじわじわと少しずつ甘い香りの煙が出てきますよ
434892	463192	練り香はマッチと違って長く炊けるんですじわじわ煙を出してゆっくりとこの部屋を甘ーい香りで満たしていくんです甘ーい快感で満たしていくんです気持ちよくなれる香りがどんどん濃くなっていくんですよ
478548	483609	スーッと吸ってハーッと吐く甘い香りで満たされる心と体が満たされるスーッと吸ってハーッ
498441	524852	それがとても気持ちいいそれがとても心地いい息を吸うと幸せで胸が満たされる息を吐くと力が抜けてリラックス息を吸うのは気持ちよくて息を吐くのは心地いい
527054	549195	そして呼吸を繰り返している間にも部屋の香りは濃くなっていくふんわり甘い幸せの香りが満ちていく香りが濃くなればなるほど意識がぼーっとしていく
550885	569445	手や足にずーっとした重さを感じるようになってくるぼんやりとしてふんわりとするじんわりとしてとろけていく
573074	599537	じんじんとした気持ちよさで満たされていく肌はほてったりピリピリするような感覚に包まれていく気持ちいい感覚に包まれていくほらもっと甘い快感を吸ってくださいどんどん濃くなる香りに酔ってください
602033	627583	頭の芯がピリピリしてきて肌の表面がピリピリ敏感になっていく私もちょっと気持ちよくなってきちゃいました
629812	649908	一緒に気持ちいいことするの、楽しいですね。私多分、お兄さんのことが好きなんです。お兄さんをいじめると、胸がキュンってするんです。
651662	681363	お兄さんをいじめたいんです。お兄さんじゃなきゃダメなんです。ちょっと前に、そのことに気づいたんですよ。そしたら、館のお姉さんたちが、私のことを好きにさせる方法を教えてくれたんです。こうやって、いろいろな香りで気持ちよくしてから、私に依存させちゃえばいい。
682763	710237	私しか見えないようにしちゃえばいいって。最初に言いましたよね。これは儀式だって。私とお兄さんの大切な儀式だって。これは私のことを好きになってもらうための儀式なんですよ。
711636	737189	ドローンとした状態で気持ちいいマッチを使って、お兄さんの頭の中を快感でいっぱいにするんです。お兄さんのことをめちゃくちゃにして、ドロドロに溶かして、理性を壊して、私のことを刻みつけるんです。私のことを好きになってもらうんです。
739868	765043	お兄さんも私にされるの好きですよねお兄さんは優しい人ですね私は悪い子だからそんなお兄さんの優しさにつけこんじゃいますよつけこんでドロドロにして依存させて依存して
766351	779461	二人で一緒に気持ちよくなって落ちるところまで落ちましょう。暗くてドロドロとした快楽の沼に沈んでいきましょう。
