start	end	text
1558	28767	今からまた気持ちいいマッチを使っていきます特別なマッチを使っていきます誤惑のマッチを使っていきますお兄さんに愛情表現をしてから使っていきますお兄さんのことを好きって言ってから使っていきます
30055	47997	そうするとお兄さんは私に好かれるのが気持ちよくなっちゃいます私に好かれることに幸福を感じるようになっちゃいますこの状態なら絶対そうなっちゃいます
50233	74272	そして、私に好きと言われるたびに、お兄さんはドキドキして、私のことを好きになっていきます。ほーらら、いきますよ。お兄さん、好きですよ。
79670	87774	マッチの音が私の声が気持ちいい気持ちいい気持ちよくてゾクゾクしてしまう
101175	128802	嬉しい気持ちいい心が満たされる頭の中がビリビリする背筋がゾクゾクとしてしまう嬉しい幸せ好き好き好きですよお兄さんのことが
136848	165514	胸が高鳴る興奮する呼吸がどんどん荒くなるマッチの音が気持ちいい私の声が気持ちいい私の行為が気持ちいいとっても嬉しくてたまらないとっても嬉しくて幸せマッチを使えば使うほどこの快感は強くなっていきますそしてお兄さんが私のことを好きになるほど感度もどんどん上がっていきますよ
172210	198990	甘い香りで満たされていきますよ幸せな香りで満たされていきますそれだけでもとっても気持ちいい美薬たっぷりの香りを吸ってとってもいやらしい気持ちになってしまうほらいっぱい気持ちよくなっていっぱい私を求めてください
218005	243370	お兄さんのことが好き世界で一番好き頭がしびれる背筋がしびれる幸福でしびれる気持ちいい気持ちいい気持ちいい好きすごく好き
247891	273485	快感で壊れてもいいんですよダメになっちゃっていいんです誰にも見せたことのない姿私だけに見せてください誰にも聞かせたことのない声を私だけに聞かせてくださいだって私はお兄さんが好きでお兄さんはもう私のことが好きなんだからほーら
294722	323542	私を好きになるほど気持ちよくなる。私に依存するのは幸せ。マッチの匂いも、マッチの音も、私の声も、気持ちいい感覚も、全部覚えて、記憶して、刻みつけて、思い続けてください。もう頭の中、ドラドラですね。外観でぐちゃぐちゃになっちゃいましたね。
327856	349185	私にもっともっと依存してくださいもっと私を求めてください私のことを思ってくださいそうなってしまうように今からちょっと意地悪しちゃいますほら気持ちいいマッチですよ
354601	383195	マッチの音が気持ちいい。甘い香りが気持ちいい。でも、何か足りない。どこか物足りない。さっきまでの言葉がない。私からの好意が足りない。どうしたんですか?お兄さん。ほら、気持ちいいですよね?マッチ。
391353	417943	ほら気持ちいいとっても気持ちいいでもちょっと寂しい私の好意が足りてない私の愛情が足りてないだから気持ちいいけど物足りない胸の奥が満たされないねえお兄さん
419580	448805	私のこと、好きですか?私になんて言われたいですか?好きって言われながら、マッチ使われたいですよね。大好きって言われながら、気持ちよくなりたいんですよね。だったらほら、まずはお兄さんから言ってください。好きですって言ってください。
453445	460452	とっても嬉しいです私もお兄さんのことが好き大好き
474573	499390	胸が満たされる心が満たされる幸福感に包まれる気持ちいい気持ちいい私に好かれるのは気持ちいい私を好きになるのは気持ちいい依存するのもされるのもぜーんぶ快感ぜーんぶ気持ちいい大好き大好き
505668	530153	大好き耳が幸せ心が幸せ快感に包まれてそくそくする頭の中が真っ白になる気持ちいい
533596	559492	お兄さんの気持ち、よーく伝わってきましたよ。好きって言われるの、とっても気持ちいいですね。ちゃんと好きって言ってくれたから、ご褒美に行かせてあげますね。いっぱい好きって言って、気持ちよく行かせてあげます。だからちゃんと無様に言ってください。
563119	573822	これから、10からカウントダウンしながらマッチを使っていって、お兄さんを行かせてあげます。私が、ゼロ。
574490	597867	と言ってから愛してますと言ってマッチを使ったらお兄さんはすごい幸福感に包まれて行ってしまいますそして生きながら私のことをもっと好きになりますもっともっと好きになって記憶に焼き付けてしまいます
603248	631890	とっても素敵ですよねほら、いきますよ10お兄さんのことが好き9とっても好き8お兄さんの感度が上がる7
633288	660236	いくらでも上がる6私はお兄さんのことが好き5お兄さんも私のことが好き4だからもっと気持ちよくなる3私以外考える
662913	664474	2.
664474	676601	もう行ってしまいそう大好き1.
676601	684786	もう限界大好き0.
684786	685687	愛してます
692057	716562	気持ちいい 幸せに包まれて気持ちいい 全身が快感に包まれる 私の愛情に包まれる 私の声が頭に響く 心に響く 好き好き大好きはしたなくいってしまう 頭の中が真っ白になる 幸せで狂ってしまう 気持ちいい
733492	737857	ビクビクして可愛かったですよ…お兄さん…
