start	end	text
3115	31410	準備できましたからこれから催眠をかけていきますねそれじゃあ今から私の合図に合わせて深呼吸をしてください落ち着いてリラックスした方が催眠にはかかりやすいので先輩は私の合図に合わせて息を吸ったり吐いたりしてください
33747	61591	大きく息を吸って…吐いて…吸って…吐いて…吸って…吐いて…
65320	90600	吸ってー吐いてー吸ってー吐いてー吸ってー吐いてー
94315	107542	お腹が大きく膨らむように息を吸って膨らんだお腹がぺたーっとするくらい吐いて吸って吐いて
134259	150188	吸ってー吐いてーそのまま自分のペースで続けてください目をつむって横になって穏やかーに息をしてるってことは
152227	181538	これが、先輩の寝顔なんですよね。えへへ、ちょっと可愛い。もし、催眠をかけてる途中で、ぼーっとしたり、眠くなっちゃったりしたら、眠っちゃっても、大丈夫ですよ。先輩が寝ちゃったら、
184125	208320	私は先輩の寝顔観察をしようと思いますそっちもちょっと楽しそうですよねえへへ眠っちゃってもいいですよ先輩ほーらどんどん眠くなーる
211430	239188	眠くなーる…なんちゃってそれじゃあ先輩ゆったりと自分のペースで息をしながら今度は私の質問にはいって答えていってください簡単なアンケートみたいなものなので
240546	266521	内容はあまり気にしないでくださいね先輩は催眠にかかってみたいんですよね?催眠にかかるの協力してくれますよね?私の言うことを受け入れてくれますよね?
269933	297301	それじゃあ、私の声、ちゃーんと聞いててくださいね。最後に、先輩も、その、私とスキンシップ、したいんですよね?エッチなことも、したいですか?
300262	326680	先輩のエッチ。でも、やっぱり興味はあるんですね。大切にされてたのがわかって、嬉しいです。その、ちゃんと催眠にかかって、夢の中に入っていけたら、考えなくもないです。
330260	355253	ちゃんと協力してくださいねそれじゃあ質問終わりですそしたら次は体の力を抜いていきましょうか触ると生気を吸っちゃう私の体質が力を抜くのにはちょうどよさそうなので
358143	386772	指先でちょっとだけ先輩の体を触りますね。先輩は私の声を聞きながら、私が触れた部分に意識を向けてください。そして、私が触れたところから精気が吸われて、力が抜けていくのを感じてください。
397382	417046	まずは右肩右肩の付け根を指先でツンツンチョンチョン右肩の力が抜けてダラーンとする
419537	444410	力が抜けて楽になって右腕が少し重たく感じる右肩に触れた指先をそのまま手のひらに向かってスーッと下ろしていきます
447130	472379	私が指先で、すーっと、そーっと、先輩の右腕をなぞるだけで、先輩の右腕から力が抜けてきますよ。すーっと、すーっと、
475923	498740	右腕から力が抜けてゆく肩から肘手首手の平へとスーッと力が抜けてゆく
503778	533365	右腕の力が指先から流れ出ていくように、すーっと力が抜けていく。右腕から余計な力が抜けて、だらーんとして、楽になっていきます。いい感じですよ、先輩。
534585	561659	そんな感じです次は…左腕左肩の付け根を指先でツンツンチョンチョン左肩が緩んで楽になる
564914	591230	左肩に触れた指先を手のひらに向かってスーッと下ろしていきます。スーッと、スーッと。指先でなぞるだけで、先輩の左腕から力が抜けていきますよ。
596189	625553	肘、手首、手のひらへと、スーッと力が抜けていく。余計な力が抜けて、左腕がダラーっと楽になっていきます。
637878	661602	力が抜けてゆく次は頭先輩はちょっと普段から考えすぎてると思うので今日だけは考えなくていいように
663040	690849	頭の力を抜いていきましょう先輩のおでこを指先でちょんちょんおでこがちょっとひんやりするようなぼんやりするような頭の中にぼやーっと
696264	719595	ゆるーっともやがかかってとろーんととろけていくような感じになっていきます首の力も抜いちゃいますね指先で首筋をすーっとなぞったら
721650	747988	頭を支えていた首から力が抜けて頭が重く重く感じるようになります楽にしてそのまま枕に任せちゃいましょうね先輩はぼーんやりしながら
753299	776173	ゆるーんととろーんとしていれば大丈夫ですよ私にぜーんぶ任せちゃってください先輩さっきよりも心地よさそうな顔になってますよ
779280	807008	かわいいやっぱり普段は色々考えすぎちゃってるんですね今だけは楽にしてくださいね先輩ゆるーっとした先輩も好きですからこのままゆーっくり息をしながら
808850	838049	ほーやりとまどろんで私の声だけを聞いていてくださいこのまま全身の力を抜いていきますね右足の太ももをつんつんちょんちょん
840390	867503	右足が緩んで楽になるそのまま指を太ももから足首まで滑らせていきます太ももから膝すね足首までスーッ
873790	896009	そーっと指先でなぞるだけで右足の力もスーッと抜けていきます。スーッと力が抜けていく。だらーんと右足が重くなる。
905348	930390	今度は左足 同じようにツンツン チョンチョン左足がいるんで 楽になるスーッと指を滑らせたら 力もスーッと抜けていく
932116	957475	左足の力が抜けてゆくすーっとそーっと抜けてゆく手足が重い頭も重いとっても心地いいおもだるさ
959672	982942	遊びに行って帰ってきてお風呂に入って寝る前みたいなだるーんとしてじんわり温かーいそんな感じの心地よさ
985220	1012793	意識はぼんやり軽くなってさっきよりも私の声が頭の中によく響く先輩とってもいい感じに力が抜けましたよすごく気持ちよさそうです
1015102	1040257	いい感じに催眠に書かれてると思います。このまま続けていきますね。今から、催眠状態を深くするのに使う道具を用意するので、先輩はこれから私の言うようなお部屋をイメージしていてください。
1042050	1068467	想像しやすいシンプルなお部屋がいいのでそうですねあんまり明るいと恥ずかしいので時間は夜月や星の光でぼんやりと部屋の中が見えるくらいの明るさ
1071299	1100572	部屋の内装は、白い壁紙にフローリングの床。それと、大きな大きな窓が一つ。窓の前には、純白のシーツが敷かれたベッド。シンプルで清潔感のあるお部屋です。
1102681	1126602	そんなお部屋をイメージしてくださいお部屋のイメージできましたか?それじゃあそのお部屋に入っていくために
1128200	1154018	先輩の催眠状態を今からもっと深くしていきますね今日は私が部活で使ってるメトロノームがあるのでこれを鳴らしながら先輩の意識をもっと深いところに連れていきます
1155938	1179429	一定のリズムで鳴る音には、人をリラックスさせてトランス状態に導く効果があるんですよ。ガタンコトーンって揺れる電車の音とか、シトシト降り続く雨の音とか。
1181287	1207107	トランスミュージックとかも、一定のリズムで音を刻みますよね。これから、メトロノームを鳴らします。先輩は、メトロノームの音を聞きながら、私の話に耳を傾けてください。
1209043	1236680	どっちを優先しても大丈夫ですメトロノームでも私の声でもでも私の声に集中してくれた方がその嬉しいなぁとは思いますけどねそれじゃあ
1250267	1266150	メトロノーム鳴らしますねカチコチカチコチカチコチカチコチゆっくりと
1267606	1285180	メトロノームが音を刻み始めました。カッチ、コッチ、カッチ、コッチ。大きく左右に振り子が揺れてます。
1294033	1317150	こっち…こっち…こっち…心地いいリズムで揺れています右に…左に…右に…左に…一定のリズムで揺れています
1322772	1346233	右に 左に右に 左にゆーら ゆーらゆったりとしたリズムでカッチ コッチ カッチ コッチ
1349112	1376427	ふりこがゆれるゆっくりゆれるゆーらゆーらゆーらゆーらかちこちかちこちゆったり
1378151	1403577	ゆっくりふりこがゆれる右に左に右に左に右に左にふりこの音もゆらゆらゆる
1415593	1441718	売り子の音が揺れ始めると先輩の意識も揺れ始めるメトロノームの揺れに合わせるように先輩の意識も揺れ始める右に左に
1443987	1471973	ゆらゆら右に揺れて左に揺れて右に揺れて左に揺れて右に左に右に左に
1473900	1501693	揺れが少しずつ大きくなっていく右に左に右に左に私の声に集中してるはずなのにメトロノームの音に意識が行ってしまう右に
1503915	1531923	左に右に左に私の声まで揺れ始める右に左に右に左に揺れて揺れて
1533786	1559495	ゆらゆらゆらゆらゆらゆらゆらゆらゆらゆらゆらゆらゆらゆらゆらゆらゆらゆらゆらゆらゆらゆらゆれ動く左右にゆらゆら揺れていた音が今度はぐるぐる
1561165	1588090	回り始めるどんどん音が回り始める頭の中も回り始めるぐるぐる回ってぐるぐる揺れてゆっくりゆっくり落ちてゆく回っているのは私
1589348	1610888	回っているのはメトロノーム?それとも先輩?ぐるぐる回るのがカチコチになるのが少しずつ速くなって音を刻むペースが上がって回り回ってめぐりめぐってもうどっちかわからない
1612295	1627604	回るように落ちてゆく そこまで落ちてゆく 意識の下へ 深いところへ グルグル落ちてゆく 意識の底へと
