start	end	text
4911	30423	とっても素敵でしたよ、先輩。その、すごく気持ちよかったです。えっと、あ、終わった後は、おちんちんを口できれいにするんですよね。お掃除しますね。
37527	52985	アホ…アホ…アホ…
81437	100994	先輩の正義…美味しい…
102448	125159	よくわからないけど すごく美味しく感じるんです先輩の精液の味まで 好きになっちゃいました先輩 今度は自分でしてるところ 見せてもらえませんか?
126273	155804	私、先輩がどんな風にしてるのか気になるんです。それで、最後に出したら私に飲ませてください。いいですよね。ありがとうございます。今から先輩の両腕を動かしやすくします。
156774	177914	腕だけならこの状態でも動かせるようになるのでそしたら先輩は自分でしてるところを見せてください今から3つ数えて手を叩いたら先輩の両腕が軽くなって動かしやすくなります
179405	204303	全身が気持ちいい状態で腕だけ自由に動かせるようになりますいきますよ一つ二つ三つ先輩の腕が軽くなって自由に動かせるようになるそれじゃあ先輩
205288	231522	いつもしてるみたいに、おちんちんを握ってください。まだ動かしちゃダメですよ。それで、逆の手は、好きなところに添えてください。いつも先輩が、一人でしてるときと同じようにしてください。
238446	267275	そんな感じでしてるんですね先輩はそこが気持ちいいんですねそれじゃあ今から3つ数えて指を鳴らしたら先輩が触っているところの感度がさらに上がっちゃいますジンジン熱くなってさらに敏感になっちゃいます1つ2つ3つ
269594	297720	先輩の感度が上がる売れているところの感度が上がるどんどん熱く敏感になっていく手を動かしたくてたまらない今の先輩はとっても敏感ですから手を動かしたらきっとすごく気持ちいいですよいつもよりすごーく気持ちいいですよ
300245	327195	動かしたいですよねいいですよって動かしてください気持ちいいですか?先輩一人で捨てる先輩を見るのもなんか不思議で楽しいです
328782	355267	声、我慢しないでくださいね。ふふ、かわいい。しごくの、少し早くしてください。もうちょっと、早くしてください。
362135	388402	もっと早くしてくださいでも勝手に行っちゃダメですよはい手を止めてください行くのを我慢した方がいっぱい出るんですよね一応サキュバスですから
389313	416273	経験はなくとも知識はあるんですよ私も先輩の精液いっぱい飲みたいですからこれから先輩には私の合図に合わせて手を動かしてもらいますいーっぱい我慢して美味しい精液出してくださいね
420193	448651	さっき使ってたメトロノームを持ってきたので今からこれを鳴らしたら先輩はメトロノームの音に合わせて手を動かしてくださいゆっくりとした速度から始めますからいっぱい気持ちいいのをためてくださいそれじゃあ動かしますねはい
453105	481318	カチコチ鳴る音に合わせておちんちんをしごいてください最初はゆーっくりカチコチカチコチ気持ちいいのをためながらゆっくりゆっくりしごいてください
483779	510673	ちょっとずつ 速度が上がっていきますよカッチ コッチ カッチ コッチ先輩気持ちよさそう私もお手伝いしちゃいますね先輩大好きですよ
557067	564498	また少し早くなりますよでもまだ刺さないでくださいね
602444	623988	またちょっと早くなりますけど、まだ行ったらダメですよ。もしでそうだったら、少しペースを落としてください。今度は…こっちのみ。
654885	682190	はい、手を止めてください。感じてる先輩も可愛いですけど、我慢してる先輩も可愛いですね。こんな風に我慢してるの初めて見ちゃいました。先輩、今とっても恥ずかしい格好してますよ。
683400	708663	先輩の初めてがたくさん見れて嬉しいですそれじゃあ今度はメトロノームが鳴ってる間おちんちんを握ってない方の手だけを動かしてくださいおちんちんをしごくのは禁止ですいきますよ
712179	741398	体が敏感になってるとおちんちん以外でも気持ちいい私に見られるのも気持ちいい私に見られながら射精したい気持ちよーく射精したいそう思ってしまったらおちんちんをしごけないのがすごくもどかしく感じてしまう
744849	767988	おちんちんしごきたいんですか?じゃあメトロノームがあと10回鳴ったらいいですよ1098765
792854	802420	43210ちゃんと我慢できましたねー。いい子、いい子。
804077	826154	それじゃ、しごいていいですよ。はい、手を動かしてください。メトロノームが速くなる。先輩の手も速くなる。
835920	859080	どんどん早く激しくなる一回しごくたびに背筋がビクビクゾクゾクしてもう射精することしか考えられない気持ち良すぎてすぐにでも限界が来てしまいそう
860648	889151	もう出してしまいたい今すぐにでも出してしまいたい手を止めてくださいもうちょっとだけ我慢ですよ先輩いっぱい気持ちいいのが溜まってきてますねとってもとっても楽しみです
891023	910963	間違って途中で出ちゃわないように合図があるまで行けなくなる催眠をかけちゃいますね3つ数えて指を鳴らしたら先輩は私がゼロと言うまで行けなくなっちゃいます
912614	939981	いきそうなくらい早くしごいても、私がカホントダウンをしてから、ゼロと言うまではいけなくなっちゃいます。一つ、二つ、三つ。それじゃあ、試してみましょうか。はい、手を動かしてください。
948173	973702	どんどん速くなっていきますよ、センパイ。ほら、ちゃんと音に合わせてしごいてください。快感をためるためにしごいてください。うふふ、必死でしごいてるセンパイも可愛い。はい、止めてください。もどかしいですか、センパイ。
975148	999206	もう我慢の限界ですか?仕方ないですねそれじゃあ10からカウントダウン始めますから先輩はカウントダウンを聞きながらメトロノームに合わせて手を動かしてくださいいきますよ
1003360	1029350	10 全身に溜まった快感が腰に向かって集まってくる9 出口を求めて集まってくる8 初声何回もの快感が先輩の体には溜まってる7 全身がブルブルと震え始める
1032095	1050634	気持ち良すぎて震え始める5 もう出してしまいたい4 楽になってしまいたい3 写真してしまいたい2 頭の中が真っ白にとろける
1058161	1078575	ほら先輩、行って、出して、ゼロ、ゼロ、ゼロゼロゼロ溜まっていた快感が弾ける、今までの気持ちよさが全部飛び出す、射精と同時に飛び出していく、全身が痙攣してしまうくらい気持ちいい、気持ちいい、気持ちいい
1094648	1104494	いっぱい出ましたね先輩それじゃいただきまーす
1125863	1148510	淡くて美味しいごちそうさまでした
