start	end	text
171	28465	はじめまして。この音声は、催眠初心者や、催眠にかかりづらいと感じる人向けに制作しているものです。なので、すでに問題なく催眠を楽しまれている方には不要な知識がつき、かえって催眠にかかりづらくなるといった可能性がございます。ご注意ください。仮に問題なく催眠を楽しまれている方は、イメージ誘導パートをお楽しみいただけると幸いです。
30469	50562	また、本作品は視聴者の方がすでにどこかで催眠誘導を受けたり、催眠音声などを聞いたりしたことがある前提で制作しております。仮に未経験の方がこれをお聞きになっていましたら、本作品を視聴せず、まずは知識のない状態で催眠を体験されることをお勧めします。
52662	81622	少し勉強的なものなので、集中力が切れてきたと感じたらご視聴をやめ、また改めて続きから聞くことも可能です。また、ご視聴の際に聞いたことがある話も含まれているかもしれませんが、1回目は聞き飛ばさずにご視聴ください。はじめまして。本校に入学いただき誠にありがとうございます。この学校は催眠にかかるための専門学校です。
82941	90160	ここへ入学されている皆様は、催眠にかかりたい。あるいはかかりたいけど、かかり方がわからない。
91422	119591	かかることはできるけどかかりづらいと感じている方々だと思いますこの学校はそういう方々のために催眠とはそもそも何なのか催眠にかかるとはどういうことなのか催眠状態ってどんな状態なのかを一つ一つ学んでいき催眠に対する疑問や不安そういったものを取り除き催眠をしっかりと理解した上で安心して催眠にかかれるようになることを目的としています
120832	145426	それでは早速授業を始めていきましょう。さて、催眠という言葉を聞いて、あなたはどういうものを想像しますか?または催眠にかかる、という言葉の定義は何でしょうか?それらを噛み砕いていき、あなたの中にある催眠に対する誤解や恐怖心を解き、理解を深めていくとより催眠にかかりやすくなります。
146775	176122	催眠に対する誤解は、あなたが催眠にかかりたいと願う気持ちとは裏腹に、無意識にかかることへの抵抗を生んでしまう可能性がございます。理解を深めることで、本作品に収録されている催眠状態に入るための様々なきっかけを体験し、そして、些細なことでも実感を積み重ねることで、あなたが望む催眠に少しでも近づき、そしてより安心して気持ちよく催眠へ入っていきやすくなります。
177282	199045	あなたがどう思っているかは別として、催眠を信じる、信じないといった声を耳にすることはあるでしょう。そういった声がある時点で、そもそも催眠について誤解されている方が非常に多くいらっしゃいます。催眠とは、魔法やオカルトといったものではなく、心理学や生理学。
199570	218697	脳科学といった様々な要素が絡んだ現象です。心理学や脳科学といった言葉を聞くと、堅苦しく感じるかもしれませんが、すごく簡単に催眠現象を説明すると、頭の中でイメージしたものが体に影響する、現れるということです。
219719	244887	テレビで催眠術師の暗示通りに踊っている人、泣いている人、体が動けなくなっている人、あるいは催眠音声などで気持ちよくなっている人、それらは外から見ると不思議な現象に見えますが、催眠にかかっている人の中で何が起きているかというと、結局は想像したものが体に現れているだけなのです。
246520	255485	そう考えると、あなたもそういった経験をしたことに心当たりはあるのではないでしょうか。レースゲームをしていて体が傾く人。
256597	279008	小説や映画で登場人物に感情移入をして泣いたりする人、酸っぱいものを食べる想像をして唾液が出ること、道路の上に置いた一枚の長い板の上を歩くのは簡単にできるのに、ビルとビルの間に敷いた板を歩くのは足がすくむのもそうです。落ちたらどうしようという想像が足をすくませさせます。
281141	306582	こういった、想像したことで体に何か反応が現れるということは、あなたも経験したことがあるかと思います。それが催眠の魅力的な部分で、本人が意図していないにもかかわらず、体に現れてしまう現象です。想像したものが体に現れやすい人、現れにくい人の違いが、催眠のかかりやすさの個人差の一つの要素でもあります。
308218	336067	ですので、対面での催眠誘導であれ、催眠音声であれ、催眠にかかると思わなければもちろんかかりませんし、暗示の内容を理解したり想像したりできなければ、体には何も変化が起きません。この辺が、催眠は想像力豊かな方の方がかかりやすいと言われる理由です。男性には無性というものが存在しますが、それこそまさに催眠現象の最高峰なのかもしれません。
337528	353596	夢という最高の臨場感漂う想像の世界、その中でエッチな夢を見たときに起きる現象です。催眠音声で気持ちよくなったり、触ってもいないのに射精したりといった話は、メカニズム的には無精と全く同じかもしれませんね。
354962	381119	さて、今お話ししたように、催眠誘導のストーリーや暗示の内容に没頭し、自分がそうされている、あるいはそうなってしまうと想像したことによって体が反応する現象、それが催眠です。まずは、ご自身がかかりやすいかどうかは別として、催眠はかかる人はかかる、現象として存在するという部分は理解していただけると幸いです。
382482	400002	そしてアンチに反応しやすい状態。集中力や想像力が豊かになる状態。そしてなんだかふわふわするような、ぼーっとするような、いつもの自分のような、でもどこか誰かに委ねてしまっているような感覚。それが催眠状態です。
