start	end	text
360	26795	さあ、その気持ちのいい状態のままで、目をつぶったままで大丈夫。今回は私たちが授業を担当させていただきますね。私たちは双子。私があなたの隣に座って、そして胸に手を置いてあげます。私の手はもう少し下のお腹のあたりに。
28048	41290	その重さ、温かさを感じてみてください。そのままゆっくりと深呼吸。ゆっくり、ゆっくりですよ。
43553	68577	深呼吸をすればするほど、あなたの胸は上下して、その上に置いてある私の手の重みに安心していきます。重くはないけれど、その存在感は伝わってきて、熱くはないけれど、じんわりとした温かさがあなたに広がっていく。ほら。
69946	92675	もう一度ゆっくり吸ってゆっくり吐いてそうそのまま続けてください気持ちよーく吸って力を抜きながら吐いて頭がぼーっとするのを感じて
94810	119903	呼吸をするときの自分のお腹の膨らみに意識を向け、ゆっくりと呼吸。早すぎず、遅すぎず、気持ちのいい速度で、そして心臓の鼓動にも意識を向けて、ほら、自分の鼓動を探してみましょう。
121523	138389	どんな速度でしょうか?聞こえますか?速いですか?それとも、もうゆっくりですか?その音がだんだんゆっくりになるのをイメージして。
143420	171785	そしてまた呼吸に意識を向け、気持ちのいいところへ入っていきましょう。呼吸とともに力が抜けていき、どんどんと気持ちのいいところへと。今度は体の隅々に意識を向け、顔の表情の力を抜いて、首や肩の力も抜いて、
173859	201029	そして両腕がツンと重たくなってきているのを感じ、自分が催眠に入っている、あるいは入ってきているのを感じ、そのまま足全体もツンと重たいことに気づき、そして沈むような感覚に、さらに呼吸が落ち着いていることにも気づき、私の腕が、
202523	222646	あなたの胸に置いてあったことを思い出し、私の腕があなたのお腹の上に置いてあったことを思います。そして、そこから流れてくる温かいぬくもりに癒され、気持ちが良くなっていることを感じてみてください。
224950	249005	気持ちいいですね。気持ちいい。ぼーっとして、何をするわけでもなく、ただ、ここに存在している。何も考えない。何をするのもめんどくさい。未だかつて表現する言葉が見つからないような、そんな気持ちのいい状態。
250877	276158	もうずっとこの気持ちのいいまどろみの中で漂っていたいですね。抜け出すことなんて考えられないような心地よさ。幸せですよね。さあ、私たちの声についてきてもっと気持ちよくなっていきましょう。どんどん深く気持ちよくなりましょう。
277988	304092	目の前に一つの砂のお城をイメージしてみましょう。何もない真っ白な空間に、目の前には大きな砂のお城。少しそのお城に触れてみましょう。すると、触ったところがさらりと、少し崩れてしまいました。ポロッと。
305639	324890	そしてなぜかお城に触れたその手の力も、砂のお城が崩れるようにさらり、さらりと抜けていき、もう力が入らない。さあ、もう片方の手でもう一度お城に触れてみましょう。
326602	353630	触れてみると、また触れた部分が崩れ出す。どんどんと崩れ出す。もう止まりません。砂のお城がさーっと崩れるとともに、あなたの体も崩れるように力がさーっと抜けていく。お城がどんどん崩れる。あなたの体も崩れる。さらり、さらり。
354905	382908	崩れるスピードは止まらず、どんどんどんどんと崩れて、ああ、すべて崩れていってしまいました。目の前には砂のお城だったもの、お城だったものが小さな山になっているように、あなたの体もだらんとしてしまう。そうして力が入らないから、床にごろんと横たわると、
383137	410297	今度はその床も崩れ去っていく。あなたも一緒に崩れ、落ちていく。どこへ行くかもわからない。ただ、ただ、重力に引っ張られるだけ。でも、気持ちのいい世界。意識もさーっと崩れ去る。落ちる。落ちる。どんどん深い世界へ落ちていく。深く。
413619	432838	気持ちよく自分の意識が原型を留めていないように広がっていくさあもっと気持ちよくしてあげますから私たちについてきてください一緒に不思議な世界へ連れてってあげましょう
434230	455622	さあ、一度、私が1から10を数えると、その気持ちのいい催眠状態のまま、ゆっくりと目覚めます。ゆっくり、ゆっくりですよ。1、2、3、4、
456863	474612	5落ちる43210ずーんと沈むすっと落ちていく深く深く沈んでいくずーんと沈むふわりふわりストンと何が何だかわからないいいですよ
475503	500915	もっと深く入っていきましょう。頭の中は真っ白。さあ、その状態からさらに深く入っていきます。109876543210ずーんと沈む。沈む。沈む。
501495	529261	気持ちよく沈んでいくどこまでもどこまでもどこまで行ってしまうのかそれは私たちにもあなたにもわかりませんけれどすごく気持ちのいい世界それだけが確かなことはあなたの無意識が知っているもっと気持ちよくなれるって言ったらどうします?一緒に深いところへと落ちていきましょうねさあ
530374	537466	次は二重からカウントダウンをします。すると、さっきよりも勢いよく落ちていきますよ。
539385	567082	20、19、18、17、16、15、14、13、12、11、10、9、8、7、6、5、4、3、2、1、0。ずーんと沈む。勢いよく、すごい速度で落ちていく。でもそれが気持ちいい。息を吸って。
567222	583847	吐いてスーッとさらに力が抜けて深いところ頭の中はトロトロで気持ちがいい深く深く私たちと一緒に深ーく私たちと一緒にその世界で漂うふわふわで気持ちがいい
585373	607852	その頭の中のふわふわに意識を向けてみましょう。そう、そのふわふわが膨張していく。風船に空気を入れるように、どんどん、どんどんと大きくなっていく。ふわっとした何かが、あなたの頭の中いっぱいに広がって、すごく幸せ。
608677	632581	そして、そのふわふわはどんどん広がっていく。ふわふわが広がる。その感覚すら心地よくて、広がって広がって、今にもはじけてしまいそう。ほら、三つ数えると、そのふわふわがはじけて、頭の中だけじゃなくて、全身までふわふわでいっぱいになりますよ。
634189	660485	ひとつ、ふたつ、みっつ、ほら、はじける。そして頭の中、全身までふわふわ。ふわふわ。とても気持ちがいいですね。気持ちよさと心地よさで、自然と笑顔になってしまいそうなほどです。気持ちいいですね。
