start	end	text
2275	29731	ん?あれ?ここどこ?人間界?あ、お兄さん。誰?そっか。お兄さんが私たちを人間界に呼んでくれたんだね。嬉しいな。人間界に来たのすっごく久しぶり。私たちを呼んでくれてありがとう。
30220	51449	ん?違うの?魔法陣を触ったら突然出てきた?ああ、だからさっきから信じられないような顔してるんだねお兄さん、もしかして魔法使うの初めて?
52040	78639	それじゃあしょうがないか少し自己紹介するね私たちは魔法界に住んでいる妖精なの魔法陣から呼び出されて色々な世界に呼ばれてお手伝いをするのが仕事だよ私たちは結構魔法が得意な種族でさ例えばこんな風に
79529	104065	一気に耳元に瞬間移動したりもできるよびっくりしちゃったそれで呼び出された頃にはお願いを叶えるのがルールなのせっかく来たんだしお兄さんの願い事を一つ叶えてあげるよ
105397	134086	魔法を使って悪いこともできるけどお兄さん優しそうだしそんなことは願わなそうだねどちらかっていうと私たちが耳元で話すたびにモジモジしてるしヘッチなこととか期待しちゃってたりしてズボシでしょ
134390	156310	お兄さん 反応がわかりやすいねエッチなことしてって顔してるよねぇ お兄さんの願い事はなぁに?んふふ よく聞こえなかったもう一回言ってくれる?
156968	181910	え?もしかしてエッチなことって言った?気持ちよくなりたいって言った?いじめてほしいって言った?そこまでは言ってない?いいよわかったお兄さんの願い事を叶えてあげる
182872	210968	それじゃあ契約するね一つ私たちはお兄さんの願い事つまり気持ちよくなることを叶えるためだけに魔法を使いますそれ以外のことには魔法を使わないから安心してね二つ私たちの魔法を信じてね
211711	240966	信じて身を任せてくれると魔法の効き目がとっても良くなるのそれに私たちはこう見えて魔法学校でとっても良い点を取ってた優等生なんだ高等魔法もかけることができるから安心して私たちの魔法にかかってね3つちゃんと魔法の解除まではやめないこと
243115	267242	私たちは契約通り最後にはちゃんとかけた魔法を解くけどお兄さんも途中で魔法陣を閉じないよう気をつけてねどうしても途中でやめないといけない場合は魔法解除だけはやってねはい契約終わり
269339	296290	ああそうそう妖精は人間にとても好意的だけどその本質はいたずらでとっても気まぐれだってこともしっかり覚えておいてねでないと悪い妖精に騙されるかもしれないよさて最初に
297892	326542	お兄さんが自然に魔法を受け入れられる方法を教えてあげるそれは魔法を楽しむことそんなことありえないでもそれが魔法もしそんなありえないことが起こったらもっともっと楽しくなるしもっともっと気持ちよくなるのだから
326714	354560	それ自体を楽しもうねだってそうでしょ本を読んだりゲームとかをしてて楽しい時ってそれ以外何も考えられないくらい入り込んでいるでしょそれはエッチなことでも一緒だよ緊張してる時とか焦ってる時っておちんちん立たないでしょそういうこと
355300	382486	楽しんでリラックスしてる時が一番エッチに最適な時なのそれじゃあ始めていくよまずお兄さんが魔法にかかりやすくなるために体と脳を解きほぐしていくねつまり魔法の影響を受けやすい状態にするってこと?
383026	410870	もちろん契約は守るから気持ちよくなる魔法以外は使わないよ安心して今回のは内部から気持ちよくするための魔法だからね深くかけるためにはお兄さんの協力が必要なのお兄さんもたくさん気持ちよくなりたいでしょ
411224	435495	だから少しの間だけ私たちに協力してねこれからはこうやって瞬間移動もしっかり使っていくからねもしかしたら急に喋ってる子が入れ替わったりして混乱するかもしれないけどその時意識がふっと途切れちゃうかもしれないけど
436874	466767	全部魔法にかかりやすくするためにやってることだからね大丈夫私たちは契約に沿ったことしかしないからさあこれからお兄さんの体の中に溜まっている悪い息を出していくよお兄さんの呼吸と私たちの魔法をシンクロさせていくのゆっくりと息を吸って
471207	496561	ゆっくりと吐いて息を吸うと爽やかで綺麗な空気が入ってくるし息を吐くと悪い息が出ていって体が安心して力が抜けてくるまたゆっくり息を吸って
500138	519971	ゆっくりと吐いて呼吸をすればするほど体の中がきれいになって悪いものが抜けてどんどんリラックスしてくるでしょ
522565	550953	そう深く深呼吸すればするほど悪いものが抜けるから体も安心を感じてずーんと重くなっていくほら大きく息を吸ってゆっくりと吐いて
553463	567520	右腕も左腕もだんだんと重たくなってきた腕の力がどんどん抜けてだらーんと重たくなってくる
568837	592840	どんどん綺麗になっていくから安心して力が抜けるのは当然だよねずーんと重くなってもう上に持ち上げるのが面倒になっちゃった腕が重くて動かしたくなくなってるさあまた大きく息を吸って
598205	619492	ゆっくりと吐いて呼吸に集中していると気持ちがどんどん落ち着いてくるよね心が穏やかになればなるほどお兄さんはどんどん深く魔法にかかれるようになるの
620069	649398	だってそうでしょほらこんな風に瞬間移動して少しびっくりしても頭がぼやーっとしてるから気持ちいいだけになってるそれどころかふっと意識とか考える力とかが消えちゃうような感覚がするかもねでもそれでいいんだよ
649702	679595	そうなるのが正しいんだよだって魔法にかけられるってことは普段は感じられない不思議な感覚になるってことだからそうさっき瞬間移動された時に感じた不思議な感覚それが魔法にかかるための第一歩また大きく息を吸って
684143	710186	吐いて腕の力が抜けたから肩もなんだかだらーんとしてきたね肩の力を抜いて集中してってよく聞くでしょそう安心すると肩からも力が抜けちゃうの
713097	721623	またゆっくり息を吸ってゆっくり吐いて
725993	753365	肩の力が抜けたから背中や腰の力も抜けちゃうよいっぱい悪い気を出してるからどんどん安心感が溢れてるだから上半身から力が抜けてきてるのそう、眠る時に近い感じ寝る時に体に力を入れる人なんていないよね
754732	781958	ほら 悪い息が抜けた背中や腰がずーんと重くなるどんどん重くなって 上半身にも力が入らないさあこれで最後 ゆっくり息を吸ってゆっくりと吐いて
784162	809548	腰まで力が抜けたから両足もどんどん重くなっていく体全体から悪いものが抜けて足の先まできれいな空気が流れ込んだのだからだらーんと重いとっても重たい
810992	828627	右足も左足も力が抜けて気持ちがいいそれじゃあゆったりとした呼吸に戻していいよだいぶ魔法に影響を受けやすい状態になったね
828982	850929	こういうのもなんだか最初よりも気持ちよく感じるよね悪いものが抜けたからお兄さんの体からは力が抜けたそして綺麗な空気を取り込んだから心がすごく穏やかになった綺麗な体と心になると
852218	863937	よく魔法が効くのお兄さんが素直に協力してくれるから私たちもやりやすいよありがとうねお兄さん
865077	883411	だからお兄さんが望むならどんな魔法もかかりやすくなるよどうやって私たちの言葉を頭でなぞるだけでいいの言葉を追いかけるように想像するのでもいいよ
883994	910218	お兄さんの意識が声に向けば向くほどスーッと深くまで集中した感覚を感じたり思考がぼやけたりすることがあるけどどちらも正しいのどちらの状態でも魔法にかかりやすくなるのいつの間にか私たちの言葉に聞き入っている
910572	937758	そう気づかないうちにどんどん私たちの声から意識が離せなくなる耳元で囁いたり目と鼻の先で語りかけられたり私の声がすごく近くにあるんだから意識しちゃうのはしょうがないよね私たちの声心地いいもんね
937758	961872	私たちの声がお兄さんの耳から入ってお兄さんの脳に響いてることがわかるでしょそれって普段気にならないことなんだよどこから入ってどこに届いているかを意識するなんて普段してたっけしてないよね
961872	981228	普段はそんなこと意識しないもんねでも今は自然に声の動きにすら意識が向いちゃうそれくらい今のお兄さんはリラックスしているってことそして
985375	1001722	私たちの声が一気に脳の奥までずっと入ってくる声とっても心地いいよね気持ちいい声を追っているうちに
1002277	1026764	一気に脳の奥まで魔力を送り込まれるお兄さんは魔法を受け入れやすい感覚の持ち主なんだよその証拠にもう私たちのことを考えずにはいられないでしょお兄さんがまた協力してくれたから私たちはもっとお兄さんの意識にアクセスしやすくなった
1027583	1036527	私たちは3人もいるから止めどなく言葉が届いてどんどん考えることができなくなってくるね
1038864	1065063	じゃあ仕上げだよ魔法の影響を受けやすくなるよ一気に導いてあげるねさあ契約を思い出してお兄さんは気持ちよくなりたいって言ったこれはこれから気持ちよくなるために必要なこと必要なことだからしょうがないよね
1065333	1093268	だってほら私はどこにいる私はどこで喋ってる私の声に追いつける意識して追いかけて私はどこでどこから語りかけてる追えば追うほどわからなくなってもう私たちの声を聞くだけで気持ちよくなっちゃってる何も考えられなくなっちゃってるよ
1093767	1121206	普段ならこんなことないのにね普段ならこんなに声が気持ちいいことないのにねいつもと違う感覚それを感じたら一気に深く深く意識が沈んでいくほらここだよもっと追いかけて追えば追うほどお兄さんは頭がぼーっとしちゃうかもしれないけどね
1122497	1140566	ろうそくの火が吹き消されるように照明が落ちるようにすーっと意識が消えるふっと消えていく思考が意識が消えていくとともに心が深いリラックスに包まれる
1142455	1170852	もっともっと私たちの声を追いかけて私はどこにいるねえ私はねえお兄さん私は最初どこにいたっけお兄さんの右耳お兄さんの左耳お兄さんの正面どこにいたっけ考えようとすると思考が消えていくだってわからないもんね
1171375	1192049	もう何もわからないもんねお兄さんの思考力最後の一つが消えるまでずっと追いかけて私の声を聞くだけで私の声に夢中になるだけで私の声を声を聞くたびにお兄さんの思考は
1193010	1217917	どんどん消えるほら意識が飛ぶそれが気持ちいい何もわからなくなって消えるほら消える最後の一つまで気持ちよく消えてしまうもう何もわからないとても気持ちいい気持ちいいねえお兄さん
1218338	1238048	目がとろっとしてるよ意識がぼやーってして気持ちいいねお兄さん私たちの声を追いかけているうちに思考力が完全になくなっちゃったね私たちの声そんなに気持ちいいんだ
1246578	1264598	さあそれじゃあ今から私たちが魔法を発動するときの宣言を教えてあげるねああ魔法の栄章とかじゃないよ私たちはもともと栄章する必要なく
1266033	1281149	魔法を発動できるんだけどいきなり魔法かけるとお兄さんびっくりするかもしれないからねまあもともと力が抜けたお兄さんは魔法から逃れられないけど
1282717	1307995	要するにお兄さんが安心して魔法にかかれるように最初のうちだけでも契約通りに気持ちよくすることにしか使わないってことを魔法発動前に宣言するってこと宣言の言葉はお兄さんの願い叶えてあげる
1308839	1330777	だよ私たちのその宣言を聞くたびにお兄さんは魔法発動を意識して魔法をかけられるたびに願いがどんどん叶っていくのそして宣言を聞くたびにその魔法の効果も大きくなる
1332110	1357322	そうだよねだってそれって何重にも魔法をかけられるってことだからもちろん意識が飛んじゃっても大丈夫一度宣言を聞くと自動的に意識が向いちゃうようになるからそしたらその隙に魔法がどんどん脳に入っていくの
1358350	1387920	お兄さんは身を任せて快楽を感じてるだけでいいよ続けていくうちにどんどん頭も体も魔法の効果を覚えていくからね慣れてきたら宣言なしでも魔法をかけてあげる意識する間もなく一気に魔法の効果が来ちゃうけどその時には
1388388	1397963	慣れているから自動的に体も頭も反応しちゃうかもねそれじゃあ
1398462	1423985	魔法をかけてあげるこれからかけるのは意識が飛んで頭真っ白になって何も考えられなくなる魔法だよ魔法の発動には特徴的な音が発生するけどその音と同時に魔法効果が起こるよお兄さんは
1424602	1448632	音に敏感な状態だからめちゃくちゃ気持ちよくなったり発動と一緒に真っ白に飛んじゃうかもしれないけど私たちの声にはずっと耳を傾けていてねさあ行くよリラックスしてお兄さんの願い叶えてあげる
1460815	1489871	魔法が耳から頭に流れ込むほら考えようとしても考えることができないだって魔法がお兄さんの脳にまで入り込んでいるから頭からどんどん力が抜けちゃうねそのまま顔の力も緩めちゃおう顔の筋肉も今は全部いらないね額も
1491055	1515895	目も鼻も頬も全部緩めてしまおうどこにも力を入れなくていいし何も考える必要もない体の力が抜けて頭が空っぽになって気持ちいいもう一度お兄さんの願い叶えてあげる
1528467	1554083	魔法がお兄さんの頭を真っ白にするでも考えてみて考える必要なんてある?ああそっか魔法で考えられなくなるんだっけそもそも気持ちよくなるのに考えることっていらなくない?いらないよねお兄さんそうだよ
1554472	1582228	頭の中空っぽにしちゃえそれだけでいいのそうなるのがいいのそうなるのがいいの私たちの言葉だけ聞いていればいいの私たちの声だけを聞いていればいいの私たちの言うことだけ聞いていればいいのそうしていると気持ちよくなれる考えないで
1586096	1600868	感じるだけでいいの ほらまたお兄さんの願い叶えてあげる
1604455	1620918	何もわからなくなる効果があるから意識飛んじゃう効果があるからでも私の声はちゃんと聞いて頭真っ白でも私の声に意識を向けてそれにほら
1623473	1647635	私がどこにいるかわかるこっちこっちにも意識を向けてこっちこっちにも意識向けてね私がさっきまでどこにいたかわかるわからなくていいよ頭がぐるぐるもうわからないよね追いかけると
1647655	1666133	頭ぐるぐるしてなんにもわからなくなるちょっとでも意識をそらすともっともっと頭空っぽになっちゃうよほら油断してるとなんにもわからなくなるさあ
1666133	1694129	連続で魔法かけるよ一回でもあれだけ意識飛んじゃったのに連続でかけられたらどうなるんだろうねお兄さんもう何もわからなくなっちゃうねでもこれはお兄さんとの契約だから気持ちよく頭空っぽにしてあげるねお兄さんの願い叶えてあげる
1700930	1727414	オーラ一気に意識が深くまで落ちるすでに頭の中はほとんど真っ白お兄さんの願い叶えてあげる
1730714	1759676	魔法をかけられるたびにもっともっと真っ白になるほら私の声を追いかけてこっちだよ追いかけると頭ぐるぐるしちゃうけどとても気持ちがいいお兄さんは何も考えられないというか気持ちよくてもう何も考えたくない頭の中が
1760363	1779938	ぐるぐるどんどん真っ白になってくるお兄さんの願い叶えてあげる
1780343	1808244	こーらこっち何度も何度も声を追いかけて繰り返し真っ白になる頭の中ぐるぐるして真っ白になる頭が真っ白になるととっても気持ちがいいお兄さんお兄さんこっちこっち追いかけると意識が一瞬途絶えるそれが気持ちいい
1809554	1834276	お兄さんの願い 叶えてあげるほらまた意識が飛ぶ魔法をかけられるたび ふっと消える声を追いかけるたび
1834732	1862850	何度も何度も消える意識が消えるたびに頭が真っ白になる考える力は全部なくなって空っぽ頭の中真っ白気持ちよく真っ白真っ白何も考えられなくなって気持ちがいい
1865444	1889910	お兄さん幸せだね頭真っ白になって気持ちいいね私たちの声も大好きになっちゃったねでももちろん魔法はこれだけじゃないよこれはあくまでお兄さんの魔法への耐性を下げる魔法だから
1891128	1919596	お兄さんもしかしてこれだけでも気持ちよかった?これからかける快楽魔法がより聞きやすくするためにさっきの魔法をかけてただけなのにこんな状態で快楽の魔法かけられたらどうなっちゃうんだろうねでもしょうがないよね契約…
1920322	1941129	だのね最高に気持ちいい魔法いっぱいかけてあげるさあ気持ちいい魔法を楽しんでねこれからかける魔法は体の中から快感が湧き上がる魔法魔法をかけられるたびに
1943086	1952935	性感が高まって絶頂まで登り続ける魔法お兄さんの頭が真っ白になった状態で
1953295	1977727	何度も何度も魔法をかけられてどんどん気持ちいい感覚が大きくなっていくけど私たちがゼロという数字で解放するまではいけないの限界を超えて頭おかしくなってもゼロが来るまでは全身痺れながらもだえ続けるの
1977747	2006297	だから解放と同時に行っちゃうたまった快楽が全部弾けていくううん違うね快楽を重ね掛けされたら行きっぱなしになるねでも私たちはお兄さんを気持ちよくするだけだからそれがどう越していたとしても契約の通りだから
2006317	2015513	問題ないよねさあ行くよお兄さんの願い叶えてあげる
2019783	2041053	ご視聴ありがとうございました
